Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4384396680,darksidefan,0,642.5,G Scottie Scheffler G Sam Burns G Wyndham Clark G Russell Henley G Shane Lowry G Taylor Pendrith,,Xander Schauffele,G,60.00%,96
2,4384401533,Jph315,0,598,G Scottie Scheffler G Hideki Matsuyama G Adam Scott G Billy Horschel G Taylor Pendrith G Chris Kirk,,Scottie Scheffler,G,46.67%,141.5
3,4383399916,JonBuc1,0,587,G Scottie Scheffler G Rory McIlroy G Viktor Hovland G Billy Horschel G Taylor Pendrith G Chris Kirk,,Taylor Pendrith,G,46.67%,107
4,4383847559,cmilly-97,0,583,G Scottie Scheffler G Collin Morikawa G Viktor Hovland G Tommy Fleetwood G Aaron Rai G Tom Hoge,,Sam Burns,G,40.00%,86.5
5,4384405940,gapfaff,0,578.5,G Xander Schauffele G Collin Morikawa G Sam Burns G Tommy Fleetwood G Russell Henley G Aaron Rai,,Chris Kirk,G,40.00%,72
6,4383018438,cubyblue,0,565,G Scottie Scheffler G Xander Schauffele G Tommy Fleetwood G Justin Thomas G Chris Kirk G Matthieu Pavon,,Viktor Hovland,G,33.33%,95
7,4383510173,ryanhupfer,0,560.5,G Rory McIlroy G Patrick Cantlay G Collin Morikawa G Viktor Hovland G Sungjae Im G Tom Hoge,,Rory McIlroy,G,26.67%,94
8,4384145926,NPitz14,0,556.5,G Xander Schauffele G Patrick Cantlay G Viktor Hovland G Wyndham Clark G Sepp Straka G Taylor Pendrith,,Collin Morikawa,G,26.67%,129.5
9,4382992792,American-Dream,0,556,G Scottie Scheffler G Xander Schauffele G Tommy Fleetwood G Taylor Pendrith G Chris Kirk G Tom Hoge,,Tommy Fleetwood,G,26.67%,83
10,4383586366,concord,0,550.5,G Ludvig Aberg G Collin Morikawa G Sam Burns G Wyndham Clark G Billy Horschel G Chris Kirk,,Russell Henley,G,26.67%,106
11,4382984347,jabella72,0,540,G Scottie Scheffler G Xander Schauffele G Tony Finau G Taylor Pendrith G Aaron Rai G Tom Hoge,,Billy Horschel,G,26.67%,77.5
12,4384365133,chicagoputz,0,522.5,G Xander Schauffele G Sam Burns G Viktor Hovland G Tony Finau G Russell Henley G Billy Horschel,,Aaron Rai,G,26.67%,77.5
13,4383649991,boyewsky,0,516.5,G Xander Schauffele G Rory McIlroy G Sam Burns G Tony Finau G Sepp Straka G Taylor Pendrith,,Tom Hoge,G,26.67%,56.5
14,4384175071,magic_21,0,509,G Xander Schauffele G Rory McIlroy G Patrick Cantlay G Justin Thomas G Sepp Straka G Aaron Rai,,Patrick Cantlay,G,20.00%,79.5
15,4383808677,jimm743,0,506.5,G Xander Schauffele G Ludvig Aberg G Sam Burns G Russell Henley G Akshay Bhatia G Chris Kirk,,Wyndham Clark,G,20.00%,107.5
,,,,,,,Tony Finau,G,20.00%,61.5
,,,,,,,Sepp Straka,G,20.00%,71.5
,,,,,,,Ludvig Aberg,G,13.33%,77.5
,,,,,,,Justin Thomas,G,13.33%,90.5
,,,,,,,Hideki Matsuyama,G,6.67%,85
,,,,,,,Adam Scott,G,6.67%,115
,,,,,,,Sungjae Im,G,6.67%,106
,,,,,,,Shane Lowry,G,6.67%,94
,,,,,,,Akshay Bhatia,G,6.67%,68.5
,,,,,,,Matthieu Pavon,G,6.67%,82
