Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4709139195,VOODOG23,0,670,G Scottie Scheffler G Jake Knapp G Sami Valimaki G Nicolas Echavarria G Henrik Norlander G Erik Van Rooyen,,Scottie Scheffler,G,57.14%,177
2,4711236784,aceshigh1973,0,574.5,G Scottie Scheffler G Austin Eckroat G Kurt Kitayama G Alejandro Tosti G Nicolas Echavarria G Max McGreevy,,Jake Knapp,G,33.33%,86.5
3,4710148154,jimm743,0,558.5,G Sungjae Im G Si Woo Kim G Jake Knapp G Sam Stevens G Patrick Rodgers G Beau Hossler,,Sami Valimaki,G,33.33%,83
4,4709054230,jabella72,0,557.5,G Scottie Scheffler G Harry Hall G Matthew McCarty G Karl Vilips G Beau Hossler G Quade Cummins,,Eric Cole,G,28.57%,115
5,4710932728,concord,0,549.5,G Scottie Scheffler G Kurt Kitayama G Alejandro Tosti G Sam Ryder G Cameron Davis G Victor Perez,,Alejandro Tosti,G,28.57%,66.5
6,4711513832,gapfaff,0,516.5,G Si Woo Kim G Stephan Jaeger G Ryo Hisatsune G Rico Hoey G Sam Stevens G Matthew McCarty,,Stephan Jaeger,G,23.81%,74
7,4710054447,magic_21,0,510.5,G Scottie Scheffler G Eric Cole G Austin Eckroat G Doug Ghim G Alejandro Tosti G David Lipsky,,Ryan Gerard,G,23.81%,35.5
8,4711764938,Knock0ut12,0,487,G Jordan Spieth G Byeong Hun An G Jake Knapp G Davis Riley G Nicolas Echavarria G Quade Cummins,,Nicolas Echavarria,G,23.81%,91
9,4710663168,NPitz14,0,482,G Scottie Scheffler G Ryan Gerard G Alejandro Tosti G Sami Valimaki G Chris Gotterup G William Mouw,,Ryo Hisatsune,G,19.05%,27
10,4708948025,American-Dream,0,481,G Scottie Scheffler G Ben Griffin G Eric Cole G Zach Johnson G Rafael Campos G Camilo Villegas,,Si Woo Kim,G,14.29%,96
11,4708970673,Jph315,0,471,G Scottie Scheffler G Ryo Hisatsune G Eric Cole G Matti Schmid G Trey Mullinax G Noah Goodwin,,Austin Eckroat,G,14.29%,32
12,4710949204,cubyblue,0,461.5,G Sam Burns G Si Woo Kim G Eric Cole G Seamus Power G Matt Kuchar G Charley Hoffman,,Matti Schmid,G,14.29%,31.5
13,4709280260,hupfdaddy,0,448.5,G Scottie Scheffler G Jake Knapp G Austin Eckroat G Sami Valimaki G Carson Young G Kris Ventura,,Jordan Spieth,G,9.52%,124
14,4710370671,cmilly-97,0,441,G Scottie Scheffler G Jacob Bridgeman G Nicolai Hojgaard G Emiliano Grillo G Brian Campbell G Taylor Dickson,,Sungjae Im,G,9.52%,87.5
15,4708960400,snyde167,0,435.5,G Jordan Spieth G Stephan Jaeger G Ben Griffin G Sami Valimaki G Hayden Springer G Joseph Bramlett,,Byeong Hun An,G,9.52%,66.5
16,4710820632,JonBuc1,0,427.5,G Scottie Scheffler G Harry Hall G Gary Woodland G Nicolas Echavarria G Justin Lower G Matti Schmid,,Ben Griffin,G,9.52%,36
17,4711761245,darksidefan,0,427,G Scottie Scheffler G Ryan Gerard G Alejandro Tosti G Cameron Davis G Emiliano Grillo G Brian Campbell,,Harry Hall,G,9.52%,86.5
18,4710831007,chicagoputz,0,421,G Stephan Jaeger G Ryan Gerard G Jake Knapp G Ryo Hisatsune G Eric Cole G Sami Valimaki,,Sam Stevens,G,9.52%,123
18,4711791359,boyewsky,0,421,G Stephan Jaeger G Ryan Gerard G Jake Knapp G Ryo Hisatsune G Eric Cole G Sami Valimaki,,Kurt Kitayama,G,9.52%,109.5
20,4709234499,Lumberjac,0,384.5,G Stephan Jaeger G Mackenzie Hughes G Ryan Gerard G Jake Knapp G Alejandro Tosti G Sami Valimaki,,Matthew McCarty,G,9.52%,108
21,4711081836,ryanhupfer,0,334.5,G Sungjae Im G Byeong Hun An G Tom Kim G Chan Kim G Nicolas Echavarria G Matti Schmid,,Cameron Davis,G,9.52%,80.5
,,,,,,,Beau Hossler,G,9.52%,70.5
,,,,,,,Quade Cummins,G,9.52%,32.5
,,,,,,,Emiliano Grillo,G,9.52%,34.5
,,,,,,,Brian Campbell,G,9.52%,33
,,,,,,,Sam Burns,G,4.76%,112
,,,,,,,Mackenzie Hughes,G,4.76%,39
,,,,,,,Tom Kim,G,4.76%,38.5
,,,,,,,Jacob Bridgeman,G,4.76%,31
,,,,,,,Nicolai Hojgaard,G,4.76%,72
,,,,,,,Seamus Power,G,4.76%,35.5
,,,,,,,Rico Hoey,G,4.76%,88.5
,,,,,,,Patrick Rodgers,G,4.76%,95
,,,,,,,Gary Woodland,G,4.76%,0
,,,,,,,Chan Kim,G,4.76%,19.5
,,,,,,,Doug Ghim,G,4.76%,89
,,,,,,,Matt Kuchar,G,4.76%,66
,,,,,,,Davis Riley,G,4.76%,86.5
,,,,,,,Sam Ryder,G,4.76%,45
,,,,,,,Karl Vilips,G,4.76%,83
,,,,,,,Henrik Norlander,G,4.76%,88.5
,,,,,,,Victor Perez,G,4.76%,71
,,,,,,,Justin Lower,G,4.76%,41.5
,,,,,,,Charley Hoffman,G,4.76%,37
,,,,,,,Zach Johnson,G,4.76%,27.5
,,,,,,,Chris Gotterup,G,4.76%,88.5
,,,,,,,Hayden Springer,G,4.76%,35.5
,,,,,,,Max McGreevy,G,4.76%,98.5
,,,,,,,Trey Mullinax,G,4.76%,95
,,,,,,,Joseph Bramlett,G,4.76%,83
,,,,,,,Erik Van Rooyen,G,4.76%,144
,,,,,,,Carson Young,G,4.76%,36
,,,,,,,Kris Ventura,G,4.76%,34
,,,,,,,William Mouw,G,4.76%,31.5
,,,,,,,Noah Goodwin,G,4.76%,25.5
,,,,,,,David Lipsky,G,4.76%,31
,,,,,,,Taylor Dickson,G,4.76%,93.5
,,,,,,,Rafael Campos,G,4.76%,64.5
,,,,,,,Camilo Villegas,G,4.76%,61
