Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5074311048,VOODOG23,0,511,G Nicolai Hojgaard G Keith Mitchell G Brooks Koepka G Aaron Rai G Joel Dahmen G Matthieu Pavon,,Shane Lowry,G,50.00%,116.5
2,5074368333,Gm0ney720,0,495.5,G Rasmus Hojgaard G Nicolai Hojgaard G Aaron Rai G Max Homa G Tom Kim G Joel Dahmen,,Ryan Gerard,G,45.83%,78.5
3,5074319521,darksidefan,0,468.5,G Ryan Gerard G Brooks Koepka G Christiaan Bezuidenhout G Max Homa G Seamus Power G Joel Dahmen,,Nicolai Hojgaard,G,41.67%,100.5
4,5075324803,cmilly-97,0,466.5,G Shane Lowry G Nicolai Hojgaard G Brooks Koepka G Hao-Tong Li G Seamus Power G Gordon Sargent,,Brooks Koepka,G,33.33%,87.5
5,5074329629,hupfdaddy,0,463,G Shane Lowry G Ryan Gerard G Brooks Koepka G Kristoffer Reitan G Adrien Dumont De Chassart G Andrew Putnam,,Hao-Tong Li,G,25.00%,71
6,5074359538,Jph315,0,453,G Shane Lowry G Rasmus Neergaard-Petersen G Brooks Koepka G Mac Meissner G Eric Cole G Matti Schmid,,Seamus Power,G,25.00%,64.5
7,5074467267,brotherjonas,0,451.5,G Nicolai Hojgaard G Keith Mitchell G Thorbjorn Olesen G Alex Smalley G Tom Kim G Billy Horschel,,Chris Kirk,G,20.83%,28
8,5075794669,boyewsky,0,443.5,G Shane Lowry G Nicolai Hojgaard G Hao-Tong Li G Jordan L. Smith G John Parry G Sam Ryder,,Max Homa,G,20.83%,89.5
9,5075430566,ryanhupfer,0,436.5,G Daniel Berger G Aaron Rai G Christiaan Bezuidenhout G Max McGreevy G Jordan L. Smith G Seamus Power,,John Keefer,G,16.67%,22
10,5074287037,snyde167,0,435,G Shane Lowry G Ryan Gerard G Brooks Koepka G Sami Valimaki G Joel Dahmen G Chandler Phillips,,Joel Dahmen,G,16.67%,78
11,5075165339,holth,0,419,G Shane Lowry G Ryan Gerard G Alex Smalley G Hao-Tong Li G Tom Kim G Neal Shipley,,Christiaan Bezuidenhout,G,16.67%,70.5
