Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3600207069,ryanhupfer,0,707,G Jon Rahm G Tom Kim G Sam Burns G Corey Conners G J.J. Spaun G Cameron Young,,Justin Thomas,G,50.00%,102.5
2,3592182398,belikemike247,0,698,G Scottie Scheffler G Tom Kim G Sungjae Im G Seamus Power G Tom Hoge G Cameron Young,,Viktor Hovland,G,40.00%,109.5
3,3600654591,boyewsky,0,692,G Jon Rahm G Patrick Cantlay G Adam Scott G Aaron Wise G Tom Hoge G Cameron Young,,Cameron Young,G,35.00%,112.5
4,3600896598,andcohen2525,0,683,G Justin Thomas G Matt Fitzpatrick G Tom Kim G Seamus Power G J.J. Spaun G Cameron Young,,Tom Kim,G,30.00%,129.5
5,3599351516,darksidefan,0,675.5,G Justin Thomas G Tony Finau G Viktor Hovland G Sungjae Im G Aaron Wise G Tom Hoge,,Sungjae Im,G,30.00%,112
6,3600332445,mlewicki,0,668,G Tony Finau G Tom Kim G Viktor Hovland G Russell Henley G Trey Mullinax G Collin Morikawa,,Sahith Theegala,G,30.00%,84
7,3592334168,gapfaff,0,659.5,G Max Homa G Viktor Hovland G Sam Burns G Sungjae Im G Aaron Wise G Cameron Young,,Jon Rahm,G,25.00%,155
8,3600504424,magic_21,0,645.5,G Justin Thomas G Will Zalatoris G Max Homa G Sam Burns G Seamus Power G Kyoung-Hoon Lee,,Patrick Cantlay,G,25.00%,104
9,3592297624,chicagoputz,0,635.5,G Justin Thomas G Sungjae Im G Seamus Power G Adam Svensson G Collin Morikawa G Cameron Young,,Sam Burns,G,25.00%,87.5
10,3592324328,Jph315,0,631.5,G Jon Rahm G Justin Thomas G Jordan Spieth G Hideki Matsuyama G Adam Scott G Trey Mullinax,,Aaron Wise,G,25.00%,103
11,3592211288,garciar15,0,627.5,G Jon Rahm G Patrick Cantlay G Hideki Matsuyama G Billy Horschel G Adam Scott G Scott Stallings,,Seamus Power,G,25.00%,95
12,3600255203,cmilly-97,0,627,G Justin Thomas G Tom Kim G Viktor Hovland G Jordan Spieth G Sahith Theegala G Seamus Power,,Jordan Spieth,G,20.00%,106.5
13,3600841513,cubyblue,0,622.5,G Max Homa G Viktor Hovland G Sam Burns G Jordan Spieth G Hideki Matsuyama G Billy Horschel,,Hideki Matsuyama,G,20.00%,95.5
14,3593527747,AirMOC,0,618,G Justin Thomas G Patrick Cantlay G Sungjae Im G Adam Svensson G Trey Mullinax G Collin Morikawa,,Tony Finau,G,15.00%,117
14,3601012062,hupfdaddy,0,618,G Jon Rahm G Patrick Cantlay G Viktor Hovland G Hideki Matsuyama G Sahith Theegala G Adam Svensson,,Max Homa,G,15.00%,135
16,3598696033,jimm743,0,613,G Justin Thomas G Tom Kim G Sam Burns G Jordan Spieth G Aaron Wise G Sahith Theegala,,Corey Conners,G,15.00%,97.5
17,3600039248,concord,0,610.5,G Justin Thomas G Patrick Cantlay G Matt Fitzpatrick G Aaron Wise G Sahith Theegala G Scott Stallings,,Adam Scott,G,15.00%,86
18,3597105032,JonBuc1,0,604,G Scottie Scheffler G Viktor Hovland G Corey Conners G Keegan Bradley G Sepp Straka G Cameron Young,,Tom Hoge,G,15.00%,131.5
19,3598807850,jabella72,0,540,G Xander Schauffele G Tony Finau G Will Zalatoris G Sungjae Im G Sahith Theegala G Scott Stallings,,Adam Svensson,G,15.00%,70
19,3598807850,American-Dream,0,520,G Xander Schauffele G Tony Finau G Will Zalatoris G Sungjae Im G Sahith Theegala G Scott Stallings,,Adam Svensson,G,15.00%,70
,,,,,,,Collin Morikawa,G,15.00%,143.5
,,,,,,,Scott Stallings,G,15.00%,98.5
,,,,,,,Scottie Scheffler,G,10.00%,117.5
,,,,,,,Xander Schauffele,G,10.00%,22.5
,,,,,,,Matt Fitzpatrick,G,10.00%,118.5
,,,,,,,Will Zalatoris,G,10.00%,106
,,,,,,,Billy Horschel,G,10.00%,88.5
,,,,,,,J.J. Spaun,G,10.00%,125
,,,,,,,Russell Henley,G,5.00%,82.5
,,,,,,,Keegan Bradley,G,5.00%,71
,,,,,,,Sepp Straka,G,5.00%,96
,,,,,,,Kyoung-Hoon Lee,G,5.00%,119.5
,,,,,,,Mackenzie Hughes,G,5.00%,104
