Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4738825474,NPitz14,0,459.5,G Scottie Scheffler G Sepp Straka G Keegan Bradley G Michael Kim G Eric Cole G Nick Taylor,,Scottie Scheffler,G,35.00%,103.5
2,4739198741,cmilly-97,0,430.5,G Scottie Scheffler G Denny McCarthy G Sam Burns G Ben Griffin G Sam Stevens G Ryan Fox,,Denny McCarthy,G,35.00%,42
3,4737985008,aceshigh1973,0,411,G Scottie Scheffler G Maverick McNealy G Max Homa G Alex Noren G Akshay Bhatia G Mackenzie Hughes,,Collin Morikawa,G,30.00%,60
4,4737548127,VOODOG23,0,387.5,G Scottie Scheffler G Sepp Straka G Matt Fitzpatrick G Christiaan Bezuidenhout G Tom Hoge G Jhonattan Vegas,,Tommy Fleetwood,G,30.00%,72
5,4739660204,Lumberjac,0,377,G Patrick Cantlay G Tommy Fleetwood G Corey Conners G Denny McCarthy G Akshay Bhatia G Michael Kim,,Corey Conners,G,25.00%,68
5,4739660204,darksidefan,0,374,G Patrick Cantlay G Tommy Fleetwood G Corey Conners G Denny McCarthy G Akshay Bhatia G Michael Kim,,Corey Conners,G,25.00%,68
6,4738456502,ryanhupfer,0,370,G Tommy Fleetwood G Ludvig Aberg G Sepp Straka G Shane Lowry G Akshay Bhatia G Lucas Glover,,Si Woo Kim,G,25.00%,50.5
6,4739505579,boyewsky,0,370,G Collin Morikawa G Corey Conners G Sepp Straka G Si Woo Kim G Andrew Novak G Bud Cauley,,Justin Thomas,G,20.00%,56.5
8,4737540504,American-Dream,0,361,G Justin Thomas G Corey Conners G Si Woo Kim G Keegan Bradley G Harris English G Eric Cole,,Sepp Straka,G,20.00%,90.5
9,4739097629,cubyblue,0,360.5,G Justin Thomas G Viktor Hovland G Jordan Spieth G Sam Burns G Max Homa G Michael Kim,,Keegan Bradley,G,20.00%,74.5
10,4737776148,Jph315,0,356,G Collin Morikawa G Ludvig Aberg G Corey Conners G Keegan Bradley G Akshay Bhatia G Matti Schmid,,Akshay Bhatia,G,20.00%,70
10,4737943866,jimm743,0,356,G Xander Schauffele G Ludvig Aberg G Russell Henley G Maverick McNealy G Min Woo Lee G Chris Kirk,,Ludvig Aberg,G,15.00%,65.5
12,4738670401,JonBuc1,0,335.5,G Collin Morikawa G Tommy Fleetwood G Shane Lowry G Aaron Rai G Taylor Pendrith G Stephan Jaeger,,Shane Lowry,G,15.00%,59.5
13,4738236034,chicagoputz,0,335,G Patrick Cantlay G Tommy Fleetwood G Shane Lowry G Denny McCarthy G Min Woo Lee G Andrew Novak,,Sam Burns,G,15.00%,70.5
14,4737548959,snyde167,0,311.5,G Collin Morikawa G Tommy Fleetwood G Si Woo Kim G Keegan Bradley G Denny McCarthy G Lucas Glover,,J.T. Poston,G,15.00%,10.5
15,4739467813,andcohen2525,0,310.5,G Justin Thomas G Tommy Fleetwood G Tony Finau G Robert Macintyre G J.T. Poston G Stephan Jaeger,,Christiaan Bezuidenhout,G,15.00%,17
16,4737733508,magic_21,0,308,G Collin Morikawa G Corey Conners G Si Woo Kim G Denny McCarthy G Sam Burns G Christiaan Bezuidenhout,,Michael Kim,G,15.00%,53.5
17,4739496157,gapfaff,0,305,G Collin Morikawa G Hideki Matsuyama G Daniel Berger G Sungjae Im G Denny McCarthy G Tom Hoge,,Eric Cole,G,15.00%,46
18,4737856609,jabella72,0,301.5,G Scottie Scheffler G Justin Thomas G Alex Noren G Sam Stevens G Lucas Glover G Matthieu Pavon,,Lucas Glover,G,15.00%,12.5
19,4739493812,Knock0ut12,0,268.5,G Scottie Scheffler G Si Woo Kim G Denny McCarthy G J.T. Poston G Christiaan Bezuidenhout G Nick Dunlap,,Patrick Cantlay,G,10.00%,68.5
20,4739527297,concord,0,230,G Scottie Scheffler G Daniel Berger G Aaron Rai G J.T. Poston G Eric Cole G Austin Eckroat,,Daniel Berger,G,10.00%,16.5
,,,,,,,Maverick McNealy,G,10.00%,82
,,,,,,,Aaron Rai,G,10.00%,19
,,,,,,,Max Homa,G,10.00%,44.5
,,,,,,,Alex Noren,G,10.00%,54.5
,,,,,,,Min Woo Lee,G,10.00%,45
,,,,,,,Andrew Novak,G,10.00%,48
,,,,,,,Stephan Jaeger,G,10.00%,59
,,,,,,,Sam Stevens,G,10.00%,52.5
,,,,,,,Tom Hoge,G,10.00%,70
,,,,,,,Xander Schauffele,G,5.00%,74
,,,,,,,Hideki Matsuyama,G,5.00%,53.5
,,,,,,,Viktor Hovland,G,5.00%,63
,,,,,,,Jordan Spieth,G,5.00%,72.5
,,,,,,,Russell Henley,G,5.00%,71.5
,,,,,,,Tony Finau,G,5.00%,55.5
,,,,,,,Sungjae Im,G,5.00%,63
,,,,,,,Matt Fitzpatrick,G,5.00%,59
,,,,,,,Ben Griffin,G,5.00%,103.5
,,,,,,,Harris English,G,5.00%,65.5
,,,,,,,Robert Macintyre,G,5.00%,57
,,,,,,,Taylor Pendrith,G,5.00%,66
,,,,,,,Mackenzie Hughes,G,5.00%,56.5
,,,,,,,Bud Cauley,G,5.00%,53
,,,,,,,Ryan Fox,G,5.00%,58.5
,,,,,,,Nick Taylor,G,5.00%,91.5
,,,,,,,Matti Schmid,G,5.00%,18
,,,,,,,Austin Eckroat,G,5.00%,34.5
,,,,,,,Jhonattan Vegas,G,5.00%,47.5
,,,,,,,Chris Kirk,G,5.00%,18
,,,,,,,Matthieu Pavon,G,5.00%,22
,,,,,,,Nick Dunlap,G,5.00%,45
