Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4185062473,magic_21,0,568,G Cameron Young G Min Woo Lee G Denny McCarthy G Jake Knapp G Austin Eckroat G Davis Riley,,Luke List,G,31.25%,33.5
2,4184360607,NPitz14,0,482.5,G Rory McIlroy G Justin Rose G Tom Hoge G Rickie Fowler G Erik Van Rooyen G Billy Horschel,,Eric Cole,G,25.00%,26
3,4183430025,ryanhupfer,0,478.5,G Byeong Hun An G Shane Lowry G Corey Conners G Keith Mitchell G Carson Young G C.T. Pan,,Matthieu Pavon,G,25.00%,82
4,4185686020,boyewsky,0,461,G Byeong Hun An G Keith Mitchell G Stephan Jaeger G Matthieu Pavon G Erik Van Rooyen G Sami Valimaki,,Justin Rose,G,25.00%,66
5,4183419501,chicagoputz,0,460.5,G Rory McIlroy G Byeong Hun An G Justin Rose G Rickie Fowler G Ben Griffin G Nick Dunlap,,Byeong Hun An,G,25.00%,85.5
6,4183614974,andcohen2525,0,459,G Russell Henley G Tom Kim G Eric Cole G Doug Ghim G Carson Young G Sam Ryder,,Christiaan Bezuidenhout,G,25.00%,35
7,4185763118,mlewicki,0,399.5,G Russell Henley G Byeong Hun An G Stephan Jaeger G Christiaan Bezuidenhout G Erik Van Rooyen G Robert Macintyre,,Jake Knapp,G,18.75%,101.5
8,4185687137,jabella72,0,396.5,G Russell Henley G Chris Kirk G Stephan Jaeger G Sepp Straka G Doug Ghim G Sam Ryder,,Rory McIlroy,G,18.75%,81.5
9,4183497705,jimm743,0,393.0,G Tom Kim G Shane Lowry G Daniel Berger G Luke List G Carson Young G Robert Macintyre,,Rickie Fowler,G,18.75%,74
10,4183420260,Jph315,0,365,G Matthieu Pavon G Sepp Straka G Jake Knapp G Beau Hossler G Luke List G Christiaan Bezuidenhout,,Sepp Straka,G,18.75%,30.5
11,4185169359,cubyblue,0,352,G Rory McIlroy G J.T. Poston G Tom Hoge G Akshay Bhatia G Davis Thompson G Justin Lower,,Carson Young,G,18.75%,69
12,4183411821,darksidefan,0,342.5,G Eric Cole G Matthieu Pavon G Jake Knapp G Luke List G Justin Rose G Thomas Detry,,Daniel Berger,G,18.75%,26
13,4185099767,gapfaff,0,340,G Eric Cole G Chris Kirk G Tom Hoge G Thorbjorn Olesen G Brendon Todd G Mark Hubbard,,Russell Henley,G,18.75%,78.5
14,4184396856,concord,0,333,G Cameron Young G Sepp Straka G Luke List G Adam Svensson G Christiaan Bezuidenhout G Ryo Hisatsune,,Tom Hoge,G,18.75%,75
15,4184041736,cmilly-97,0,325.5,G Sungjae Im G Daniel Berger G Justin Rose G Thorbjorn Olesen G Christiaan Bezuidenhout G Rickie Fowler,,Erik Van Rooyen,G,18.75%,121
16,4184794469,JonBuc1,0,267.5,G Eric Cole G Daniel Berger G Matthieu Pavon G Luke List G Adam Svensson G Justin Lower,,Stephan Jaeger,G,18.75%,29.5
17,4184794469,American-Dream,0,221.0,G Eric Cole G Daniel Berger G Matthieu Pavon G Luke List G Adam Svensson G Justin Lower,,Stephan Jaeger,G,18.75%,29.5
,,,,,,,Shane Lowry,G,12.50%,104
,,,,,,,Keith Mitchell,G,12.50%,99.5
,,,,,,,Tom Kim,G,12.50%,70
,,,,,,,Robert Macintyre,G,12.50%,54
,,,,,,,Doug Ghim,G,12.50%,79.5
,,,,,,,Sam Ryder,G,12.50%,82
,,,,,,,Thorbjorn Olesen,G,12.50%,26
,,,,,,,Cameron Young,G,12.50%,101
,,,,,,,Adam Svensson,G,12.50%,26
,,,,,,,Justin Lower,G,12.50%,28
,,,,,,,Chris Kirk,G,12.50%,89.5
,,,,,,,Thomas Detry,G,6.25%,16.5
,,,,,,,Ben Griffin,G,6.25%,23.5
,,,,,,,Nick Dunlap,G,6.25%,82.5
,,,,,,,Beau Hossler,G,6.25%,73.5
,,,,,,,Corey Conners,G,6.25%,68
,,,,,,,C.T. Pan,G,6.25%,80
,,,,,,,Sungjae Im,G,6.25%,26.5
,,,,,,,Billy Horschel,G,6.25%,93
,,,,,,,Ryo Hisatsune,G,6.25%,30
,,,,,,,Min Woo Lee,G,6.25%,119.5
,,,,,,,Denny McCarthy,G,6.25%,28
,,,,,,,Austin Eckroat,G,6.25%,128.5
,,,,,,,Davis Riley,G,6.25%,67
,,,,,,,Brendon Todd,G,6.25%,28
,,,,,,,Mark Hubbard,G,6.25%,67
,,,,,,,J.T. Poston,G,6.25%,62
,,,,,,,Akshay Bhatia,G,6.25%,24
,,,,,,,Davis Thompson,G,6.25%,74
,,,,,,,Sami Valimaki,G,6.25%,33.5
