Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4662151118,NPitz14,0,435.5,G Scottie Scheffler G Collin Morikawa G Sepp Straka G Aaron Rai G Taylor Moore G Alex Smalley,,Ludvig Aberg,G,52.38%,32
2,4660719888,gapfaff,0,417.5,G Justin Thomas G Tommy Fleetwood G Will Zalatoris G Sepp Straka G Justin Rose G Jake Knapp,,Keegan Bradley,G,47.62%,79.5
3,4661470656,magic_21,0,402.5,G Scottie Scheffler G Si Woo Kim G Corey Conners G Brian Harman G Harris English G Tom Hoge,,Sepp Straka,G,42.86%,76.5
4,4663180395,darksidefan,0,401,G Ludvig Aberg G Tommy Fleetwood G Will Zalatoris G Sepp Straka G Akshay Bhatia G Nicolai Hojgaard,,Scottie Scheffler,G,28.57%,64.5
5,4658213532,American-Dream,0,382.5,G Collin Morikawa G Justin Thomas G Jordan Spieth G Keegan Bradley G Rickie Fowler G Justin Rose,,Hideki Matsuyama,G,23.81%,33.5
6,4663127480,Knock0ut12,0,380,G Collin Morikawa G Ludvig Aberg G Sepp Straka G Keegan Bradley G Aaron Rai G Michael Kim,,Collin Morikawa,G,19.05%,83
7,4662261349,JonBuc1,0,377,G Scottie Scheffler G Ludvig Aberg G Keegan Bradley G Akshay Bhatia G Sam Stevens G Jake Knapp,,Justin Thomas,G,19.05%,80
8,4661641320,jabella72,0,374.5,G Rory McIlroy G Justin Thomas G Keegan Bradley G Max Greyserman G Christiaan Bezuidenhout G Jhonattan Vegas,,Jason Day,G,19.05%,0
9,4661868558,aceshigh1973,0,404.5,G Ludvig Aberg G Shane Lowry G Jason Day G Corey Conners G Keegan Bradley G J.J. Spaun,,Michael Kim,G,19.05%,31.5
10,4660798497,hupfdaddy,0,360.5,G Ludvig Aberg G Russell Henley G Shane Lowry G Viktor Hovland G Akshay Bhatia G Carson Young,,Rickie Fowler,G,14.29%,49
11,4658325069,VOODOG23,0,348,G Rory McIlroy G Ludvig Aberg G Maverick McNealy G Keegan Bradley G Rickie Fowler G Joel Dahmen,,Justin Rose,G,14.29%,28.5
12,4662606645,ryanhupfer,0,347,G Hideki Matsuyama G Tommy Fleetwood G Sepp Straka G Tom Hoge G Gary Woodland G Sungjae Im,,Corey Conners,G,14.29%,85.5
13,4660156251,snyde167,0,329.5,G Ludvig Aberg G Justin Thomas G Daniel Berger G Sepp Straka G Nicolai Hojgaard G Patrick Rodgers,,Nicolai Hojgaard,G,14.29%,29
14,4661244999,jimm743,0,321.5,G Ludvig Aberg G Hideki Matsuyama G Sepp Straka G Min Woo Lee G Keegan Bradley G Karl Vilips,,Tommy Fleetwood,G,14.29%,76
15,4663274606,boyewsky,0,320.5,G Ludvig Aberg G Hideki Matsuyama G Sepp Straka G Si Woo Kim G Aaron Rai G Michael Kim,,Shane Lowry,G,14.29%,74.5
16,4663290115,cubyblue,0,285,G Scottie Scheffler G Jordan Spieth G Adam Scott G Sahith Theegala G Max Homa G Rickie Fowler,,Akshay Bhatia,G,14.29%,102
17,4661554797,cmilly-97,0,278.5,G Scottie Scheffler G Collin Morikawa G Wyndham Clark G Justin Rose G Nicolai Hojgaard G Jacob Bridgeman,,Brian Harman,G,14.29%,21.5
18,4661235130,chicagoputz,0,260,G Hideki Matsuyama G Shane Lowry G Maverick McNealy G Sepp Straka G Brian Harman G Michael Kim,,Si Woo Kim,G,14.29%,69.5
19,4661288174,Lumberjac,0,280.5,G Scottie Scheffler G Si Woo Kim G Jason Day G Keegan Bradley G Brian Harman G Andrew Putnam,,Aaron Rai,G,14.29%,77.5
20,4658237005,Jph315,0,267.5,G Ludvig Aberg G Wyndham Clark G Jason Day G Corey Conners G Keegan Bradley G Ben Griffin,,Jordan Spieth,G,9.52%,62.5
21,4661963384,concord,0,273.5,G Ludvig Aberg G Hideki Matsuyama G Jason Day G Byeong Hun An G Keegan Bradley G Michael Kim,,Wyndham Clark,G,9.52%,20.5
