Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4274378314,American-Dream,0,440,G Collin Morikawa G Tom Hoge G Keegan Bradley G Rickie Fowler G Eric Cole G Webb Simpson,,Scottie Scheffler,G,53.33%,104
2,4274378626,Jph315,0,434,G Scottie Scheffler G Tom Hoge G Mark Hubbard G Maverick McNealy G Chan Kim G Peter Malnati,,Harris English,G,53.33%,24
3,4274792772,JonBuc1,0,404,G Scottie Scheffler G Sepp Straka G Davis Thompson G Nicolai Hojgaard G Ryo Hisatsune G Adam Svensson,,Thomas Detry,G,26.67%,50
4,4274758109,cubyblue,0,385,G Scottie Scheffler G Aaron Rai G Austin Eckroat G Lee Hodges G Ryo Hisatsune G Doug Ghim,,Austin Eckroat,G,26.67%,18.5
5,4274389480,ryanhupfer,0,377,G Tony Finau G Harris English G Christiaan Bezuidenhout G Lucas Glover G Andrew Putnam G Lee Hodges,,Tony Finau,G,20.00%,62.5
6,4275056783,magic_21,0,374,G Scottie Scheffler G Harris English G Thomas Detry G Austin Eckroat G Emiliano Grillo G David Lipsky,,Tom Hoge,G,20.00%,62
7,4275647662,Lumberjac,0,370.5,G Sungjae Im G Adam Scott G Harris English G Aaron Rai G J.T. Poston G Robert Macintyre,,Christiaan Bezuidenhout,G,20.00%,66
8,4275161297,chicagoputz,0,368,G Scottie Scheffler G Keegan Bradley G Rickie Fowler G Austin Eckroat G Adam Schenk G Ben Kohles,,Keegan Bradley,G,20.00%,93.5
9,4274678573,gapfaff,0,367.5,G Tony Finau G Brian Harman G Thomas Detry G Taylor Moore G Mark Hubbard G Brendon Todd,,Aaron Rai,G,20.00%,53
10,4274868433,Knock0ut12,0,350.5,G Tom Hoge G Harris English G Christiaan Bezuidenhout G Denny McCarthy G Keith Mitchell G Ryan Palmer,,Mark Hubbard,G,20.00%,44.5
10,4275707685,jabella72,0,340.5,G Scottie Scheffler G Harris English G Thomas Detry G Maverick McNealy G Andrew Novak G Ben Kohles,,Ben Kohles,G,20.00%,20
12,4274726659,cmilly-97,0,339.5,G Scottie Scheffler G Thomas Detry G Mark Hubbard G Doug Ghim G Eric Cole G Nate Lashley,,Tom Kim,G,13.33%,58
13,4274690189,aceshigh1973,0,334,G Scottie Scheffler G Harris English G Tom Kim G Aaron Rai G Carson Young G Ben Kohles,,Maverick McNealy,G,13.33%,67
14,4274397516,NPitz14,0,328.5,G Tony Finau G Harris English G Chris Kirk G Tom Kim G J.T. Poston G Luke List,,J.T. Poston,G,13.33%,69
15,4275388615,jimm743,0,327.5,G Max Homa G Harris English G Christiaan Bezuidenhout G Keegan Bradley G Austin Eckroat G Carson Young,,Rickie Fowler,G,13.33%,57
16,4275388615,snyde167,0,314.5,G Max Homa G Harris English G Christiaan Bezuidenhout G Keegan Bradley G Austin Eckroat G Carson Young,,Rickie Fowler,G,13.33%,57
17,4275388615,VOODOG23,0,306,G Max Homa G Harris English G Christiaan Bezuidenhout G Keegan Bradley G Austin Eckroat G Carson Young,,Rickie Fowler,G,13.33%,57
18,4275388615,andcohen2525,0,275,G Max Homa G Harris English G Christiaan Bezuidenhout G Keegan Bradley G Austin Eckroat G Carson Young,,Rickie Fowler,G,13.33%,57
18,4275388615,darksidefan,0,254,G Max Homa G Harris English G Christiaan Bezuidenhout G Keegan Bradley G Austin Eckroat G Carson Young,,Rickie Fowler,G,13.33%,57
19,4275388615,boyewsky,0,217,G Max Homa G Harris English G Christiaan Bezuidenhout G Keegan Bradley G Austin Eckroat G Carson Young,,Rickie Fowler,G,13.33%,57
,,,,,,,Lee Hodges,G,13.33%,74
,,,,,,,Ryo Hisatsune,G,13.33%,21
,,,,,,,Doug Ghim,G,13.33%,46
,,,,,,,Eric Cole,G,13.33%,19.5
,,,,,,,Carson Young,G,13.33%,20.5
,,,,,,,Collin Morikawa,G,6.67%,95
,,,,,,,Max Homa,G,6.67%,16
,,,,,,,Brian Harman,G,6.67%,62.5
,,,,,,,Sungjae Im,G,6.67%,67.5
,,,,,,,Adam Scott,G,6.67%,71
,,,,,,,Denny McCarthy,G,6.67%,62.5
,,,,,,,Keith Mitchell,G,6.67%,55.5
,,,,,,,Chris Kirk,G,6.67%,16.5
,,,,,,,Sepp Straka,G,6.67%,78.5
,,,,,,,Taylor Moore,G,6.67%,25.5
,,,,,,,Davis Thompson,G,6.67%,63
,,,,,,,Lucas Glover,G,6.67%,65
,,,,,,,Adam Schenk,G,6.67%,5
,,,,,,,Andrew Putnam,G,6.67%,24.5
,,,,,,,Nicolai Hojgaard,G,6.67%,15
,,,,,,,Emiliano Grillo,G,6.67%,42
,,,,,,,Robert Macintyre,G,6.67%,24
,,,,,,,Brendon Todd,G,6.67%,52.5
,,,,,,,Luke List,G,6.67%,22.5
,,,,,,,Webb Simpson,G,6.67%,49.5
,,,,,,,Nate Lashley,G,6.67%,23
,,,,,,,Adam Svensson,G,6.67%,58
,,,,,,,Chan Kim,G,6.67%,22.5
,,,,,,,Andrew Novak,G,6.67%,22.5
,,,,,,,Peter Malnati,G,6.67%,59
,,,,,,,Ryan Palmer,G,6.67%,17.5
,,,,,,,David Lipsky,G,6.67%,77
