Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4756812609,chicagoputz,0,510.5,G Patrick Cantlay G Russell Henley G Keegan Bradley G Cameron Young G Maverick McNealy G Daniel Berger,,Keegan Bradley,G,45.00%,120
2,4756820775,VOODOG23,0,500.5,G Scottie Scheffler G Keegan Bradley G Ben Griffin G Ryan Fox G Tom Hoge G Gary Woodland,,Scottie Scheffler,G,40.00%,102.5
3,4756886918,Jph315,0,494.5,G Scottie Scheffler G Keegan Bradley G Hideki Matsuyama G Harris English G Matti Schmid G Adam Hadwin,,Ben Griffin,G,40.00%,73
4,4757058154,aceshigh1973,0,487.5,G Justin Thomas G Russell Henley G Robert Macintyre G Ben Griffin G Cameron Young G Maverick McNealy,,Cameron Young,G,30.00%,68
5,4758295730,gapfaff,0,486,G Justin Thomas G Sam Burns G Keegan Bradley G Ben Griffin G Sungjae Im G Denny McCarthy,,Jordan Spieth,G,25.00%,1
6,4756920248,magic_21,0,480.5,G Patrick Cantlay G Russell Henley G Keegan Bradley G Ben Griffin G Si Woo Kim G Denny McCarthy,,Collin Morikawa,G,20.00%,64
7,4758344202,concord,0,471.5,G Collin Morikawa G Patrick Cantlay G Keegan Bradley G Aaron Rai G Tom Kim G Nick Taylor,,Patrick Cantlay,G,20.00%,79.5
8,4758356574,JonBuc1,0,467.5,G Scottie Scheffler G Hideki Matsuyama G Daniel Berger G Mackenzie Hughes G Jason Day G Bud Cauley,,Viktor Hovland,G,20.00%,60
9,4758437671,NPitz14,0,466.5,G Scottie Scheffler G Robert Macintyre G Ben Griffin G Nick Taylor G Bud Cauley G Jacob Bridgeman,,Russell Henley,G,20.00%,111
10,4758277139,ryanhupfer,0,463,G Sepp Straka G Viktor Hovland G Tommy Fleetwood G Cameron Young G Harris English G Akshay Bhatia,,Justin Thomas,G,15.00%,85.5
11,4758456832,boyewsky,0,461.5,G Patrick Cantlay G Sam Burns G Keegan Bradley G Cameron Young G Si Woo Kim G Jason Day,,Sepp Straka,G,15.00%,60
12,4757912272,hupfdaddy,0,424.5,G Scottie Scheffler G Viktor Hovland G Luke Clanton G Akshay Bhatia G Max Homa G Byeong Hun An,,Tommy Fleetwood,G,15.00%,113.5
13,4757132865,snyde167,0,420,G Scottie Scheffler G Xander Schauffele G Akshay Bhatia G Lucas Glover G Adam Hadwin G Jhonattan Vegas,,Robert Macintyre,G,15.00%,79
14,4758352412,darksidefan,0,415,G Collin Morikawa G Tommy Fleetwood G Ben Griffin G Cameron Young G Si Woo Kim G Brian Harman,,Si Woo Kim,G,15.00%,12.5
15,4756611744,jabella72,0,414,G Scottie Scheffler G Tommy Fleetwood G Jordan Spieth G Ryan Gerard G Alex Noren G Kevin Yu,,Akshay Bhatia,G,15.00%,57
16,4756647629,Lumberjac,0,404,G Justin Thomas G Sepp Straka G Robert Macintyre G Shane Lowry G Sungjae Im G Nick Taylor,,Denny McCarthy,G,15.00%,84.5
17,4758410061,Knock0ut12,0,393,G Collin Morikawa G Sepp Straka G Keegan Bradley G Jordan Spieth G Denny McCarthy G Max Greyserman,,Nick Taylor,G,15.00%,75.5
18,4757496307,jimm743,0,371.5,G Viktor Hovland G Russell Henley G J.J. Spaun G Jordan Spieth G Ben Griffin G Min Woo Lee,,Sam Burns,G,10.00%,72.5
19,4756602386,American-Dream,0,367,G Collin Morikawa G Viktor Hovland G Keegan Bradley G Jordan Spieth G Cameron Young G Eric Cole,,Hideki Matsuyama,G,10.00%,76
20,4758146236,cmilly-97,0,353,G Scottie Scheffler G Jordan Spieth G Ben Griffin G J.T. Poston G Sam Stevens G Max Homa,,Sungjae Im,G,10.00%,50.5
,,,,,,,Harris English,G,10.00%,104.5
,,,,,,,Maverick McNealy,G,10.00%,71
,,,,,,,Daniel Berger,G,10.00%,61
,,,,,,,Jason Day,G,10.00%,109
,,,,,,,Bud Cauley,G,10.00%,72
,,,,,,,Max Homa,G,10.00%,52
,,,,,,,Adam Hadwin,G,10.00%,54
,,,,,,,Xander Schauffele,G,5.00%,58
,,,,,,,J.J. Spaun,G,5.00%,81.5
,,,,,,,Shane Lowry,G,5.00%,53.5
,,,,,,,Aaron Rai,G,5.00%,74
,,,,,,,Luke Clanton,G,5.00%,70
,,,,,,,Min Woo Lee,G,5.00%,45
,,,,,,,J.T. Poston,G,5.00%,57
,,,,,,,Brian Harman,G,5.00%,84
,,,,,,,Mackenzie Hughes,G,5.00%,47
,,,,,,,Tom Kim,G,5.00%,58.5
,,,,,,,Ryan Fox,G,5.00%,78.5
,,,,,,,Max Greyserman,G,5.00%,63.5
,,,,,,,Tom Hoge,G,5.00%,64.5
,,,,,,,Ryan Gerard,G,5.00%,59
,,,,,,,Sam Stevens,G,5.00%,67.5
,,,,,,,Alex Noren,G,5.00%,64
,,,,,,,Kevin Yu,G,5.00%,74
,,,,,,,Jacob Bridgeman,G,5.00%,64.5
,,,,,,,Byeong Hun An,G,5.00%,83
,,,,,,,Gary Woodland,G,5.00%,62
,,,,,,,Matti Schmid,G,5.00%,37.5
,,,,,,,Eric Cole,G,5.00%,54
,,,,,,,Lucas Glover,G,5.00%,85
,,,,,,,Jhonattan Vegas,G,5.00%,63.5
