Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4717002574,snyde167,0,507.5,G Justin Thomas G Tommy Fleetwood G Jordan Spieth G Shane Lowry G Matt Fitzpatrick G Alex Noren,,Russell Henley,G,40.91%,67
2,4718924407,andcohen2525,0,502.5,G Justin Thomas G Tommy Fleetwood G Shane Lowry G Andrew Novak G Justin Rose G Stephan Jaeger,,Justin Thomas,G,31.82%,108
3,4717204893,hupfdaddy,0,498,G Russell Henley G Viktor Hovland G Corey Conners G Sepp Straka G Akshay Bhatia G Harris English,,Tommy Fleetwood,G,31.82%,100.5
3,4718900378,gapfaff,0,498,G Ludvig Aberg G Tommy Fleetwood G Corey Conners G Shane Lowry G Stephan Jaeger G Eric Cole,,Corey Conners,G,27.27%,80
5,4716771635,NPitz14,0,488.5,G Rory McIlroy G Xander Schauffele G Sepp Straka G Eric Cole G Michael Thorbjornsen G Cameron Davis,,Justin Rose,G,22.73%,22.5
6,4717286105,concord,0,479.5,G Patrick Cantlay G Corey Conners G Daniel Berger G Min Woo Lee G Brian Harman G Keith Mitchell,,Ludvig Aberg,G,22.73%,55
7,4716761869,jabella72,0,475.5,G Rory McIlroy G Justin Thomas G Denny McCarthy G J.T. Poston G Ryan Gerard G Erik Van Rooyen,,Shane Lowry,G,22.73%,103
8,4718872664,boyewsky,0,467,G Justin Thomas G Russell Henley G Shane Lowry G Sam Burns G Brian Harman G Tom Hoge,,Sam Burns,G,22.73%,75
9,4718292978,ryanhupfer,0,450,G Xander Schauffele G Ludvig Aberg G Tommy Fleetwood G Akshay Bhatia G Harris English G Tom Hoge,,Rory McIlroy,G,18.18%,94.5
10,4718977782,darksidefan,0,445,G Russell Henley G Tommy Fleetwood G Corey Conners G Sam Burns G Andrew Novak G Tom Hoge,,Jordan Spieth,G,18.18%,70.5
11,4716803522,VOODOG23,0,443,G Rory McIlroy G Russell Henley G Maverick McNealy G Andrew Novak G Rickie Fowler G Erik Van Rooyen,,Andrew Novak,G,18.18%,73.5
12,4718606004,Knock0ut12,0,438,G Rory McIlroy G Russell Henley G Maverick McNealy G Sam Burns G Christiaan Bezuidenhout G Brian Campbell,,Eric Cole,G,18.18%,64.5
13,4718096669,aceshigh1973,0,437,G Xander Schauffele G Russell Henley G Maverick McNealy G Aaron Rai G Taylor Pendrith G Stephan Jaeger,,Wyndham Clark,G,18.18%,52.5
14,4717197956,jimm743,0,426.5,G Ludvig Aberg G Russell Henley G Sepp Straka G Min Woo Lee G J.T. Poston G Tom Hoge,,Maverick McNealy,G,18.18%,58.5
15,4716768443,American-Dream,0,425,G Justin Thomas G Jordan Spieth G Daniel Berger G Andrew Novak G Justin Rose G Eric Cole,,Tom Hoge,G,18.18%,49
16,4718092998,cmilly-97,0,422,G Justin Thomas G Jordan Spieth G Shane Lowry G Min Woo Lee G Justin Rose G Adam Scott,,Daniel Berger,G,13.64%,86
17,4716983466,chicagoputz,0,417.5,G Russell Henley G Corey Conners G Daniel Berger G Keegan Bradley G Wyndham Clark G Ben Griffin,,Xander Schauffele,G,13.64%,81.5
17,4717962987,JonBuc1,0,417.5,G Ludvig Aberg G Tommy Fleetwood G Maverick McNealy G Wyndham Clark G Keith Mitchell G Will Zalatoris,,Sepp Straka,G,13.64%,128.5
19,4717153382,Lumberjac,0,408.5,G Collin Morikawa G Russell Henley G Viktor Hovland G Sam Burns G Eric Cole G Michael Thorbjornsen,,Keegan Bradley,G,13.64%,75
20,4717083041,magic_21,0,400.5,G Collin Morikawa G Jordan Spieth G Corey Conners G Keegan Bradley G Michael Kim G Christiaan Bezuidenhout,,Viktor Hovland,G,13.64%,58.5
21,4716778057,Jph315,0,374.5,G Ludvig Aberg G Tommy Fleetwood G Keegan Bradley G Wyndham Clark G Justin Rose G Byeong Hun An,,Min Woo Lee,G,13.64%,55
22,4717311123,cubyblue,0,372.5,G Justin Thomas G Viktor Hovland G Sam Burns G Wyndham Clark G Justin Rose G Will Zalatoris,,Stephan Jaeger,G,13.64%,95
,,,,,,,J.T. Poston,G,9.09%,72
,,,,,,,Erik Van Rooyen,G,9.09%,67
,,,,,,,Michael Thorbjornsen,G,9.09%,64.5
,,,,,,,Collin Morikawa,G,9.09%,79
,,,,,,,Christiaan Bezuidenhout,G,9.09%,65
,,,,,,,Akshay Bhatia,G,9.09%,75
,,,,,,,Harris English,G,9.09%,89
,,,,,,,Brian Harman,G,9.09%,65
,,,,,,,Keith Mitchell,G,9.09%,95
,,,,,,,Will Zalatoris,G,9.09%,56
,,,,,,,Denny McCarthy,G,4.55%,71
,,,,,,,Ryan Gerard,G,4.55%,63
,,,,,,,Cameron Davis,G,4.55%,55
,,,,,,,Byeong Hun An,G,4.55%,69
,,,,,,,Rickie Fowler,G,4.55%,82.5
,,,,,,,Ben Griffin,G,4.55%,57
,,,,,,,Matt Fitzpatrick,G,4.55%,67
,,,,,,,Alex Noren,G,4.55%,58.5
,,,,,,,Michael Kim,G,4.55%,31
,,,,,,,Patrick Cantlay,G,4.55%,98.5
,,,,,,,Adam Scott,G,4.55%,63
,,,,,,,Aaron Rai,G,4.55%,74.5
,,,,,,,Taylor Pendrith,G,4.55%,60.5
,,,,,,,Brian Campbell,G,4.55%,78
