Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4750611918,Knock0ut12,0,282,G Scottie Scheffler G Shane Lowry G Sepp Straka G Sam Burns G Cameron Young G Thomas Detry,,Bryson DeChambeau,G,47.62%,16
2,4749650728,snyde167,0,263,G Bryson DeChambeau G Patrick Cantlay G Viktor Hovland G Russell Henley G Jason Day G Si Woo Kim,,Scottie Scheffler,G,42.86%,65
2,4750348653,JonBuc1,0,263,G Scottie Scheffler G Shane Lowry G Russell Henley G Ben Griffin G Harris English G Taylor Pendrith,,Shane Lowry,G,38.10%,10.5
4,4752197646,boyewsky,0,257.5,G Bryson DeChambeau G Jon Rahm G Joaquin Niemann G Sam Burns G Harris English G Carlos Ortiz,,Sepp Straka,G,33.33%,12.5
5,4750838259,cmilly-97,0,256.5,G Scottie Scheffler G Collin Morikawa G Sam Burns G Harris English G Aaron Rai G Brian Campbell,,Joaquin Niemann,G,28.57%,12
6,4749689451,Jph315,0,249,G Scottie Scheffler G Viktor Hovland G Brooks Koepka G Corey Conners G Justin Lower G Eric Cole,,Corey Conners,G,23.81%,30.5
6,4752009237,cubyblue,0,249,G Patrick Cantlay G Justin Thomas G Joaquin Niemann G Viktor Hovland G Jordan Spieth G Sam Burns,,Harris English,G,23.81%,28
8,4752295729,darksidefan,0,247.5,G Xander Schauffele G Collin Morikawa G Shane Lowry G Keegan Bradley G Corey Conners G Ben Griffin,,Justin Thomas,G,19.05%,15
9,4752205458,concord,0,247,G Scottie Scheffler G Hideki Matsuyama G Sepp Straka G Tyrrell Hatton G Aaron Rai G Zac Blair,,Aaron Rai,G,19.05%,44.5
10,4749720966,jabella72,0,236.5,G Scottie Scheffler G Justin Thomas G Sepp Straka G J.J. Spaun G Bud Cauley G Ryan Gerard,,Russell Henley,G,19.05%,51.5
11,4750218938,NPitz14,0,233.5,G Bryson DeChambeau G Jon Rahm G Joaquin Niemann G Sepp Straka G Robert Macintyre G Emiliano Grillo,,Collin Morikawa,G,19.05%,45
12,4749876317,aceshigh1973,0,229.5,G Scottie Scheffler G Shane Lowry G Sepp Straka G Ben Griffin G Maverick McNealy G Ryan Gerard,,Hideki Matsuyama,G,19.05%,37.5
13,4750124033,gapfaff,0,215,G Jon Rahm G Collin Morikawa G Hideki Matsuyama G Shane Lowry G Corey Conners G Harris English,,Jon Rahm,G,19.05%,63.5
14,4749632893,VOODOG23,0,198.5,G Scottie Scheffler G Bryson DeChambeau G Aaron Rai G Nick Taylor G Lucas Glover G Matthew McCarty,,Sam Burns,G,19.05%,67.5
15,4750061855,Lumberjac,0,190,G Bryson DeChambeau G Jon Rahm G Sepp Straka G Russell Henley G Corey Conners G Bud Cauley,,Jordan Spieth,G,14.29%,52
16,4750383149,chicagoputz,0,185.5,G Bryson DeChambeau G Ludvig Aberg G Hideki Matsuyama G Jordan Spieth G Min Woo Lee G Maverick McNealy,,Viktor Hovland,G,14.29%,83.5
17,4750159158,magic_21,0,180.5,G Scottie Scheffler G Joaquin Niemann G Shane Lowry G Akshay Bhatia G Aaron Rai G Ryan Gerard,,Ryan Gerard,G,14.29%,35.5
18,4749621667,American-Dream,0,174.5,G Bryson DeChambeau G Justin Thomas G Shane Lowry G Jordan Spieth G Keegan Bradley G Corey Conners,,Akshay Bhatia,G,14.29%,13
19,4749761529,andcohen2525,0,150,G Bryson DeChambeau G Collin Morikawa G Hideki Matsuyama G Shane Lowry G Akshay Bhatia G Harris English,,Ben Griffin,G,14.29%,58
20,4750439862,jimm743,0,146,G Bryson DeChambeau G Justin Thomas G Joaquin Niemann G Tyrrell Hatton G Min Woo Lee G Akshay Bhatia,,Keegan Bradley,G,9.52%,50.5
21,4751636242,ryanhupfer,0,136.5,G Bryson DeChambeau G Tommy Fleetwood G Joaquin Niemann G Sepp Straka G Russell Henley G Brian Harman,,Patrick Cantlay,G,9.52%,19
,,,,,,,Bud Cauley,G,9.52%,16
,,,,,,,Maverick McNealy,G,9.52%,48
,,,,,,,Min Woo Lee,G,9.52%,16
,,,,,,,Tyrrell Hatton,G,9.52%,74
,,,,,,,Nick Taylor,G,4.76%,51.5
,,,,,,,Lucas Glover,G,4.76%,19
,,,,,,,Matthew McCarty,G,4.76%,2.5
,,,,,,,Jason Day,G,4.76%,52
,,,,,,,Si Woo Kim,G,4.76%,41
,,,,,,,Brooks Koepka,G,4.76%,58
,,,,,,,Justin Lower,G,4.76%,-0.5
,,,,,,,Eric Cole,G,4.76%,12.5
,,,,,,,J.J. Spaun,G,4.76%,92.5
,,,,,,,Robert Macintyre,G,4.76%,80
,,,,,,,Emiliano Grillo,G,4.76%,49.5
,,,,,,,Taylor Pendrith,G,4.76%,50
,,,,,,,Ludvig Aberg,G,4.76%,16
,,,,,,,Cameron Young,G,4.76%,67
,,,,,,,Thomas Detry,G,4.76%,59.5
,,,,,,,Brian Campbell,G,4.76%,6.5
,,,,,,,Tommy Fleetwood,G,4.76%,14
,,,,,,,Brian Harman,G,4.76%,30.5
,,,,,,,Carlos Ortiz,G,4.76%,70.5
,,,,,,,Zac Blair,G,4.76%,13.5
,,,,,,,Xander Schauffele,G,4.76%,53
