Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4220886782,boyewsky,0,442,G Hideki Matsuyama G Corey Conners G Alex Noren G Christiaan Bezuidenhout G Aaron Rai G Ben Martin,,Harris English,G,37.50%,23
2,4218942209,mlewicki,0,440.5,G Hideki Matsuyama G Harris English G Russell Henley G Christiaan Bezuidenhout G Akshay Bhatia G Nicolai Hojgaard,,Christiaan Bezuidenhout,G,37.50%,66.5
3,4219545567,jimm743,0,424.5,G Ludvig Aberg G Harris English G Russell Henley G Christiaan Bezuidenhout G Akshay Bhatia G Nicolai Hojgaard,,Jordan Spieth,G,31.25%,92
4,4218877255,American-Dream,0,421,G Jordan Spieth G Corey Conners G Tommy Fleetwood G Eric Cole G Maverick McNealy G Adam Schenk,,Corey Conners,G,31.25%,79.5
5,4220299233,JonBuc1,0,412.5,G Max Homa G Jordan Spieth G Tom Kim G Akshay Bhatia G Maverick McNealy G Nicolai Hojgaard,,Ludvig Aberg,G,25.00%,69.5
6,4218911833,Jph315,0,408,G Rory McIlroy G Jordan Spieth G Christiaan Bezuidenhout G Eric Cole G Maverick McNealy G Stewart Cink,,Byeong Hun An,G,25.00%,19.5
7,4219681189,NPitz14,0,374,G Matt Fitzpatrick G Corey Conners G Alex Noren G Brian Harman G Victor Perez G Max Greyserman,,Billy Horschel,G,25.00%,23.5
8,4220588436,cubyblue,0,367,G Jordan Spieth G Tommy Fleetwood G Adam Scott G Rickie Fowler G Erik Van Rooyen G Lucas Glover,,Russell Henley,G,25.00%,89.5
9,4219906108,jabella72,0,358,G Corey Conners G Alex Noren G Harris English G Russell Henley G Christiaan Bezuidenhout G Erik Van Rooyen,,Akshay Bhatia,G,25.00%,126.5
10,4220863700,darksidefan,0,352,G Max Homa G Matt Fitzpatrick G Billy Horschel G Aaron Rai G Lucas Glover G Nate Lashley,,Maverick McNealy,G,25.00%,62
11,4219611896,chicagoputz,0,332.5,G Jordan Spieth G Byeong Hun An G Billy Horschel G Akshay Bhatia G Beau Hossler G Erik Van Rooyen,,Erik Van Rooyen,G,25.00%,26
12,4219370638,ryanhupfer,0,331.5,G Ludvig Aberg G Byeong Hun An G Harris English G Russell Henley G Keith Mitchell G Matti Schmid,,Max Homa,G,18.75%,65
13,4220387998,cmilly-97,0,326.5,G Max Homa G Corey Conners G Tommy Fleetwood G Byeong Hun An G Austin Eckroat G Padraig Harrington,,Tommy Fleetwood,G,18.75%,81
14,4220805735,concord,0,287,G Ludvig Aberg G Billy Horschel G Harris English G Eric Cole G Lucas Glover G Mark Hubbard,,Alex Noren,G,18.75%,73.5
15,4220754930,magic_21,0,267.5,G Ludvig Aberg G Brian Harman G Tom Kim G Rickie Fowler G Maverick McNealy G Erik Van Rooyen,,Tom Kim,G,18.75%,17.5
16,4220790098,gapfaff,0,207,G Byeong Hun An G Billy Horschel G Harris English G Tom Kim G Christiaan Bezuidenhout G Aaron Rai,,Aaron Rai,G,18.75%,57
,,,,,,,Eric Cole,G,18.75%,23
,,,,,,,Nicolai Hojgaard,G,18.75%,49.5
,,,,,,,Lucas Glover,G,18.75%,71.5
,,,,,,,Hideki Matsuyama,G,12.50%,85.5
,,,,,,,Matt Fitzpatrick,G,12.50%,73
,,,,,,,Brian Harman,G,12.50%,68.5
,,,,,,,Rickie Fowler,G,12.50%,24
,,,,,,,Rory McIlroy,G,6.25%,95.5
,,,,,,,Adam Scott,G,6.25%,72.5
,,,,,,,Keith Mitchell,G,6.25%,70
,,,,,,,Beau Hossler,G,6.25%,45
,,,,,,,Austin Eckroat,G,6.25%,65
,,,,,,,Victor Perez,G,6.25%,58
,,,,,,,Mark Hubbard,G,6.25%,76.5
,,,,,,,Adam Schenk,G,6.25%,83.5
,,,,,,,Max Greyserman,G,6.25%,21.5
,,,,,,,Matti Schmid,G,6.25%,60
,,,,,,,Nate Lashley,G,6.25%,62
,,,,,,,Ben Martin,G,6.25%,80
,,,,,,,Stewart Cink,G,6.25%,69
,,,,,,,Padraig Harrington,G,6.25%,16.5
