Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4667609947,American-Dream,0,397.5,G Tommy Fleetwood G Corey Conners G Michael Kim G Jacob Bridgeman G Danny Walker G Eric Cole,,Jake Knapp,G,50.00%,18.5
2,4668332057,Jph315,0,382,G Justin Thomas G Jordan Spieth G Viktor Hovland G Harry Hall G Nicolai Hojgaard G Matt Kuchar,,Corey Conners,G,40.91%,72
3,4667614525,jabella72,0,381.5,G Tommy Fleetwood G Sepp Straka G Bud Cauley G Ryan Gerard G Doug Ghim G Max McGreevy,,Tommy Fleetwood,G,36.36%,69
4,4667634207,snyde167,0,376,G Tommy Fleetwood G Lucas Glover G J.T. Poston G Christiaan Bezuidenhout G Billy Horschel G Max McGreevy,,Sepp Straka,G,31.82%,66.5
5,4668371350,aceshigh1973,0,370.5,G Corey Conners G Shane Lowry G Jake Knapp G Stephan Jaeger G Jacob Bridgeman G Doug Ghim,,Nicolai Hojgaard,G,31.82%,25.5
6,4669580258,Lumberjac,0,365,G Xander Schauffele G Tommy Fleetwood G Jacob Bridgeman G Joe Highsmith G Nicolai Hojgaard G Joseph Bramlett,,Jacob Bridgeman,G,22.73%,103
7,4667973137,jimm743,0,364.5,G Tommy Fleetwood G Tom Kim G Byeong Hun An G Thomas Detry G Joe Highsmith G Nicolai Hojgaard,,Will Zalatoris,G,22.73%,53
8,4669557364,boyewsky,0,347.5,G Sepp Straka G Shane Lowry G Alex Smalley G Jacob Bridgeman G Nicolai Hojgaard G Matti Schmid,,Christiaan Bezuidenhout,G,18.18%,17.5
9,4668078712,magic_21,0,322.5,G Tommy Fleetwood G Corey Conners G Jordan Spieth G Adam Hadwin G Joel Dahmen G Eric Cole,,Sam Burns,G,18.18%,28.5
9,4668244163,ryanhupfer,0,322.5,G Corey Conners G Will Zalatoris G Michael Kim G Sahith Theegala G Beau Hossler G Jhonattan Vegas,,Joe Highsmith,G,18.18%,67
11,4668567247,cmilly-97,0,311,G Sepp Straka G Corey Conners G Jake Knapp G Ben Griffin G Jacob Bridgeman G Cameron Davis,,Jordan Spieth,G,18.18%,74
12,4669417669,gapfaff,0,305,G Corey Conners G Will Zalatoris G Lucas Glover G Jake Knapp G Max McGreevy G Rico Hoey,,Michael Kim,G,13.64%,60.5
12,4669548983,concord,0,305,G Will Zalatoris G Jordan Spieth G Byeong Hun An G Jake Knapp G Sahith Theegala G Jhonattan Vegas,,Max McGreevy,G,13.64%,55
14,4667817488,VOODOG23,0,303.5,G Sepp Straka G Corey Conners G Jake Knapp G Ben Griffin G Stephan Jaeger G Henrik Norlander,,Alex Smalley,G,13.64%,18.5
15,4668266925,hupfdaddy,0,301,G Sepp Straka G Sam Burns G Viktor Hovland G Stephan Jaeger G Nicolai Hojgaard G Webb Simpson,,Ben Griffin,G,13.64%,23.5
16,4668442300,cubyblue,0,267,G Justin Thomas G Sam Burns G Sahith Theegala G Adam Hadwin G Matt Kuchar G Joseph Bramlett,,Stephan Jaeger,G,13.64%,58.5
16,4668620321,NPitz14,0,267,G Tommy Fleetwood G Sepp Straka G Jake Knapp G Joe Highsmith G Nicolai Hojgaard G Rico Hoey,,Joel Dahmen,G,13.64%,18
18,4668778036,JonBuc1,0,256,G Sepp Straka G Corey Conners G Jake Knapp G Thomas Detry G Christiaan Bezuidenhout G Joel Dahmen,,Sahith Theegala,G,13.64%,71.5
19,4669437246,andcohen2525,0,253.5,G Tommy Fleetwood G Corey Conners G Jake Knapp G Christiaan Bezuidenhout G Rasmus Hojgaard G Victor Perez,,Eric Cole,G,9.09%,71
20,4669245974,Knock0ut12,0,249,G Will Zalatoris G Jordan Spieth G Alex Smalley G Jake Knapp G Joe Highsmith G Joel Dahmen,,Doug Ghim,G,9.09%,46.5
21,4667774511,chicagoputz,0,213,G Sam Burns G Alex Smalley G Michael Kim G Jake Knapp G Rasmus Neergaard-Petersen G Lanto Griffin,,Lucas Glover,G,9.09%,86
22,4669582498,darksidefan,0,166.5,G Sam Burns G Will Zalatoris G Jake Knapp G Ben Griffin G Christiaan Bezuidenhout G Nicolai Hojgaard,,Byeong Hun An,G,9.09%,69
,,,,,,,Thomas Detry,G,9.09%,63.5
,,,,,,,Adam Hadwin,G,9.09%,18.5
,,,,,,,Jhonattan Vegas,G,9.09%,19
,,,,,,,Viktor Hovland,G,9.09%,102.5
,,,,,,,Justin Thomas,G,9.09%,101.5
,,,,,,,Matt Kuchar,G,9.09%,22.5
,,,,,,,Shane Lowry,G,9.09%,72
,,,,,,,Joseph Bramlett,G,9.09%,24.5
,,,,,,,Rico Hoey,G,9.09%,20.5
,,,,,,,Danny Walker,G,4.55%,22
,,,,,,,Bud Cauley,G,4.55%,88.5
,,,,,,,Ryan Gerard,G,4.55%,56
,,,,,,,J.T. Poston,G,4.55%,62.5
,,,,,,,Billy Horschel,G,4.55%,86
,,,,,,,Rasmus Neergaard-Petersen,G,4.55%,64.5
,,,,,,,Lanto Griffin,G,4.55%,22.5
,,,,,,,Henrik Norlander,G,4.55%,64.5
,,,,,,,Tom Kim,G,4.55%,70.5
,,,,,,,Beau Hossler,G,4.55%,46.5
,,,,,,,Webb Simpson,G,4.55%,19.5
,,,,,,,Harry Hall,G,4.55%,56
,,,,,,,Cameron Davis,G,4.55%,27.5
,,,,,,,Rasmus Hojgaard,G,4.55%,9.5
,,,,,,,Victor Perez,G,4.55%,67
,,,,,,,Matti Schmid,G,4.55%,62
,,,,,,,Xander Schauffele,G,4.55%,76
