Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4703801239,chicagoputz,0,655.5,G Shane Lowry G Alex Smalley G Cameron Davis G Chris Gotterup G Hayden Springer G Jake Knapp,,Rory McIlroy,G,33.33%,123.5
2,4703470909,magic_21,0,619.5,G Shane Lowry G Andrew Novak G Victor Perez G Bud Cauley G Sami Valimaki G David Lipsky,,Andrew Novak,G,23.81%,155
3,4703770864,cmilly-97,0,612.5,G Rory McIlroy G Nicolai Hojgaard G Adam Hadwin G Matthieu Pavon G Taylor Montgomery G Taylor Dickson,,Sami Valimaki,G,23.81%,50
4,4703422454,Lumberjac,0,610,G Rory McIlroy G Adam Hadwin G Doug Ghim G Nick Hardy G Justin Lower G Steven Fisk,,Shane Lowry,G,19.05%,123.5
5,4702826806,snyde167,0,594.5,G Keith Mitchell G Andrew Novak G Wyndham Clark G Ryan Gerard G Vince Whaley G Matthew McCarty,,Keith Mitchell,G,19.05%,108
6,4704474713,Knock0ut12,0,594,G J.T. Poston G Ben Griffin G Nicolas Echavarria G Jake Knapp G Joel Dahmen G Eric Cole,,Adam Hadwin,G,19.05%,114
7,4703202088,NPitz14,0,591,G Robert Macintyre G Nicolas Echavarria G Brice Garnett G Alejandro Tosti G Danny Walker G David Skinns,,Jake Knapp,G,19.05%,136.5
8,4704656294,gapfaff,0,578,G J.T. Poston G Max Greyserman G Nick Taylor G Alejandro Tosti G Rico Hoey G David Lipsky,,Kurt Kitayama,G,14.29%,56.5
9,4703465422,VOODOG23,0,555,G Rory McIlroy G Andrew Novak G Jake Knapp G Joel Dahmen G Sami Valimaki G Charley Hoffman,,J.T. Poston,G,14.29%,108
10,4704064138,ryanhupfer,0,520,G Aaron Rai G Nicolai Hojgaard G Akshay Bhatia G Christiaan Bezuidenhout G Cameron Davis G Beau Hossler,,Nicolas Echavarria,G,14.29%,109
