Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3296381118,AndyRue5,0,530.5,G Tony Finau G Sungjae Im G Brendon Todd G Troy Merritt G Joohyung Kim G Andrew Putnam,,Maverick McNealy,G,47.37%,75.5
2,3295574965,hupfdaddy,0,462,G Tony Finau G Cameron Davis G Nick Hardy G Jason Day G Matthew NeSmith G Joohyung Kim,,Davis Riley,G,42.11%,23.5
3,3295247668,chicagoputz,0,417.5,G Maverick McNealy G Cameron Davis G Cameron Tringale G J.T. Poston G Matthew NeSmith G James Hahn,,Sahith Theegala,G,36.84%,25
4,3296412806,boyewsky,0,396,G Tony Finau G Chez Reavie G Brendan Steele G Adam Svensson G Wyndham Clark G Joohyung Kim,,Cameron Davis,G,31.58%,88.5
5,3296361942,jakinnamon1221,0,376,G Cameron Davis G Chez Reavie G J.T. Poston G Brendan Steele G Nick Hardy G Hayden Buckley,,Brendan Steele,G,31.58%,19
6,3296587288,garciar15,0,360.5,G Sahith Theegala G Maverick McNealy G Davis Riley G C.T. Pan G Chesson Hadley G Callum Tarren,,Joohyung Kim,G,26.32%,77.5
7,3296429929,rhup,0,339,G Maverick McNealy G Davis Riley G Cameron Davis G Brendon Todd G Adam Svensson G Matthew NeSmith,,J.T. Poston,G,21.05%,75.5
8,3296416390,darksidefan,0,329.5,G Sahith Theegala G Maverick McNealy G Brendan Steele G Chris Gotterup G Rickie Fowler G Callum Tarren,,Nick Hardy,G,21.05%,57
9,3296139845,re_wcb,0,324,G Sahith Theegala G Davis Riley G Cameron Davis G Emiliano Grillo G Matthew NeSmith G Beau Hossler,,Brendon Todd,G,21.05%,67
10,3296026839,JonBuc1,0,322.5,G Hideki Matsuyama G Maverick McNealy G Ryan Palmer G Jason Day G Dylan Frittelli G Tom Hoge,,Adam Svensson,G,21.05%,32
11,3295150267,American-Dream,0,320,G Sahith Theegala G Davis Riley G Adam Long G Nick Hardy G Michael Thompson G Joohyung Kim,,Matthew NeSmith,G,21.05%,52.5
12,3295444268,mlewicki,0,319,G Maverick McNealy G J.T. Poston G Brendan Steele G Martin Laird G Ryan Palmer G Rickie Fowler,,Beau Hossler,G,21.05%,22
13,3295183865,gapfaff,0,318,G Sahith Theegala G Maverick McNealy G Davis Riley G Adam Svensson G Joohyung Kim G Callum Tarren,,Tony Finau,G,15.79%,130
14,3296585830,arob92,0,316,G Sahith Theegala G Maverick McNealy G Nick Hardy G Brendon Todd G Dylan Frittelli G Michael Thompson,,Hideki Matsuyama,G,15.79%,7
15,3295483833,jimm743,0,306,G Adam Hadwin G Davis Riley G J.T. Poston G Brendan Steele G Beau Hossler G Tom Hoge,,Ryan Palmer,G,15.79%,63.5
16,3295133414,Jph315,0,292.5,G Hideki Matsuyama G Maverick McNealy G Jason Day G Rickie Fowler G Wyndham Clark G Lucas Glover,,Jason Day,G,15.79%,56.5
17,3295327521,andcohen2525,0,259,G Adam Hadwin G Davis Riley G Cameron Davis G Adam Svensson G Dylan Frittelli G Beau Hossler,,Rickie Fowler,G,15.79%,59.5
18,3295530202,concord,0,222,G Hideki Matsuyama G Davis Riley G Martin Laird G Chris Gotterup G Doug Ghim G Beau Hossler,,Dylan Frittelli,G,15.79%,23.5
19,3302380071,Syvretzky,0,242.5,G Patrick Cantlay G Cameron Young G Mark Hubbard G Wyndham Clark G Patrick Rodgers G Beau Hossler,,,,,
20,3295482617,jabella72,0,216.5,G Sahith Theegala G Cameron Tringale G Brendan Steele G Ryan Palmer G Brendon Todd G Lucas Glover,,Callum Tarren,G,15.79%,84.5
,,,,,,,Adam Hadwin,G,10.53%,69.5
,,,,,,,Cameron Tringale,G,10.53%,22
,,,,,,,Chez Reavie,G,10.53%,63.5
,,,,,,,Martin Laird,G,10.53%,26
,,,,,,,Chris Gotterup,G,10.53%,66
,,,,,,,Wyndham Clark,G,10.53%,74
,,,,,,,Lucas Glover,G,10.53%,20
,,,,,,,Michael Thompson,G,10.53%,68
,,,,,,,Tom Hoge,G,10.53%,96.5
,,,,,,,Sungjae Im,G,5.26%,106.5
,,,,,,,Adam Long,G,5.26%,69
,,,,,,,Emiliano Grillo,G,5.26%,112.5
,,,,,,,C.T. Pan,G,5.26%,69
,,,,,,,Troy Merritt,G,5.26%,69.5
,,,,,,,Doug Ghim,G,5.26%,77.5
,,,,,,,Chesson Hadley,G,5.26%,83
,,,,,,,Andrew Putnam,G,5.26%,80
,,,,,,,Hayden Buckley,G,5.26%,72.5
,,,,,,,James Hahn,G,5.26%,103.5
