Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3623645441,jimm743,0,631,G Will Zalatoris G Sam Burns G J.T. Poston G Rickie Fowler G Patrick Rodgers G Chris Kirk,,Cameron Young,G,36.84%,102.5
2,3623951649,JonBuc1,0,612.5,G Scottie Scheffler G Cameron Young G Jason Day G Denny McCarthy G Sebastian Munoz G Ben Griffin,,Denny McCarthy,G,31.58%,87
3,3625424152,andcohen2525,0,591,G Will Zalatoris G Cameron Young G Taylor Montgomery G Denny McCarthy G Thomas Detry G Ben Taylor,,Patrick Cantlay,G,26.32%,90
4,3623659236,cmilly-97,0,589.5,G Scottie Scheffler G Cameron Young G J.T. Poston G Rickie Fowler G Harris English G Stewart Cink,,Will Zalatoris,G,26.32%,98
5,3625039725,gapfaff,0,585,G Jon Rahm G Cameron Young G Justin Rose G Denny McCarthy G Luke List G Matthew NeSmith,,Andrew Putnam,G,26.32%,98.5
6,3623316960,Jph315,0,583,G Jon Rahm G Andrew Putnam G Sahith Theegala G Rickie Fowler G Aaron Rai G Justin Lower,,Sahith Theegala,G,26.32%,85.5
7,3625420048,boyewsky,0,570.5,G Patrick Cantlay G Tom Kim G Andrew Putnam G Tom Hoge G Ben Taylor G Eric Cole,,Rickie Fowler,G,21.05%,87.5
7,3625809650,hupfdaddy,0,570.5,G Scottie Scheffler G Kyoung-Hoon Lee G Rickie Fowler G Denny McCarthy G Keith Mitchell G Christiaan Bezuidenhout,,Ben Taylor,G,21.05%,56
9,3624339808,concord,0,568,G Patrick Cantlay G Andrew Putnam G Adam Hadwin G Jason Day G Harris English G Brendan Steele,,Scottie Scheffler,G,15.79%,111
10,3623547978,darksidefan,0,554.5,G Patrick Cantlay G Cameron Young G Sahith Theegala G Wyndham Clark G Dean Burmester G Aaron Baddeley,,Brian Harman,G,15.79%,59.5
11,3623229268,belikemike247,0,538.5,G Tom Kim G Brian Harman G Wyndham Clark G Denny McCarthy G Patrick Rodgers G Thomas Detry,,Cameron Davis,G,15.79%,46.5
12,3624695723,garciar15,0,534.5,G Patrick Cantlay G Will Zalatoris G Si Woo Kim G Ben Griffin G Ben Taylor G Aaron Baddeley,,Tom Hoge,G,15.79%,102
13,3623571588,mlewicki,0,533,G Sam Burns G Taylor Montgomery G Cameron Davis G Sahith Theegala G Stephan Jaeger G Carl Yuan,,J.T. Poston,G,15.79%,134.5
14,3623207528,chicagoputz,0,528,G Sungjae Im G Si Woo Kim G Sahith Theegala G Adam Hadwin G David Lipsky G Kevin Yu,,Harris English,G,15.79%,58.5
15,3624702934,magic_21,0,506,G Cameron Young G Cameron Davis G Andrew Putnam G Kyoung-Hoon Lee G J.T. Poston G Mark Hubbard,,Jon Rahm,G,10.53%,157.5
16,3623257638,AirMOC,0,503.5,G Patrick Cantlay G Will Zalatoris G Andrew Putnam G Luke List G Byeong Hun An G Ben Taylor,,Sungjae Im,G,10.53%,107.5
17,3623208680,American-Dream,0,484.5,G Will Zalatoris G Brian Harman G Sahith Theegala G Tom Hoge G Will Gordon G Andrew Landry,,Tom Kim,G,10.53%,126.5
17,3623399143,ryanhupfer,0,484.5,G Cameron Young G Aaron Wise G Cameron Davis G Justin Rose G Denny McCarthy G Will Gordon,,Sam Burns,G,10.53%,114.5
19,3623221595,jabella72,0,431.5,G Sungjae Im G Brian Harman G Tom Hoge G Harris English G David Lipsky G Aaron Rai,,Si Woo Kim,G,10.53%,106.5
,,,,,,,Taylor Montgomery,G,10.53%,141
,,,,,,,Kyoung-Hoon Lee,G,10.53%,65.5
,,,,,,,Adam Hadwin,G,10.53%,111
,,,,,,,Wyndham Clark,G,10.53%,103
,,,,,,,Jason Day,G,10.53%,110.5
,,,,,,,Justin Rose,G,10.53%,115
,,,,,,,Patrick Rodgers,G,10.53%,56
,,,,,,,Thomas Detry,G,10.53%,106.5
,,,,,,,Will Gordon,G,10.53%,64.5
,,,,,,,David Lipsky,G,10.53%,50.5
,,,,,,,Aaron Rai,G,10.53%,53.5
,,,,,,,Luke List,G,10.53%,64
,,,,,,,Ben Griffin,G,10.53%,103
,,,,,,,Aaron Baddeley,G,10.53%,81
,,,,,,,Aaron Wise,G,5.26%,69
,,,,,,,Keith Mitchell,G,5.26%,104
,,,,,,,Christiaan Bezuidenhout,G,5.26%,115.5
,,,,,,,Chris Kirk,G,5.26%,140.5
,,,,,,,Sebastian Munoz,G,5.26%,98.5
,,,,,,,Brendan Steele,G,5.26%,99.5
,,,,,,,Dean Burmester,G,5.26%,92.5
,,,,,,,Stephan Jaeger,G,5.26%,92.5
,,,,,,,Matthew NeSmith,G,5.26%,59
,,,,,,,Byeong Hun An,G,5.26%,97
,,,,,,,Mark Hubbard,G,5.26%,58.5
,,,,,,,Carl Yuan,G,5.26%,53
,,,,,,,Kevin Yu,G,5.26%,67
,,,,,,,Stewart Cink,G,5.26%,95.5
,,,,,,,Justin Lower,G,5.26%,100.5
,,,,,,,Andrew Landry,G,5.26%,75
,,,,,,,Eric Cole,G,5.26%,97.5
