Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3674938551,gapfaff,0,471,G Patrick Cantlay G Viktor Hovland G Sungjae Im G Jason Day G Corey Conners G Ben Griffin,,Tyrrell Hatton,G,45.00%,94
2,3674295389,American-Dream,0,444.5,G Justin Thomas G Jason Day G Tyrrell Hatton G Keith Mitchell G Chris Kirk G Rickie Fowler,,Will Zalatoris,G,40.00%,57
3,3677302065,boyewsky,0,420.5,G Jon Rahm G Jason Day G Tyrrell Hatton G Rickie Fowler G Wyndham Clark G Zach Johnson,,Rickie Fowler,G,35.00%,66.5
4,3675673675,garciar15,0,410,G Max Homa G Viktor Hovland G Tyrrell Hatton G Keith Mitchell G Tommy Fleetwood G Min Woo Lee,,Jason Day,G,30.00%,71
5,3674577467,concord,0,405,G Max Homa G Tom Kim G Tyrrell Hatton G Sam Burns G Sahith Theegala G Keegan Bradley,,Keith Mitchell,G,30.00%,73
5,3676147565,mlewicki,0,405,G Justin Thomas G Jason Day G Tyrrell Hatton G Sam Burns G Rickie Fowler G Keegan Bradley,,Keegan Bradley,G,25.00%,82.5
7,3676677502,darksidefan,0,398,G Rory McIlroy G Will Zalatoris G Jason Day G Sahith Theegala G Seamus Power G Aaron Baddeley,,Tommy Fleetwood,G,25.00%,55.5
8,3674668432,Jph315,0,394.5,G Jon Rahm G Tony Finau G Viktor Hovland G Rickie Fowler G Will Gordon G Luke Donald,,Max Homa,G,25.00%,72.5
9,3674326984,AirMOC,0,389.5,G Collin Morikawa G Will Zalatoris G Tyrrell Hatton G Chris Kirk G Keegan Bradley G Tommy Fleetwood,,Viktor Hovland,G,25.00%,88.5
10,3674971394,cmilly-97,0,384.5,G Rory McIlroy G Justin Thomas G Sahith Theegala G Rickie Fowler G Aaron Wise G Danny Willett,,Justin Thomas,G,20.00%,67.5
11,3674387770,jabella72,0,382.5,G Max Homa G Will Zalatoris G Tyrrell Hatton G Rickie Fowler G Tommy Fleetwood G Tom Hoge,,Sungjae Im,G,20.00%,74
12,3675145129,jimm743,0,381,G Justin Thomas G Will Zalatoris G Tyrrell Hatton G Keith Mitchell G Chris Kirk G Patrick Rodgers,,Jon Rahm,G,20.00%,74
13,3676266667,magic_21,0,378,G Rory McIlroy G Matt Fitzpatrick G Hideki Matsuyama G Corey Conners G Keegan Bradley G Taylor Pendrith,,Sahith Theegala,G,20.00%,74.5
14,3674455549,belikemike247,0,376,G Max Homa G Viktor Hovland G Sungjae Im G Cameron Young G Byeong Hun An G Seonghyeon Kim,,Rory McIlroy,G,20.00%,94.5
15,3676923146,cubyblue,0,362,G Jon Rahm G Max Homa G Sahith Theegala G Tom Hoge G Francesco Molinari G Joseph Bramlett,,Chris Kirk,G,15.00%,72.5
16,3676001432,chicagoputz,0,361,G Will Zalatoris G Sungjae Im G Matt Fitzpatrick G Tyrrell Hatton G Tom Hoge G Aaron Wise,,Tom Hoge,G,15.00%,37
17,3677315938,hupfdaddy,0,358.5,G Will Zalatoris G Viktor Hovland G Jason Day G Billy Horschel G Rickie Fowler G Tommy Fleetwood,,Collin Morikawa,G,10.00%,28
18,3676503185,ryanhupfer,0,328.5,G Rory McIlroy G Will Zalatoris G Keith Mitchell G Justin Rose G Tommy Fleetwood G J.J. Spaun,,Joseph Bramlett,G,10.00%,22.5
19,3674523573,andcohen2525,0,325,G Jon Rahm G Will Zalatoris G Keith Mitchell G Keegan Bradley G Scott Stallings G Joseph Bramlett,,Sam Burns,G,10.00%,23.5
20,3675178817,JonBuc1,0,293,G Collin Morikawa G Sungjae Im G Hideki Matsuyama G Keith Mitchell G Shane Lowry G Seamus Power,,Corey Conners,G,10.00%,76.5
,,,,,,,Aaron Wise,G,10.00%,20
,,,,,,,Hideki Matsuyama,G,10.00%,23
,,,,,,,Seamus Power,G,10.00%,40
,,,,,,,Matt Fitzpatrick,G,10.00%,79
,,,,,,,Cameron Young,G,5.00%,76.5
,,,,,,,Byeong Hun An,G,5.00%,9
,,,,,,,Seonghyeon Kim,G,5.00%,55.5
,,,,,,,Scott Stallings,G,5.00%,16
,,,,,,,Tom Kim,G,5.00%,58
,,,,,,,Tony Finau,G,5.00%,61.5
,,,,,,,Will Gordon,G,5.00%,44
,,,,,,,Luke Donald,G,5.00%,60
,,,,,,,Patrick Cantlay,G,5.00%,95.5
,,,,,,,Ben Griffin,G,5.00%,65.5
,,,,,,,Danny Willett,G,5.00%,61.5
,,,,,,,Patrick Rodgers,G,5.00%,17
,,,,,,,Shane Lowry,G,5.00%,55
,,,,,,,Min Woo Lee,G,5.00%,26.5
,,,,,,,Taylor Pendrith,G,5.00%,22.5
,,,,,,,Justin Rose,G,5.00%,22.5
,,,,,,,J.J. Spaun,G,5.00%,26
,,,,,,,Aaron Baddeley,G,5.00%,61
,,,,,,,Francesco Molinari,G,5.00%,81.5
,,,,,,,Wyndham Clark,G,5.00%,66
,,,,,,,Zach Johnson,G,5.00%,49
,,,,,,,Billy Horschel,G,5.00%,20
