Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3114395352,jakinnamon1221,0,540,G Justin Rose G Lanto Griffin G Tom Hoge G Denny McCarthy G Andrew Putnam G Matthew NeSmith,,Justin Rose,G,45.45%,66.5
2,3113448871,jabella72,0,523,G Maverick McNealy G Justin Rose G Tom Hoge G Joel Dahmen G Keith Mitchell G Scott Stallings,,Maverick McNealy,G,36.36%,73.5
3,3112487338,belikemike247,0,484.5,G Patrick Cantlay G Tom Hoge G Denny McCarthy G Aaron Rai G Matt Kuchar G Peter Uihlein,,Tom Hoge,G,31.82%,140.5
4,3113479446,mlewicki,0,464,G Maverick McNealy G Lanto Griffin G Christiaan Bezuidenhout G Lucas Glover G Andrew Putnam G Taylor Pendrith,,Matt Kuchar,G,27.27%,48
5,3115274179,andcohen2525,0,458.5,G Justin Rose G Lanto Griffin G Tom Hoge G Russell Knox G Min Woo Lee G Brandon Harkins,,Stewart Cink,G,27.27%,54.5
6,3115066597,darksidefan,0,453.5,G Cameron Tringale G Lanto Griffin G Tom Hoge G Aaron Rai G Russell Knox G Stewart Cink,,Lanto Griffin,G,22.73%,89
7,3113828436,gapfaff,0,444,G Jason Day G Justin Rose G Mito Pereira G Joel Dahmen G Nick Taylor G Stewart Cink,,Jason Day,G,22.73%,78
8,3113796269,jimm743,0,429.5,G Jordan Spieth G Maverick McNealy G Mito Pereira G Taylor Moore G Taylor Pendrith G Lee Hodges,,Christiaan Bezuidenhout,G,22.73%,84
9,3114212010,AndyRue5,0,427.5,G Maverick McNealy G Justin Rose G Tom Hoge G Mito Pereira G Sahith Theegala G Cameron Percy,,Mito Pereira,G,22.73%,47.5
10,3112463314,re_wcb,0,421,G Cameron Tringale G Seamus Power G Denny McCarthy G Michael Thompson G Matt Kuchar G Nick Taylor,,Taylor Pendrith,G,18.18%,67.5
10,3115251826,boyewsky,0,421,G Justin Rose G Kevin Streelman G Tom Hoge G Russell Knox G Matt Kuchar G Chez Reavie,,Matthew NeSmith,G,18.18%,51
12,3112911085,garciar15,0,413,G Jason Day G Justin Rose G Matt Jones G Min Woo Lee G Matt Kuchar G Troy Merritt,,Sahith Theegala,G,18.18%,47.5
13,3114873213,rhup,0,411.5,G Maverick McNealy G Seamus Power G Christiaan Bezuidenhout G Cameron Champ G Matthew NeSmith G Stewart Cink,,Cameron Tringale,G,13.64%,44
14,3112475914,American-Dream,0,410.5,G Justin Rose G Kevin Streelman G Lanto Griffin G Michael Thompson G Nick Taylor G Taylor Pendrith,,Seamus Power,G,13.64%,102.5
15,3114270454,arob92,0,402,G Patrick Cantlay G Maverick McNealy G Brian Harman G Sahith Theegala G Doc Redman G Grayson Murray,,Denny McCarthy,G,13.64%,90
16,3112489935,Jph315,0,399.5,G Jordan Spieth G Maverick McNealy G Michael Thompson G Matt Kuchar G Matthew NeSmith G Matthias Schwab,,Michael Thompson,G,13.64%,45
17,3113224378,concord,0,390,G Jason Day G Maverick McNealy G Chris Kirk G Pat Perez G Stewart Cink G Sahith Theegala,,Nick Taylor,G,13.64%,91.5
18,3113624876,hupfdaddy,0,383.5,G Seamus Power G Kevin Streelman G Christiaan Bezuidenhout G Mito Pereira G Matthew NeSmith G Sahith Theegala,,Kevin Streelman,G,13.64%,51
19,3113697251,Syvretzky,0,381.5,G Patrick Cantlay G Justin Rose G Matt Kuchar G Stewart Cink G Taylor Pendrith G Brandon Harkins,,Patrick Cantlay,G,13.64%,104.5
20,3113915634,cubyblue,0,367.5,G Justin Rose G Cameron Tringale G Christiaan Bezuidenhout G Mito Pereira G Satoshi Kodaira G Brian Gay,,Russell Knox,G,13.64%,67.5
21,3112923536,chicagoputz,0,317,G Jason Day G Christiaan Bezuidenhout G Brian Harman G Charley Hoffman G Brandt Snedeker G Stewart Cink,,Aaron Rai,G,9.09%,58
22,3115419447,JonBuc1,0,280.5,G Jason Day G Kevin Kisner G Charley Hoffman G Lucas Glover G Chris Kirk G Cameron Champ,,Jordan Spieth,G,9.09%,110
,,,,,,,Min Woo Lee,G,9.09%,54.5
,,,,,,,Brian Harman,G,9.09%,44
,,,,,,,Charley Hoffman,G,9.09%,15.5
,,,,,,,Chris Kirk,G,9.09%,49.5
,,,,,,,Joel Dahmen,G,9.09%,106
,,,,,,,Lucas Glover,G,9.09%,47
,,,,,,,Andrew Putnam,G,9.09%,103
,,,,,,,Brandon Harkins,G,9.09%,40.5
,,,,,,,Cameron Champ,G,9.09%,46
,,,,,,,Peter Uihlein,G,4.55%,43.5
,,,,,,,Matthias Schwab,G,4.55%,72
,,,,,,,Matt Jones,G,4.55%,55.5
,,,,,,,Troy Merritt,G,4.55%,110.5
,,,,,,,Brandt Snedeker,G,4.55%,41
,,,,,,,Pat Perez,G,4.55%,87
,,,,,,,Keith Mitchell,G,4.55%,87
,,,,,,,Scott Stallings,G,4.55%,49.5
,,,,,,,Taylor Moore,G,4.55%,84
,,,,,,,Lee Hodges,G,4.55%,47
,,,,,,,Satoshi Kodaira,G,4.55%,80
,,,,,,,Brian Gay,G,4.55%,45.5
,,,,,,,Cameron Percy,G,4.55%,52
,,,,,,,Doc Redman,G,4.55%,81.5
,,,,,,,Grayson Murray,G,4.55%,51
,,,,,,,Chez Reavie,G,4.55%,47.5
,,,,,,,Kevin Kisner,G,4.55%,44.5
