Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3861454682,AirMOC,0,474.5,G Jon Rahm G Viktor Hovland G Russell Henley G Cameron Davis G Eric Cole G Adam Svensson,,Eric Cole,G,33.33%,75
2,3863793927,hupfdaddy,0,471.5,G Patrick Cantlay G Viktor Hovland G Collin Morikawa G Sepp Straka G Eric Cole G Tom Hoge,,Viktor Hovland,G,33.33%,129.5
3,3862543307,jimm743,0,462,G Rory McIlroy G Viktor Hovland G Russell Henley G Emiliano Grillo G Adam Schenk G Patrick Rodgers,,Cameron Davis,G,33.33%,54.5
3,3863044928,cmilly-97,0,462,G Scottie Scheffler G Rickie Fowler G Wyndham Clark G Byeong Hun An G Denny McCarthy G Chris Kirk,,Adam Schenk,G,33.33%,51
5,3861592324,jabella72,0,459.5,G Viktor Hovland G Cameron Young G Tony Finau G Justin Rose G Si Woo Kim G Sahith Theegala,,Jon Rahm,G,27.78%,56
6,3862162283,gapfaff,0,454.5,G Rory McIlroy G Tom Kim G J.T. Poston G Emiliano Grillo G Sahith Theegala G Andrew Putnam,,Tommy Fleetwood,G,27.78%,67
7,3863546388,ryanhupfer,0,453,G Viktor Hovland G Max Homa G Sungjae Im G Cameron Davis G Brendon Todd G Adam Schenk,,Sahith Theegala,G,27.78%,77.5
8,3862548526,Jph315,0,436.5,G Rory McIlroy G Tommy Fleetwood G Justin Rose G Cameron Davis G Eric Cole G Adam Svensson,,Rory McIlroy,G,22.22%,91
9,3864681757,cubyblue,0,420,G Jon Rahm G Sam Burns G Tony Finau G Matt Fitzpatrick G Sahith Theegala G Adam Hadwin,,Max Homa,G,22.22%,95.5
10,3864748347,darksidefan,0,418.5,G Patrick Cantlay G Tommy Fleetwood G Max Homa G Byeong Hun An G Adam Schenk G Adam Svensson,,Justin Rose,G,16.67%,72.5
11,3861423887,American-Dream,0,413.5,G Jon Rahm G Tommy Fleetwood G Corey Conners G Justin Rose G Eric Cole G Chris Kirk,,Adam Svensson,G,16.67%,76.5
12,3862861906,garciar15,0,407.5,G Xander Schauffele G Tommy Fleetwood G Cameron Young G Cameron Davis G Emiliano Grillo G Eric Cole,,Cameron Young,G,16.67%,69
13,3862140302,chicagoputz,0,393.5,G Rory McIlroy G Cameron Young G Cameron Davis G J.T. Poston G Taylor Moore G Denny McCarthy,,Tony Finau,G,16.67%,51
14,3864641953,boyewsky,0,387.5,G Patrick Cantlay G Tommy Fleetwood G Lucas Glover G Cameron Davis G Adam Schenk G Eric Cole,,Emiliano Grillo,G,16.67%,56.5
15,3864517486,concord,0,381.5,G Collin Morikawa G Max Homa G Tom Kim G Byeong Hun An G Taylor Moore G Adam Schenk,,Byeong Hun An,G,16.67%,53.5
16,3863659454,mlewicki,0,370,G Jordan Spieth G Max Homa G Tyrrell Hatton G Sepp Straka G Keegan Bradley G Adam Hadwin,,Brendon Todd,G,16.67%,36
17,3864000214,magic_21,0,366,G Jon Rahm G Viktor Hovland G Hideki Matsuyama G Sahith Theegala G Brendon Todd G Patrick Rodgers,,Patrick Cantlay,G,16.67%,75
18,3863593037,JonBuc1,0,357,G Jon Rahm G Xander Schauffele G Tony Finau G Sahith Theegala G Brendon Todd G Adam Schenk,,Chris Kirk,G,11.11%,73.5
,,,,,,,Russell Henley,G,11.11%,83
,,,,,,,J.T. Poston,G,11.11%,74
,,,,,,,Taylor Moore,G,11.11%,32.5
,,,,,,,Denny McCarthy,G,11.11%,72.5
,,,,,,,Tom Kim,G,11.11%,84.5
,,,,,,,Patrick Rodgers,G,11.11%,51
,,,,,,,Xander Schauffele,G,11.11%,85.5
,,,,,,,Sepp Straka,G,11.11%,52
,,,,,,,Adam Hadwin,G,11.11%,48
,,,,,,,Collin Morikawa,G,11.11%,64.5
,,,,,,,Corey Conners,G,5.56%,69.5
,,,,,,,Si Woo Kim,G,5.56%,60
,,,,,,,Andrew Putnam,G,5.56%,71
,,,,,,,Scottie Scheffler,G,5.56%,113.5
,,,,,,,Rickie Fowler,G,5.56%,65.5
,,,,,,,Wyndham Clark,G,5.56%,83.5
,,,,,,,Sungjae Im,G,5.56%,86.5
,,,,,,,Jordan Spieth,G,5.56%,55.5
,,,,,,,Tyrrell Hatton,G,5.56%,57
,,,,,,,Keegan Bradley,G,5.56%,62
,,,,,,,Tom Hoge,G,5.56%,75.5
,,,,,,,Hideki Matsuyama,G,5.56%,16
,,,,,,,Lucas Glover,G,5.56%,65
,,,,,,,Sam Burns,G,5.56%,74
,,,,,,,Matt Fitzpatrick,G,5.56%,113.5
