Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5126809214,cmilly-97,0,507,G Scottie Scheffler G Jason Day G Shane Lowry G Gary Woodland G Corey Conners G Matthew McCarty,,Gary Woodland,G,37.50%,77
2,5125907829,chicagoputz,0,504.5,G Cameron Young G Sam Burns G Viktor Hovland G Adam Scott G Ryo Hisatsune G Aldrich Potgieter,,Cameron Young,G,29.17%,124
3,5125804739,darksidefan,0,491,G Si Woo Kim G Sam Burns G Adam Scott G Jacob Bridgeman G Nicolai Hojgaard G Alex Smalley,,Ryo Hisatsune,G,29.17%,59.5
4,5124984074,jabella72,0,487.5,G Tommy Fleetwood G Hideki Matsuyama G Adam Scott G Rickie Fowler G Justin Thomas G Daniel Berger,,Scottie Scheffler,G,25.00%,103.5
5,5127672540,cubyblue,0,486.5,G Sam Burns G Viktor Hovland G Adam Scott G Rickie Fowler G Justin Thomas G Gary Woodland,,Tommy Fleetwood,G,25.00%,79.5
6,5126745710,magic_21,0,484,G Scottie Scheffler G Maverick McNealy G Harry Hall G Ricky Castillo G Matthew McCarty G J.T. Poston,,Viktor Hovland,G,25.00%,66.5
7,5125673434,aceshigh1973,0,481,G Scottie Scheffler G Nicolai Hojgaard G Gary Woodland G Ryan Gerard G Ryo Hisatsune G Sudarshan Yellamaraju,,Chris Gotterup,G,20.83%,66
7,5127042327,boyewsky,0,481,G Cameron Young G Collin Morikawa G Akshay Bhatia G Sahith Theegala G Gary Woodland G Jordan L. Smith,,Sam Burns,G,20.83%,73
9,5125974954,holth,0,480,G Scottie Scheffler G Sahith Theegala G Gary Woodland G Sam Stevens G Ryo Hisatsune G Sudarshan Yellamaraju,,Adam Scott,G,20.83%,102.5
10,5125112064,Jph315,0,479,G Cameron Young G Collin Morikawa G Viktor Hovland G Akshay Bhatia G Taylor Pendrith G Aldrich Potgieter,,Sahith Theegala,G,20.83%,77
10,5127656871,Knock0ut12,0,479,G Cameron Young G Chris Gotterup G Viktor Hovland G Gary Woodland G Alex Smalley G Ryo Hisatsune,,Hideki Matsuyama,G,16.67%,66
12,5125353786,Lumberjac,0,473,G Cameron Young G Collin Morikawa G Justin Rose G Sahith Theegala G Sam Stevens G Max Homa,,Harris English,G,16.67%,68
13,5127537657,hupfdaddy,0,470.5,G Tommy Fleetwood G Viktor Hovland G Justin Rose G Rickie Fowler G Sepp Straka G Alex Fitzpatrick,,Jacob Bridgeman,G,16.67%,59
14,5124971648,American-Dream,0,470,G Chris Gotterup G Hideki Matsuyama G Adam Scott G Jordan Spieth G Sahith Theegala G Gary Woodland,,Rickie Fowler,G,16.67%,86
15,5124992243,snyde167,0,466.5,G Tommy Fleetwood G Chris Gotterup G Si Woo Kim G Jordan Spieth G Alex Noren G Patrick Rodgers,,Justin Thomas,G,16.67%,81.5
16,5125407334,brotherjonas,0,462.5,G Cameron Young G Tommy Fleetwood G Hideki Matsuyama G Keegan Bradley G Corey Conners G Andrew Novak,,Daniel Berger,G,16.67%,72
17,5127427901,JonBuc1,0,462,G Scottie Scheffler G Jacob Bridgeman G Gary Woodland G Daniel Berger G Sudarshan Yellamaraju G Bud Cauley,,Collin Morikawa,G,12.50%,57.5
18,5127643032,gapfaff,0,453.5,G Tommy Fleetwood G Sam Burns G Harris English G Kurt Kitayama G Jason Day G Daniel Berger,,Jake Knapp,G,12.50%,0
19,5125082728,VOODOG23,0,448,G Scottie Scheffler G Harris English G Rickie Fowler G Ryo Hisatsune G Andrew Novak G Andrew Putnam,,Akshay Bhatia,G,12.50%,84
20,5127484265,concord,0,439.5,G Chris Gotterup G Hideki Matsuyama G Harris English G Kurt Kitayama G Justin Thomas G Keith Mitchell,,Nicolai Hojgaard,G,12.50%,74
21,5127096040,ryanhupfer,0,436.5,G Sam Burns G Viktor Hovland G Harris English G Jacob Bridgeman G Akshay Bhatia G Alex Smalley,,Alex Smalley,G,12.50%,86
22,5125037144,NPitz14,0,422.5,G Cameron Young G Jake Knapp G Min Woo Lee G Nicolai Hojgaard G Gary Woodland G Max Homa,,Sudarshan Yellamaraju,G,12.50%,81
