Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3252782598,jimm743,0,458,G Sam Burns G Sahith Theegala G Brendon Todd G Mark Hubbard G Patrick Rodgers G Alex Smalley,,Justin Thomas,G,25.00%,115.5
2,3252934271,jabella72,0,451.5,G Keith Mitchell G Justin Rose G Jhonattan Vegas G Brendon Todd G Patrick Rodgers G J.J. Spaun,,Scottie Scheffler,G,25.00%,79.5
3,3252554245,American-Dream,0,442,G Justin Thomas G Corey Conners G Brendon Todd G Matt Wallace G Rory Sabbatini G Carlos Ortiz,,Tyrrell Hatton,G,25.00%,18.5
4,3252922684,jakinnamon1221,0,438.5,G Rory McIlroy G Shane Lowry G Harold Varner III G Vaughn Taylor G Cameron Percy G Robert Garrigus,,Corey Conners,G,20.00%,97
5,3252564963,re_wcb,0,437,G Matt Fitzpatrick G Corey Conners G Mackenzie Hughes G Aaron Rai G J.T. Poston G Doug Ghim,,Brendon Todd,G,20.00%,77.5
6,3253720643,rhup,0,429.5,G Rory McIlroy G Sebastian Munoz G Chris Kirk G Dylan Frittelli G Austin Smotherman G Jim Herman,,Mark Hubbard,G,20.00%,67.5
7,3254685049,Syvretzky,0,419,G Justin Thomas G Rory McIlroy G Mark Hubbard G J.J. Spaun G Aaron Cockerill G Henrik Norlander,,Tyler Duncan,G,20.00%,30
,3254685039,arob92,0,413,G Justin Thomas G Rory McIlroy G Mark Hubbard G J.J. Spaun G Aaron Cockerill G Henrik Norlander,,,,,
8,3252752868,mlewicki,0,405.5,G Sam Burns G Corey Conners G Sahith Theegala G Austin Smotherman G Brian Stuard G Doug Ghim,,Rory McIlroy,G,20.00%,132
9,3252584044,Jph315,0,397,G Scottie Scheffler G Justin Thomas G Rasmus Hojgaard G Wyndham Clark G Justin Lower G Mike Weir,,Jhonattan Vegas,G,20.00%,61.5
10,3253419999,gapfaff,0,376.5,G Tyrrell Hatton G Tony Finau G Jhonattan Vegas G Mackenzie Hughes G Aaron Rai G Jim Herman,,J.J. Spaun,G,20.00%,24
11,3254743706,boyewsky,0,373.5,G Scottie Scheffler G Corey Conners G Jhonattan Vegas G Rory Sabbatini G Adam Svensson G David Lingmerth,,Rory Sabbatini,G,15.00%,25.5
12,3254587930,andcohen2525,0,346.5,G Rory McIlroy G Adam Hadwin G Sahith Theegala G Cameron Champ G Matthias Schwab G Aaron Cockerill,,Matt Fitzpatrick,G,15.00%,90.5
13,3252570855,chicagoputz,0,339.5,G Matt Fitzpatrick G Sebastian Munoz G Mackenzie Hughes G Cameron Champ G Matt Wallace G Matthias Schwab,,Mackenzie Hughes,G,15.00%,72.5
14,3253961886,hupfdaddy,0,327.5,G Scottie Scheffler G Matt Fitzpatrick G J.J. Spaun G Tyler Duncan G Adam Svensson G Scott Gutschewski,,Cameron Champ,G,15.00%,25.5
15,3254095352,JonBuc1,0,326.5,G Scottie Scheffler G Mark Hubbard G Cameron Champ G Patrick Rodgers G J.J. Spaun G Dylan Frittelli,,Matthias Schwab,G,15.00%,16.5
16,3254776523,cubyblue,0,297.5,G Justin Thomas G Tyrrell Hatton G Jhonattan Vegas G Joseph Bramlett G Rory Sabbatini G Carlos Ortiz,,Rasmus Hojgaard,G,15.00%,20.5
17,3252904368,belikemike247,0,291,G Scottie Scheffler G Cameron Smith G Tyler Duncan G David Lipsky G Chase Seiffert G Brice Garnett,,Sahith Theegala,G,15.00%,47
18,3254289092,darksidefan,0,277,G Cameron Smith G Tyrrell Hatton G Brendon Todd G Austin Smotherman G Tyler Duncan G Peter Malnati,,Austin Smotherman,G,15.00%,66.5
19,3252947646,AndyRue5,0,265.5,G Justin Thomas G Tyrrell Hatton G Rasmus Hojgaard G Tyler Duncan G Matthias Schwab G Ben Martin,,Patrick Rodgers,G,15.00%,80.5
20,3252911199,garciar15,0,250.5,G Tyrrell Hatton G Adam Hadwin G Rasmus Hojgaard G C.T. Pan G Mark Hubbard G Ryan Moore,,Matt Wallace,G,10.00%,66.5
,,,,,,,Carlos Ortiz,G,10.00%,60
,,,,,,,Aaron Rai,G,10.00%,83.5
,,,,,,,Doug Ghim,G,10.00%,73.5
,,,,,,,Sebastian Munoz,G,10.00%,68
,,,,,,,Sam Burns,G,10.00%,104
,,,,,,,Cameron Smith,G,10.00%,68.5
,,,,,,,Adam Hadwin,G,10.00%,68.5
,,,,,,,Jim Herman,G,10.00%,20
,,,,,,,Dylan Frittelli,G,10.00%,49.5
,,,,,,,Adam Svensson,G,10.00%,79.5
,,,,,,,Aaron Cockerill,G,10.00%,57
,,,,,,,J.T. Poston,G,5.00%,20
,,,,,,,Wyndham Clark,G,5.00%,92
,,,,,,,Justin Lower,G,5.00%,64
,,,,,,,Mike Weir,G,5.00%,25.5
,,,,,,,Brian Stuard,G,5.00%,17.5
,,,,,,,Alex Smalley,G,5.00%,81.5
,,,,,,,David Lipsky,G,5.00%,25
,,,,,,,Chase Seiffert,G,5.00%,67
,,,,,,,Brice Garnett,G,5.00%,21
,,,,,,,C.T. Pan,G,5.00%,0
,,,,,,,Ryan Moore,G,5.00%,75.5
,,,,,,,Shane Lowry,G,5.00%,95.5
,,,,,,,Harold Varner III,G,5.00%,84.5
,,,,,,,Vaughn Taylor,G,5.00%,55.5
,,,,,,,Cameron Percy,G,5.00%,55.5
,,,,,,,Robert Garrigus,G,5.00%,15.5
,,,,,,,Keith Mitchell,G,5.00%,89
,,,,,,,Justin Rose,G,5.00%,119
,,,,,,,Ben Martin,G,5.00%,64.5
,,,,,,,Tony Finau,G,5.00%,120.5
,,,,,,,Chris Kirk,G,5.00%,93.5
,,,,,,,Scott Gutschewski,G,5.00%,24
,,,,,,,Peter Malnati,G,5.00%,16
,,,,,,,Henrik Norlander,G,5.00%,17
,,,,,,,David Lingmerth,G,5.00%,30.5
,,,,,,,Joseph Bramlett,G,5.00%,16.5
