Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4818289169,andcohen2525,0,605,G Tommy Fleetwood G Justin Thomas G Collin Morikawa G Cameron Young G Robert MacIntyre G Corey Conners,,Scottie Scheffler,G,50.00%,109
2,4816406407,snyde167,0,597,G Tommy Fleetwood G Russell Henley G Justin Thomas G Hideki Matsuyama G Keegan Bradley G Brian Harman,,Cameron Young,G,45.00%,100.5
3,4816645811,magic_21,0,590.5,G Tommy Fleetwood G Justin Thomas G Sam Burns G J.J. Spaun G Ben Griffin G Chris Gotterup,,Tommy Fleetwood,G,40.00%,136
4,4816426583,Jph315,0,589,G Scottie Scheffler G Patrick Cantlay G Keegan Bradley G Harry Hall G Akshay Bhatia G Shane Lowry,,Maverick McNealy,G,40.00%,75
5,4818563436,Knock0ut12,0,580.5,G Tommy Fleetwood G Russell Henley G J.J. Spaun G Cameron Young G Maverick McNealy G Harry Hall,,Ben Griffin,G,35.00%,87
6,4818211783,concord,0,574.5,G Rory McIlroy G Patrick Cantlay G Sam Burns G Keegan Bradley G Harris English G Justin Rose,,Harry Hall,G,35.00%,80
7,4815986378,VOODOG23,0,573,G Scottie Scheffler G Tommy Fleetwood G Justin Rose G Akshay Bhatia G Shane Lowry G Sungjae Im,,J.J. Spaun,G,30.00%,74.5
8,4816256143,chicagoputz,0,560.5,G Scottie Scheffler G Cameron Young G Keegan Bradley G Maverick McNealy G Harry Hall G Akshay Bhatia,,Akshay Bhatia,G,30.00%,93.5
9,4816017434,Lumberjac,0,556,G Tommy Fleetwood G Viktor Hovland G Sam Burns G Ben Griffin G Hideki Matsuyama G Justin Rose,,Shane Lowry,G,25.00%,82
9,4816541679,aceshigh1973,0,556,G Scottie Scheffler G Ben Griffin G Robert MacIntyre G Maverick McNealy G Corey Conners G Akshay Bhatia,,Sam Burns,G,25.00%,103.5
11,4818523275,ryanhupfer,0,548.5,G Ludvig Aberg G Tommy Fleetwood G Cameron Young G Ben Griffin G Sepp Straka G Akshay Bhatia,,Harris English,G,25.00%,84.5
12,4818491856,gapfaff,0,545.5,G Rory McIlroy G Tommy Fleetwood G Cameron Young G Robert MacIntyre G Maverick McNealy G Sungjae Im,,Justin Rose,G,20.00%,83
13,4817592810,darksidefan,0,538.5,G Scottie Scheffler G Sam Burns G Maverick McNealy G Harry Hall G Harris English G Brian Harman,,Hideki Matsuyama,G,20.00%,58
14,4816605608,cmilly-97,0,538,G Scottie Scheffler G Cameron Young G Ben Griffin G Maverick McNealy G Harris English G Shane Lowry,,Keegan Bradley,G,20.00%,102.5
15,4815984640,American-Dream,0,523,G Scottie Scheffler G Collin Morikawa G J.J. Spaun G Akshay Bhatia G Brian Harman G Shane Lowry,,Robert MacIntyre,G,20.00%,85.5
16,4818603217,boyewsky,0,518.5,G Ludvig Aberg G Russell Henley G Cameron Young G Ben Griffin G Hideki Matsuyama G Harry Hall,,Brian Harman,G,15.00%,86.5
17,4816858245,NPitz14,0,518,G Scottie Scheffler G J.J. Spaun G Cameron Young G Harry Hall G Harris English G Sungjae Im,,Sungjae Im,G,15.00%,69.5
18,4816153244,jabella72,0,515.5,G Rory McIlroy G Sam Burns G J.J. Spaun G Cameron Young G Maverick McNealy G Justin Rose,,Rory McIlroy,G,15.00%,79
19,4817626624,JonBuc1,0,491,G Scottie Scheffler G Ben Griffin G Hideki Matsuyama G Maverick McNealy G Harry Hall G Shane Lowry,,Russell Henley,G,15.00%,114.5
20,4816665719,jimm743,0,478.5,G Scottie Scheffler G J.J. Spaun G Sepp Straka G Robert MacIntyre G Harris English G Jacob Bridgeman,,Justin Thomas,G,15.00%,99.5
,,,,,,,Collin Morikawa,G,10.00%,77.5
,,,,,,,Patrick Cantlay,G,10.00%,122
,,,,,,,Corey Conners,G,10.00%,106
,,,,,,,Sepp Straka,G,10.00%,53
,,,,,,,Ludvig Aberg,G,10.00%,78.5
,,,,,,,Viktor Hovland,G,5.00%,88.5
,,,,,,,Chris Gotterup,G,5.00%,90
,,,,,,,Jacob Bridgeman,G,5.00%,72
