Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3237480063,re_wcb,0,388,G Jordan Spieth G Tony Finau G Daniel Berger G Kevin Na G Stewart Cink G Austin Smotherman,,Viktor Hovland,G,45.00%,65
2,3239132489,garciar15,0,376.5,G Collin Morikawa G Davis Riley G Jason Kokrak G Harold Varner III G C.T. Pan G Rickie Fowler,,Jordan Spieth,G,30.00%,78
3,3237502036,Jph315,0,374,G Scottie Scheffler G Jordan Spieth G Billy Horschel G Dylan Frittelli G Denny McCarthy G Luke Donald,,Kevin Na,G,30.00%,76.5
4,3240609466,concord,0,352,G Justin Thomas G Tommy Fleetwood G Kevin Na G Chris Kirk G Harold Varner III G Mark Hubbard,,Jason Kokrak,G,30.00%,50
5,3238815498,jimm743,0,349.5,G Viktor Hovland G Sam Burns G Talor Gooch G Justin Rose G Stewart Cink G Patrick Rodgers,,Tommy Fleetwood,G,25.00%,53.5
6,3239278183,mlewicki,0,333.5,G Max Homa G Webb Simpson G Billy Horschel G Kevin Na G Harold Varner III G Maverick McNealy,,Brian Harman,G,25.00%,24
7,3238837999,Syvretzky,0,332.5,G Max Homa G Webb Simpson G Billy Horschel G Kevin Na G Harold Varner III G Maverick McNealy,,,,,
8,3237734368,belikemike247,0,332,G Collin Morikawa G Viktor Hovland G Daniel Berger G Pat Perez G Denny McCarthy G Richard Bland,,Chris Kirk,G,25.00%,66
9,3239524697,AndyRue5,0,330.5,G Jordan Spieth G Viktor Hovland G Jason Kokrak G Harold Varner III G J.J. Spaun G Sahith Theegala,,Tom Hoge,G,25.00%,23.5
10,3240276069,cubyblue,0,326.5,G Viktor Hovland G Max Homa G Tommy Fleetwood G Harold Varner III G Adam Long G Kevin Streelman,,Harold Varner III,G,25.00%,77
11,3239770969,boyewsky,0,318,G Jordan Spieth G Jason Kokrak G Kevin Na G Chris Kirk G Brian Harman G Tom Hoge,,Stewart Cink,G,20.00%,33.5
12,3239423808,JonBuc1,0,317.5,G Viktor Hovland G Tommy Fleetwood G Davis Riley G Chris Kirk G Tom Hoge G Erik Van Rooyen,,Billy Horschel,G,20.00%,28
13,3238653161,hupfdaddy,0,300.5,G Collin Morikawa G Viktor Hovland G Brian Harman G Sebastian Munoz G C.T. Pan G Austin Smotherman,,Collin Morikawa,G,20.00%,53
14,3240188952,gapfaff,0,295.5,G Talor Gooch G Tommy Fleetwood G Billy Horschel G Jason Kokrak G Kevin Na G Cameron Tringale,,Maverick McNealy,G,20.00%,28.5
15,3240412941,rhup,0,290,G Viktor Hovland G Max Homa G Jason Kokrak G Sebastian Munoz G Tom Hoge G Stewart Cink,,Davis Riley,G,15.00%,91
16,3237826549,jabella72,0,278,G Jordan Spieth G Abraham Ancer G Chris Kirk G Tom Hoge G Maverick McNealy G Ian Poulter,,Abraham Ancer,G,15.00%,23.5
17,3240853199,arob92,0,258,G Viktor Hovland G Talor Gooch G Billy Horschel G Tom Hoge G Maverick McNealy G Rickie Fowler,,Talor Gooch,G,15.00%,60
18,3239024605,chicagoputz,0,253,G Jordan Spieth G Abraham Ancer G Kevin Na G Justin Rose G Kevin Kisner G Stewart Cink,,Rickie Fowler,G,15.00%,53
19,3237470054,American-Dream,0,232.5,G Justin Thomas G Tommy Fleetwood G Davis Riley G Brian Harman G James Hahn G Patton Kizzire,,Max Homa,G,15.00%,64.5
20,3239955327,jakinnamon1221,0,222.5,G Collin Morikawa G Viktor Hovland G Jason Kokrak G Brian Harman G Doug Ghim G J.T. Poston,,Justin Thomas,G,10.00%,27.5
21,3238837806,darksidefan,0,214.5,G Will Zalatoris G Abraham Ancer G Chris Kirk G Brian Harman G Maverick McNealy G Rickie Fowler,,Daniel Berger,G,10.00%,67.5
,,,,,,,Austin Smotherman,G,10.00%,52.5
,,,,,,,Denny McCarthy,G,10.00%,62
,,,,,,,Sebastian Munoz,G,10.00%,53.5
,,,,,,,C.T. Pan,G,10.00%,52.5
,,,,,,,Justin Rose,G,10.00%,23
,,,,,,,James Hahn,G,5.00%,13
,,,,,,,Patton Kizzire,G,5.00%,23.5
,,,,,,,Tony Finau,G,5.00%,80
,,,,,,,Scottie Scheffler,G,5.00%,89
,,,,,,,Dylan Frittelli,G,5.00%,61
,,,,,,,Luke Donald,G,5.00%,56
,,,,,,,Pat Perez,G,5.00%,68.5
,,,,,,,Richard Bland,G,5.00%,16
,,,,,,,Ian Poulter,G,5.00%,58.5
,,,,,,,Sam Burns,G,5.00%,108
,,,,,,,Patrick Rodgers,G,5.00%,60
,,,,,,,Will Zalatoris,G,5.00%,19.5
,,,,,,,Kevin Kisner,G,5.00%,18.5
,,,,,,,Webb Simpson,G,5.00%,59
,,,,,,,Erik Van Rooyen,G,5.00%,18.5
,,,,,,,J.J. Spaun,G,5.00%,7.5
,,,,,,,Sahith Theegala,G,5.00%,53
,,,,,,,Doug Ghim,G,5.00%,9
,,,,,,,J.T. Poston,G,5.00%,21.5
,,,,,,,Cameron Tringale,G,5.00%,27.5
,,,,,,,Adam Long,G,5.00%,50.5
,,,,,,,Kevin Streelman,G,5.00%,16
,,,,,,,Mark Hubbard,G,5.00%,51.5
