Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5146504232,boyewsky,0,628.5,G Si Woo Kim G Jordan Spieth G Blades Brown G Stephan Jaeger G Austin Eckroat G John Parry,,Jordan Spieth,G,56.52%,104.5
2,5145009481,snyde167,0,620,G Si Woo Kim G Jordan Spieth G Brooks Koepka G Steven Fisk G Tom Hoge G Will Gordon,,Si Woo Kim,G,43.48%,143.5
3,5145872115,holth,0,588.5,G Jordan Spieth G Keith Mitchell G Sungjae Im G Tom Kim G Tony Finau G Carson Young,,Stephan Jaeger,G,43.48%,115
4,5144528744,VOODOG23,0,579,G Si Woo Kim G Jordan Spieth G Ryo Hisatsune G Chris Kirk G Tom Hoge G Cameron Champ,,Brooks Koepka,G,26.09%,109.5
5,5146227625,gapfaff,0,572.5,G Brooks Koepka G Sungjae Im G Max Greyserman G Tom Kim G Stephan Jaeger G Matti Schmid,,Michael Brennan,G,26.09%,36.5
6,5146309573,cmilly-97,0,563,G Si Woo Kim G Jordan Spieth G Ryo Hisatsune G Hao-Tong Li G Matthieu Pavon G Luke Clanton,,Hao-Tong Li,G,26.09%,37
7,5146406686,concord,0,561,G Ryo Hisatsune G Sungjae Im G Michael Brennan G Tom Kim G Stephan Jaeger G Taylor Moore,,Max Greyserman,G,21.74%,118.5
8,5144656400,chicagoputz,0,559,G Jordan Spieth G Brooks Koepka G Blades Brown G Hao-Tong Li G Stephan Jaeger G Chris Kirk,,Tom Kim,G,21.74%,78
9,5145742617,ryanhupfer,0,531.5,G Si Woo Kim G Taylor Pendrith G Max Greyserman G Christiaan Bezuidenhout G Stephan Jaeger G Carson Young,,Blades Brown,G,21.74%,98
10,5146564577,darksidefan,0,529,G Si Woo Kim G Brooks Koepka G Blades Brown G Stephan Jaeger G Matti Schmid G Adrien Dumont De Chassart,,Ryo Hisatsune,G,17.39%,100
11,5144860679,magic_21,0,525,G Si Woo Kim G Sungjae Im G Christiaan Bezuidenhout G Tom Kim G Stephan Jaeger G Matti Schmid,,Sungjae Im,G,17.39%,120
12,5145187907,jabella72,0,520,G Scottie Scheffler G Stephan Jaeger G Tony Finau G Billy Horschel G Matthieu Pavon G Joe Highsmith,,Eric Cole,G,17.39%,88
13,5146099627,Knock0ut12,0,512.5,G Si Woo Kim G Jordan Spieth G Hao-Tong Li G Stephan Jaeger G Kevin Roy G Mark Hubbard,,Matti Schmid,G,17.39%,31.5
14,5145558715,aceshigh1973,0,498,G Scottie Scheffler G Hao-Tong Li G Tony Finau G Chad Ramey G Emiliano Grillo G Kevin Streelman,,Tony Finau,G,17.39%,119.5
15,5145576996,Lumberjac,0,496,G Jordan Spieth G Taylor Pendrith G Eric Cole G Michael Brennan G Blades Brown G Austin Eckroat,,Scottie Scheffler,G,13.04%,137.5
16,5145148317,cairnssj,0,484.5,G Ryo Hisatsune G Davis Thompson G Mac Meissner G Michael Brennan G Stephan Jaeger G Tony Finau,,Christiaan Bezuidenhout,G,13.04%,37
17,5145509632,NPitz14,0,480.5,G Si Woo Kim G Jordan Spieth G Max Greyserman G Michael Brennan G Hayden Springer G David Skinns,,Chris Kirk,G,13.04%,95
18,5144541260,brotherjonas,0,468,G Si Woo Kim G Jordan Spieth G Max Greyserman G Michael Brennan G Jhonattan Vegas G Chandler Blanchet,,Tom Hoge,G,13.04%,125
19,5145737197,cubyblue,0,462.5,G Jordan Spieth G Brooks Koepka G Eric Cole G Matti Schmid G Chris Kirk G Max McGreevy,,Davis Thompson,G,8.70%,25.5
20,5146184182,JonBuc1,0,451,G Scottie Scheffler G Hao-Tong Li G Tom Hoge G Jesper Svensson G Cameron Champ G Taylor Montgomery,,Rasmus Hojgaard,G,8.70%,75.5
21,5146314144,Gm0ney720,0,450,G Brooks Koepka G Rasmus Hojgaard G Max Greyserman G Tom Kim G Hao-Tong Li G Adrien Dumont De Chassart,,Taylor Pendrith,G,8.70%,76.5
22,5144524019,American-Dream,0,439,G Jordan Spieth G Rasmus Hojgaard G Christiaan Bezuidenhout G Eric Cole G Michael Brennan G Erik Van Rooyen,,Mac Meissner,G,8.70%,88
23,5145297452,Jph315,0,432,G Jordan Spieth G Davis Thompson G Mac Meissner G Eric Cole G Blades Brown G Joel Dahmen,,Austin Eckroat,G,8.70%,92.5
,,,,,,,Adrien Dumont De Chassart,G,8.70%,31.5
,,,,,,,Carson Young,G,8.70%,41
,,,,,,,Matthieu Pavon,G,8.70%,87.5
,,,,,,,Cameron Champ,G,8.70%,11
,,,,,,,Keith Mitchell,G,4.35%,125.5
,,,,,,,Kevin Roy,G,4.35%,22
,,,,,,,John Parry,G,4.35%,75
,,,,,,,Max McGreevy,G,4.35%,34
,,,,,,,Taylor Moore,G,4.35%,111.5
,,,,,,,Mark Hubbard,G,4.35%,90.5
,,,,,,,Steven Fisk,G,4.35%,101.5
,,,,,,,Chad Ramey,G,4.35%,82.5
,,,,,,,Jhonattan Vegas,G,4.35%,33
,,,,,,,Hayden Springer,G,4.35%,44.5
,,,,,,,Billy Horschel,G,4.35%,35
,,,,,,,Erik Van Rooyen,G,4.35%,97.5
,,,,,,,David Skinns,G,4.35%,33
,,,,,,,Emiliano Grillo,G,4.35%,88
,,,,,,,Chandler Blanchet,G,4.35%,32
,,,,,,,Jesper Svensson,G,4.35%,109.5
,,,,,,,Taylor Montgomery,G,4.35%,31
,,,,,,,Will Gordon,G,4.35%,36
,,,,,,,Joel Dahmen,G,4.35%,28
,,,,,,,Luke Clanton,G,4.35%,90.5
,,,,,,,Joe Highsmith,G,4.35%,25.5
,,,,,,,Kevin Streelman,G,4.35%,33.5
