Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5151940242,cubyblue,0,451,G Justin Thomas G Rickie Fowler G Alex Smalley G Michael Kim G Eric Cole G Max Homa,,Rickie Fowler,G,50.00%,28
2,5151759757,JonBuc1,0,434.5,G Russell Henley G Rickie Fowler G Gary Woodland G Christiaan Bezuidenhout G Zachary Bauchou G Tom Hoge,,Justin Thomas,G,37.50%,79
3,5150881637,brotherjonas,0,422.5,G Ludvig Aberg G Robert MacIntyre G Akshay Bhatia G Eric Cole G Nicolas Echavarria G William Mouw,,Ryo Hisatsune,G,33.33%,56
3,5150920041,Gm0ney720,0,422.5,G Hideki Matsuyama G Alex Smalley G Ryo Hisatsune G Sahith Theegala G Brian Harman G Max Homa,,Alex Smalley,G,33.33%,98.5
5,5152416727,concord,0,395,G Justin Thomas G Alex Smalley G Sungjae Im G Ryan Gerard G Andrew Novak G Taylor Moore,,Sungjae Im,G,29.17%,18.5
6,5151112878,cairnssj,0,380,G Justin Thomas G J.J. Spaun G Sungjae Im G Max Greyserman G Christiaan Bezuidenhout G Eric Cole,,Ludvig Aberg,G,29.17%,72.5
7,5152359741,darksidefan,0,375,G Rickie Fowler G J.J. Spaun G Alex Smalley G Akshay Bhatia G Jackson Suber G Paul Peterson,,Keith Mitchell,G,25.00%,28.5
8,5152050510,gapfaff,0,369,G Hideki Matsuyama G Keith Mitchell G Ryo Hisatsune G Gary Woodland G Ryan Gerard G Adrien Dumont De Chassart,,Eric Cole,G,20.83%,104.5
9,5150943789,Lumberjac,0,356.5,G Rickie Fowler G Ben Griffin G Akshay Bhatia G Sudarshan Yellamaraju G Andrew Putnam G Zachary Bauchou,,Stephan Jaeger,G,20.83%,9
10,5151753100,cmilly-97,0,355.5,G Justin Thomas G Rickie Fowler G Ryo Hisatsune G Matthew McCarty G Sam Stevens G Billy Horschel,,Max Greyserman,G,20.83%,20.5
11,5150683305,American-Dream,0,354,G Justin Thomas G Rickie Fowler G Sungjae Im G Sahith Theegala G Eric Cole G John Keefer,,Sahith Theegala,G,16.67%,57
12,5152404801,magic_21,0,349,G Justin Thomas G Alex Smalley G Pierceson Coody G Max Greyserman G Tony Finau G Mark Hubbard,,Andrew Novak,G,16.67%,57.5
13,5152313508,boyewsky,0,348.5,G Ludvig Aberg G Alex Smalley G Gary Woodland G Max Greyserman G Stephan Jaeger G Lucas Glover,,Tony Finau,G,16.67%,27
14,5151626150,Jph315,0,326.5,G Ludvig Aberg G Rickie Fowler G Sungjae Im G Taylor Moore G Eric Cole G Kevin Roy,,Gary Woodland,G,16.67%,99
