Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3697572848,mlewicki,0,541.44995,G Scottie Scheffler G Patrick Cantlay G Tyrrell Hatton G Ryan Fox G Davis Thompson G Andrew Putnam,,Tyrrell Hatton,G,68.42%,29.25
2,3698956063,boyewsky,0,537.44995,G Scottie Scheffler G Jason Day G Tyrrell Hatton G Seamus Power G Ryan Fox G Cameron Davis,,Scottie Scheffler,G,36.84%,191.2
3,3698197627,hupfdaddy,0,519.55,G Viktor Hovland G Sungjae Im G Cameron Young G Min Woo Lee G Kevin Kisner G Lucas Herbert,,Sahith Theegala,G,31.58%,47.1
4,3697803582,magic_21,0,502.34998,G Scottie Scheffler G Max Homa G Tyrrell Hatton G Seamus Power G Adrian Meronk G Davis Thompson,,Seamus Power,G,31.58%,51.5
5,3698931818,darksidefan,0,500.30002,G Cameron Young G Jason Day G Tyrrell Hatton G Sahith Theegala G Taylor Montgomery G Seamus Power,,Max Homa,G,31.58%,106.1
6,3698151768,jabella72,0,480.35,G Max Homa G Cameron Young G Tommy Fleetwood G Sahith Theegala G Adam Hadwin G Harris English,,Will Zalatoris,G,26.32%,12.75
7,3697730978,chicagoputz,0,462.85,G Max Homa G Jason Day G Will Zalatoris G Keith Mitchell G Tom Hoge G Mackenzie Hughes,,Jason Day,G,26.32%,134.1
8,3697934122,Jph315,0,442.3,G Scottie Scheffler G Tyrrell Hatton G Rickie Fowler G Sahith Theegala G Seamus Power G Victor Perez,,Tommy Fleetwood,G,21.05%,35
9,3697520954,American-Dream,0,424.9,G Scottie Scheffler G Tyrrell Hatton G Sahith Theegala G Corey Conners G Seamus Power G Christiaan Bezuidenhout,,Cameron Young,G,21.05%,178.15
10,3697732508,AirMOC,0,420.2,G Patrick Cantlay G Cameron Young G Will Zalatoris G Min Woo Lee G Denny McCarthy G Adam Svensson,,Ryan Fox,G,15.79%,72.55
11,3697628720,concord,0,420.15002,G Max Homa G Tony Finau G Tyrrell Hatton G Will Zalatoris G Andrew Putnam G J.J. Spaun,,Davis Thompson,G,15.79%,57.55
12,3698317306,ryanhupfer,0,419.35,G Scottie Scheffler G Tony Finau G Adam Scott G Tom Hoge G Kevin Kisner G Kyoung-Hoon Lee,,Kevin Kisner,G,15.79%,49.25
13,3698213173,jimm743,0,414.90002,G Tyrrell Hatton G Sam Burns G Matt Fitzpatrick G Tommy Fleetwood G Chris Kirk G Brian Harman,,Maverick McNealy,G,15.79%,26.75
14,3697992882,belikemike247,0,391.8,G Jon Rahm G Max Homa G Sahith Theegala G Adam Hadwin G Ryan Fox G Davis Thompson,,Tom Hoge,G,15.79%,41.25
15,3697738253,garciar15,0,389.25,G Xander Schauffele G Tyrrell Hatton G Will Zalatoris G Tommy Fleetwood G Si Woo Kim G J.J. Spaun,,Patrick Cantlay,G,10.53%,96.8
16,3698009351,JonBuc1,0,388.95,G Max Homa G Jason Day G Tyrrell Hatton G Tom Hoge G Seamus Power G Maverick McNealy,,Andrew Putnam,G,10.53%,94.1
17,3697687341,cmilly-97,0,378.05,G Scottie Scheffler G Tyrrell Hatton G Tommy Fleetwood G Sahith Theegala G Kevin Kisner G Kyoung-Hoon Lee,,Tony Finau,G,10.53%,63.65
18,3697702856,gapfaff,0,334.15002,G Jordan Spieth G Jason Day G Tyrrell Hatton G Adam Scott G Alex Noren G Maverick McNealy,,J.J. Spaun,G,10.53%,114.3
19,3697825169,andcohen2525,0,312.85,G Xander Schauffele G Tyrrell Hatton G Will Zalatoris G Shane Lowry G Maverick McNealy G Victor Perez,,Kyoung-Hoon Lee,G,10.53%,26.25
,,,,,,,Adam Scott,G,10.53%,47.75
,,,,,,,Min Woo Lee,G,10.53%,50
,,,,,,,Xander Schauffele,G,10.53%,137.1
,,,,,,,Victor Perez,G,10.53%,63.65
,,,,,,,Adam Hadwin,G,10.53%,56.2
,,,,,,,Corey Conners,G,5.26%,75.1
,,,,,,,Christiaan Bezuidenhout,G,5.26%,30.75
,,,,,,,Jordan Spieth,G,5.26%,62.05
,,,,,,,Alex Noren,G,5.26%,34.25
,,,,,,,Keith Mitchell,G,5.26%,41.75
,,,,,,,Mackenzie Hughes,G,5.26%,126.9
,,,,,,,Denny McCarthy,G,5.26%,51.25
,,,,,,,Adam Svensson,G,5.26%,31.25
,,,,,,,Si Woo Kim,G,5.26%,60.85
,,,,,,,Adrian Meronk,G,5.26%,66.75
,,,,,,,Shane Lowry,G,5.26%,43.35
,,,,,,,Rickie Fowler,G,5.26%,59.6
,,,,,,,Jon Rahm,G,5.26%,52.3
,,,,,,,Harris English,G,5.26%,57.8
,,,,,,,Viktor Hovland,G,5.26%,48.05
,,,,,,,Sungjae Im,G,5.26%,98.9
,,,,,,,Lucas Herbert,G,5.26%,95.2
,,,,,,,Sam Burns,G,5.26%,207.25
,,,,,,,Matt Fitzpatrick,G,5.26%,43.35
,,,,,,,Chris Kirk,G,5.26%,30.5
,,,,,,,Brian Harman,G,5.26%,69.55
,,,,,,,Taylor Montgomery,G,5.26%,60.2
,,,,,,,Cameron Davis,G,5.26%,58.85
