Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3635638244,hupfdaddy,0,472,G Collin Morikawa G Justin Thomas G Max Homa G Ben Griffin G Byeong Hun An G Lanto Griffin,,Max Homa,G,40.00%,117.5
2,3635891669,magic_21,0,431.5,G Collin Morikawa G Max Homa G Si Woo Kim G Luke List G Aaron Rai G Henrik Norlander,,Collin Morikawa,G,30.00%,98.5
3,3635833625,garciar15,0,412,G Tony Finau G Justin Thomas G Justin Rose G Rickie Fowler G Robby Shelton G Stephan Jaeger,,Will Zalatoris,G,30.00%,29
4,3635815131,cubyblue,0,408.5,G Collin Morikawa G Max Homa G Sahith Theegala G Sebastian Munoz G Gary Woodland G Matthew NeSmith,,Maverick McNealy,G,30.00%,56
5,3634577136,belikemike247,0,401,G Justin Thomas G Max Homa G Hayden Buckley G Taylor Pendrith G Wyndham Clark G Thomas Detry,,Justin Thomas,G,25.00%,68.5
6,3634776011,gapfaff,0,397.5,G Sungjae Im G Max Homa G Jason Day G Maverick McNealy G Ben Taylor G Matthias Schmid,,Si Woo Kim,G,20.00%,60.5
7,3634748701,chicagoputz,0,393,G Collin Morikawa G Max Homa G Maverick McNealy G Hayden Buckley G Dean Burmester G Dylan Wu,,Adam Hadwin,G,20.00%,53.5
8,3634418744,AirMOC,0,381.5,G Tony Finau G Taylor Montgomery G Max Homa G Robby Shelton G Patton Kizzire G Justin Lower,,Justin Rose,G,20.00%,71.5
9,3634372683,American-Dream,0,379,G Xander Schauffele G Collin Morikawa G Maverick McNealy G Thomas Detry G Harry Higgs G Harrison Endycott,,Thomas Detry,G,20.00%,55.5
10,3634665397,concord,0,369,G Will Zalatoris G Jason Day G Sahith Theegala G Adam Hadwin G Nick Hardy G Stephan Jaeger,,Robby Shelton,G,20.00%,50.5
11,3635682715,cmilly-97,0,367,G Will Zalatoris G Max Homa G Maverick McNealy G Davis Thompson G Thomas Detry G Byeong Hun An,,Tony Finau,G,15.00%,91.5
12,3634667875,jimm743,0,352,G Will Zalatoris G Sungjae Im G Si Woo Kim G Rickie Fowler G Patrick Rodgers G Byeong Hun An,,Xander Schauffele,G,15.00%,79.5
13,3634656100,Jph315,0,345.5,G Collin Morikawa G Maverick McNealy G J.J. Spaun G Adam Hadwin G Trey Mullinax G Robby Shelton,,Taylor Montgomery,G,15.00%,64
14,3636027226,boyewsky,0,328,G Tony Finau G Will Zalatoris G Justin Rose G Wyndham Clark G Patton Kizzire G Eric Cole,,Sahith Theegala,G,15.00%,94.5
15,3634960845,mlewicki,0,325.5,G Justin Thomas G Taylor Montgomery G Cameron Davis G Justin Rose G Dean Burmester G Stephan Jaeger,,Wyndham Clark,G,15.00%,78.5
16,3635815498,JonBuc1,0,322,G Xander Schauffele G Si Woo Kim G Adam Hadwin G Davis Thompson G Will Gordon G Nick Hardy,,Davis Thompson,G,15.00%,47
17,3635832072,darksidefan,0,318,G Xander Schauffele G J.J. Spaun G Adam Hadwin G Wyndham Clark G Kurt Kitayama G Dean Burmester,,Sebastian Munoz,G,15.00%,22.5
18,3634536922,ryanhupfer,0,309,G Will Zalatoris G Justin Thomas G Sahith Theegala G Justin Rose G Sebastian Munoz G Harrison Endycott,,Dean Burmester,G,15.00%,60
19,3635802007,andcohen2525,0,281.5,G Will Zalatoris G Taylor Montgomery G Si Woo Kim G Maverick McNealy G Robby Shelton G J.B. Holmes,,Stephan Jaeger,G,15.00%,49.5
20,3635520298,jabella72,0,264.5,G Jon Rahm G Harris English G Davis Thompson G Scott Stallings G Thomas Detry G Sebastian Munoz,,Byeong Hun An,G,15.00%,62
,,,,,,,Sungjae Im,G,10.00%,95
,,,,,,,Jason Day,G,10.00%,85.5
,,,,,,,J.J. Spaun,G,10.00%,24.5
,,,,,,,Hayden Buckley,G,10.00%,31
,,,,,,,Rickie Fowler,G,10.00%,80.5
,,,,,,,Nick Hardy,G,10.00%,57
,,,,,,,Patton Kizzire,G,10.00%,30.5
,,,,,,,Harrison Endycott,G,10.00%,23
,,,,,,,Jon Rahm,G,5.00%,96
,,,,,,,Cameron Davis,G,5.00%,12
,,,,,,,Luke List,G,5.00%,67
,,,,,,,Taylor Pendrith,G,5.00%,50
,,,,,,,Harris English,G,5.00%,19
,,,,,,,Scott Stallings,G,5.00%,24.5
,,,,,,,Kurt Kitayama,G,5.00%,22
,,,,,,,Gary Woodland,G,5.00%,49.5
,,,,,,,Will Gordon,G,5.00%,24.5
,,,,,,,Trey Mullinax,G,5.00%,62.5
,,,,,,,Patrick Rodgers,G,5.00%,25
,,,,,,,Ben Griffin,G,5.00%,63
,,,,,,,Aaron Rai,G,5.00%,59
,,,,,,,Matthew NeSmith,G,5.00%,26
,,,,,,,Ben Taylor,G,5.00%,20
,,,,,,,Lanto Griffin,G,5.00%,62.5
,,,,,,,Matthias Schmid,G,5.00%,23.5
,,,,,,,Harry Higgs,G,5.00%,66.5
,,,,,,,Justin Lower,G,5.00%,27.5
,,,,,,,Henrik Norlander,G,5.00%,29
,,,,,,,Dylan Wu,G,5.00%,30
,,,,,,,Eric Cole,G,5.00%,27
,,,,,,,J.B. Holmes,G,5.00%,21.5
