Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5115265049,darksidefan,0,515.5,G Matt Fitzpatrick G Russell Henley G Maverick McNealy G Sahith Theegala G Sudarshan Yellamaraju G Brian Harman,,Jordan Spieth,G,33.33%,80
2,5115283817,boyewsky,0,512.5,G Matt Fitzpatrick G Patrick Cantlay G Justin Thomas G Jacob Bridgeman G Sahith Theegala G Sungjae Im,,Xander Schauffele,G,33.33%,83
3,5113402550,gapfaff,0,512,G Xander Schauffele G Matt Fitzpatrick G Jordan Spieth G Brian Harman G Corey Conners G Ricky Castillo,,Justin Thomas,G,29.17%,59
4,5113396342,chicagoputz,0,503.5,G Matt Fitzpatrick G Jake Knapp G Chris Gotterup G Akshay Bhatia G Ryo Hisatsune G Wyndham Clark,,Jake Knapp,G,25.00%,58
5,5113296097,brotherjonas,0,496.5,G Xander Schauffele G Russell Henley G Shane Lowry G Harris English G Kurt Kitayama G Pierceson Coody,,Maverick McNealy,G,20.83%,77.5
6,5115194550,magic_21,0,490,G Sam Burns G Si Woo Kim G Robert MacIntyre G Maverick McNealy G Ryan Gerard G Sam Stevens,,Russell Henley,G,20.83%,70.5
7,5114539384,cubyblue,0,487,G Ludvig Aberg G Viktor Hovland G Maverick McNealy G Justin Thomas G Rickie Fowler G Sahith Theegala,,Ryo Hisatsune,G,20.83%,64
8,5113627282,cmilly-97,0,480,G Scottie Scheffler G Jordan Spieth G Sam Stevens G Sudarshan Yellamaraju G Corey Conners G Tom Hoge,,Sahith Theegala,G,20.83%,84.5
9,5115111099,concord,0,474.5,G Xander Schauffele G Patrick Cantlay G Jason Day G Harris English G Nick Taylor G Max Homa,,Ludvig Aberg,G,16.67%,100
10,5113201221,VOODOG23,0,462,G Tommy Fleetwood G Si Woo Kim G Maverick McNealy G Justin Thomas G Ryo Hisatsune G Pierceson Coody,,Matt Fitzpatrick,G,16.67%,130
10,5114203828,NPitz14,0,462,G Scottie Scheffler G Jordan Spieth G Sepp Straka G Alex Noren G Andrew Putnam G Austin Smotherman,,Chris Gotterup,G,16.67%,81.5
12,5114648335,JonBuc1,0,461,G Scottie Scheffler G Jake Knapp G Sahith Theegala G Ricky Castillo G Matt Wallace G Andrew Putnam,,Sudarshan Yellamaraju,G,16.67%,71
13,5113089530,jabella72,0,458.5,G Jake Knapp G Si Woo Kim G Jacob Bridgeman G Min Woo Lee G Akshay Bhatia G Ryo Hisatsune,,Tommy Fleetwood,G,12.50%,68
14,5115020872,ryanhupfer,0,456.5,G Russell Henley G Patrick Cantlay G Robert MacIntyre G Akshay Bhatia G Nicolai Hojgaard G Daniel Berger,,Viktor Hovland,G,12.50%,79
15,5113215213,Jph315,0,446.5,G Xander Schauffele G Ludvig Aberg G Min Woo Lee G Daniel Berger G Sam Stevens G Taylor Pendrith,,Tony Finau,G,12.50%,41.5
16,5113823743,Gm0ney720,0,444.5,G Cameron Young G Sam Burns G Jordan Spieth G Justin Thomas G Ryo Hisatsune G Ryan Fox,,Daniel Berger,G,12.50%,67.5
17,5115198560,hupfdaddy,0,443,G Xander Schauffele G Viktor Hovland G Justin Thomas G Min Woo Lee G Rickie Fowler G Sudarshan Yellamaraju,,Si Woo Kim,G,12.50%,106.5
18,5113030923,American-Dream,0,438,G Xander Schauffele G Jordan Spieth G Maverick McNealy G Justin Thomas G Daniel Berger G Matt Wallace,,Jacob Bridgeman,G,12.50%,81
19,5113070764,Lumberjac,0,431.5,G Russell Henley G Ludvig Aberg G Jordan Spieth G Sepp Straka G Ryo Hisatsune G Tony Finau,,Min Woo Lee,G,12.50%,64
20,5113500044,aceshigh1973,0,427.5,G Xander Schauffele G Jake Knapp G Chris Gotterup G Jason Day G Ryan Gerard G Max Homa,,Akshay Bhatia,G,12.50%,85
21,5113023849,snyde167,0,426.5,G Tommy Fleetwood G Ludvig Aberg G Jordan Spieth G Viktor Hovland G Tony Finau G Denny McCarthy,,Sam Stevens,G,12.50%,73
22,5115213817,Knock0ut12,0,421.5,G Tommy Fleetwood G Russell Henley G Jordan Spieth G Jacob Bridgeman G Sudarshan Yellamaraju G Brian Campbell,,Max Homa,G,12.50%,56.5
23,5115029342,holth,0,415,G Cameron Young G Jake Knapp G Justin Thomas G Chris Gotterup G Sahith Theegala G Max Homa,,Scottie Scheffler,G,12.50%,119.5
24,5113409130,cairnssj,0,414.5,G Xander Schauffele G Jake Knapp G Shane Lowry G Chris Gotterup G Wyndham Clark G Tony Finau,,Patrick Cantlay,G,12.50%,90
,,,,,,,Matt Wallace,G,8.33%,71
,,,,,,,Sepp Straka,G,8.33%,75.5
,,,,,,,Pierceson Coody,G,8.33%,87
,,,,,,,Shane Lowry,G,8.33%,65.5
,,,,,,,Harris English,G,8.33%,97
,,,,,,,Wyndham Clark,G,8.33%,85
,,,,,,,Brian Harman,G,8.33%,82
,,,,,,,Corey Conners,G,8.33%,73
,,,,,,,Ricky Castillo,G,8.33%,64
,,,,,,,Jason Day,G,8.33%,74
,,,,,,,Ryan Gerard,G,8.33%,74.5
,,,,,,,Cameron Young,G,8.33%,75.5
,,,,,,,Sam Burns,G,8.33%,85
,,,,,,,Andrew Putnam,G,8.33%,64
,,,,,,,Rickie Fowler,G,8.33%,87
,,,,,,,Robert MacIntyre,G,8.33%,73.5
,,,,,,,Denny McCarthy,G,4.17%,58
,,,,,,,Taylor Pendrith,G,4.17%,59
,,,,,,,Kurt Kitayama,G,4.17%,93.5
,,,,,,,Tom Hoge,G,4.17%,63.5
,,,,,,,Ryan Fox,G,4.17%,81
,,,,,,,Alex Noren,G,4.17%,66.5
,,,,,,,Austin Smotherman,G,4.17%,56.5
,,,,,,,Nicolai Hojgaard,G,4.17%,70
,,,,,,,Nick Taylor,G,4.17%,74
,,,,,,,Brian Campbell,G,4.17%,51
,,,,,,,Sungjae Im,G,4.17%,68
