Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3137860016,concord,0,433,G Billy Horschel G Keith Mitchell G Jhonattan Vegas G Ryan Palmer G Chris Kirk G Sepp Straka,,Billy Horschel,G,59.09%,63.5
2,3138212837,darksidefan,0,378.5,G Louis Oosthuizen G Keith Mitchell G Denny McCarthy G C.T. Pan G Chris Kirk G Hudson Swafford,,Keith Mitchell,G,50.00%,77.5
3,3136996171,gapfaff,0,377,G Billy Horschel G Alex Noren G Patrick Reed G Kyoung-Hoon Lee G Sepp Straka G Nick Taylor,,Denny McCarthy,G,27.27%,56.5
4,3138216188,boyewsky,0,366.5,G Brooks Koepka G Keith Mitchell G Russell Knox G Kyoung-Hoon Lee G Greyson Sigg G Sepp Straka,,Jhonattan Vegas,G,22.73%,53.5
5,3136987209,re_wcb,0,356.5,G Tommy Fleetwood G Keith Mitchell G Jhonattan Vegas G Taylor Moore G Sepp Straka G Sam Ryder,,Russell Knox,G,22.73%,56.5
6,3137358151,JonBuc1,0,355,G Billy Horschel G Matt Jones G Russell Knox G Christiaan Bezuidenhout G Denny McCarthy G Sepp Straka,,Sepp Straka,G,22.73%,106.5
7,3136986141,andcohen2525,0,350.5,G Daniel Berger G Keith Mitchell G Cameron Young G Denny McCarthy G Greyson Sigg G Robert Streb,,Cameron Young,G,18.18%,66.5
8,3137194797,arob92,0,344,G Billy Horschel G Keith Mitchell G Cameron Young G Russell Knox G Rickie Fowler G Doc Redman,,Mackenzie Hughes,G,18.18%,50.5
9,3137245183,jimm743,0,337.5,G Shane Lowry G Matthew Wolff G Keith Mitchell G Kyoung-Hoon Lee G Rickie Fowler G Danny Willett,,Chris Kirk,G,18.18%,82.5
10,3137138405,jabella72,0,327.5,G Billy Horschel G Alex Noren G Keith Mitchell G Ian Poulter G Stewart Cink G Patrick Rodgers,,Kyoung-Hoon Lee,G,18.18%,56
11,3137946290,jakinnamon1221,0,326.5,G Sungjae Im G Jhonattan Vegas G Mackenzie Hughes G Denny McCarthy G Chris Kirk G J.J. Spaun,,Hudson Swafford,G,18.18%,26.5
12,3136585855,American-Dream,0,324.5,G Sungjae Im G Mito Pereira G Cameron Young G Garrick Higgo G Taylor Pendrith G Mark Hubbard,,Sungjae Im,G,13.64%,23
13,3136663243,belikemike247,0,319,G Brooks Koepka G Keith Mitchell G Jhonattan Vegas G Mackenzie Hughes G Danny Willett G Doug Ghim,,Garrick Higgo,G,13.64%,53.5
14,3136772254,garciar15,0,316.5,G Tommy Fleetwood G Billy Horschel G Russell Knox G C.T. Pan G Lucas Glover G Garrick Higgo,,Taylor Pendrith,G,13.64%,56.5
15,3137360461,Syvretzky,0,313,G Billy Horschel G Alex Noren G Keith Mitchell G Nicolai Hojgaard G Taylor Pendrith G Hudson Swafford,,Patrick Reed,G,13.64%,16.5
16,3138167763,AndyRue5,0,302,G Sungjae Im G Billy Horschel G Denny McCarthy G Garrick Higgo G Sam Ryder G Hudson Swafford,,Aaron Wise,G,13.64%,21
17,3137868702,mlewicki,0,295.5,G Billy Horschel G Patrick Reed G Christiaan Bezuidenhout G Ryan Palmer G Lee Westwood G Ian Poulter,,Tommy Fleetwood,G,13.64%,22.5
18,3136638472,Jph315,0,294,G Daniel Berger G Billy Horschel G Patrick Reed G Taylor Pendrith G Stewart Cink G Matthew NeSmith,,Greyson Sigg,G,13.64%,15
19,3137659794,rhup,0,293.5,G Tommy Fleetwood G Billy Horschel G Keith Mitchell G Brendon Todd G Dylan Frittelli G Harry Higgs,,Alex Noren,G,13.64%,69
20,3136746174,hupfdaddy,0,284.5,G Mito Pereira G Brian Harman G Aaron Wise G Mackenzie Hughes G Russell Knox G Chris Kirk,,Mito Pereira,G,9.09%,53
21,3136783072,chicagoputz,0,272.5,G Billy Horschel G Cameron Young G Aaron Wise G Mackenzie Hughes G Kyoung-Hoon Lee G Greyson Sigg,,Daniel Berger,G,9.09%,85
22,3138021118,cubyblue,0,241,G Billy Horschel G Jhonattan Vegas G Aaron Wise G Denny McCarthy G Nicolai Hojgaard G Hudson Swafford,,Stewart Cink,G,9.09%,11
,,,,,,,Brooks Koepka,G,9.09%,55
,,,,,,,Danny Willett,G,9.09%,52.5
,,,,,,,C.T. Pan,G,9.09%,63
,,,,,,,Sam Ryder,G,9.09%,79
,,,,,,,Ian Poulter,G,9.09%,61
,,,,,,,Rickie Fowler,G,9.09%,57
,,,,,,,Christiaan Bezuidenhout,G,9.09%,53
,,,,,,,Nicolai Hojgaard,G,9.09%,20
,,,,,,,Ryan Palmer,G,9.09%,49.5
,,,,,,,Mark Hubbard,G,4.55%,72
,,,,,,,Matthew NeSmith,G,4.55%,61.5
,,,,,,,Doug Ghim,G,4.55%,30
,,,,,,,Brian Harman,G,4.55%,21
,,,,,,,Lucas Glover,G,4.55%,57.5
,,,,,,,Robert Streb,G,4.55%,50
,,,,,,,Taylor Moore,G,4.55%,17.5
,,,,,,,Nick Taylor,G,4.55%,65.5
,,,,,,,Patrick Rodgers,G,4.55%,45.5
,,,,,,,Doc Redman,G,4.55%,23
,,,,,,,Shane Lowry,G,4.55%,87.5
,,,,,,,Matthew Wolff,G,4.55%,7
,,,,,,,Matt Jones,G,4.55%,19
,,,,,,,Brendon Todd,G,4.55%,51
,,,,,,,Dylan Frittelli,G,4.55%,61.5
,,,,,,,Harry Higgs,G,4.55%,17.5
,,,,,,,Lee Westwood,G,4.55%,52
,,,,,,,J.J. Spaun,G,4.55%,60.5
,,,,,,,Louis Oosthuizen,G,4.55%,72.5
