Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4211470333,Jph315,0,479,G Scottie Scheffler G Will Zalatoris G Billy Horschel G Ben Silverman G Matti Schmid G Nick Dunlap,,Sahith Theegala,G,50.00%,70.5
2,4212195243,jimm743,0,427.5,G Sahith Theegala G Tom Hoge G Beau Hossler G Mackenzie Hughes G Akshay Bhatia G Chandler Phillips,,Mackenzie Hughes,G,50.00%,74.5
3,4211297911,American-Dream,0,403.5,G Will Zalatoris G Si Woo Kim G Tom Hoge G Mackenzie Hughes G Peter Malnati G Chandler Phillips,,Jason Day,G,43.75%,24
4,4213307896,boyewsky,0,393.5,G Jason Day G Alex Noren G Billy Horschel G Kurt Kitayama G Mackenzie Hughes G Andrew Novak,,Will Zalatoris,G,31.25%,50
5,4212394363,darksidefan,0,391.5,G Sahith Theegala G Alex Noren G Aaron Rai G Mackenzie Hughes G Joel Dahmen G Joseph Bramlett,,Scottie Scheffler,G,25.00%,107
6,4213541375,JonBuc1,0,389,G Sahith Theegala G Keith Mitchell G Tom Hoge G Thomas Detry G Adam Svensson G Mark Hubbard,,Billy Horschel,G,25.00%,88
7,4211383781,mlewicki,0,376.5,G Scottie Scheffler G Sahith Theegala G Jake Knapp G Taylor Moore G Parker Coody G Tyson Alexander,,Jake Knapp,G,25.00%,22.5
8,4213246430,gapfaff,0,365,G Si Woo Kim G Jason Day G Billy Horschel G Kurt Kitayama G Mackenzie Hughes G Aaron Baddeley,,Si Woo Kim,G,18.75%,73.5
9,4211709801,NPitz14,0,360,G Scottie Scheffler G Will Zalatoris G Jake Knapp G Joseph Bramlett G Bud Cauley G Martin Laird,,Alex Noren,G,18.75%,80
10,4213220192,concord,0,338,G Sahith Theegala G Jason Day G Billy Horschel G Kyoung-Hoon Lee G Joel Dahmen G Mark Hubbard,,Tom Hoge,G,18.75%,78.5
11,4213029991,magic_21,0,334,G Will Zalatoris G Si Woo Kim G Jake Knapp G Ben Griffin G Kyoung-Hoon Lee G Ryan Fox,,Kyoung-Hoon Lee,G,18.75%,65
12,4212590621,chicagoputz,0,331.5,G Jason Day G Alex Noren G Keith Mitchell G Mackenzie Hughes G Kyoung-Hoon Lee G Joseph Bramlett,,Mark Hubbard,G,18.75%,66
13,4213324918,cubyblue,0,321,G Tony Finau G Jason Day G Beau Hossler G Luke List G Daniel Berger G Adam Svensson,,Joseph Bramlett,G,18.75%,60.5
14,4211310032,jabella72,0,316,G Sahith Theegala G Jason Day G Thorbjorn Olesen G Mackenzie Hughes G Mark Hubbard G Sam Ryder,,Keith Mitchell,G,12.50%,27.5
15,4212989074,cmilly-97,0,295,G Scottie Scheffler G Sahith Theegala G Jake Knapp G Carson Young G Stewart Cink G Michael Kim,,Beau Hossler,G,12.50%,56
16,4211333075,ryanhupfer,0,287,G Sahith Theegala G Will Zalatoris G Jason Day G Mackenzie Hughes G Carson Young G Dylan Wu,,Kurt Kitayama,G,12.50%,65.5
,,,,,,,Joel Dahmen,G,12.50%,24.5
,,,,,,,Adam Svensson,G,12.50%,55.5
,,,,,,,Chandler Phillips,G,12.50%,59
,,,,,,,Carson Young,G,12.50%,15
,,,,,,,Tony Finau,G,6.25%,104
,,,,,,,Aaron Rai,G,6.25%,81.5
,,,,,,,Thorbjorn Olesen,G,6.25%,16.5
,,,,,,,Ben Griffin,G,6.25%,66.5
,,,,,,,Taylor Moore,G,6.25%,98
,,,,,,,Akshay Bhatia,G,6.25%,89
,,,,,,,Luke List,G,6.25%,24
,,,,,,,Thomas Detry,G,6.25%,91
,,,,,,,Ryan Fox,G,6.25%,56.5
,,,,,,,Daniel Berger,G,6.25%,57.5
,,,,,,,Sam Ryder,G,6.25%,64.5
,,,,,,,Andrew Novak,G,6.25%,61.5
,,,,,,,Peter Malnati,G,6.25%,68
,,,,,,,Ben Silverman,G,6.25%,63.5
,,,,,,,Aaron Baddeley,G,6.25%,39.5
,,,,,,,Matti Schmid,G,6.25%,76
,,,,,,,Stewart Cink,G,6.25%,25
,,,,,,,Bud Cauley,G,6.25%,55.5
,,,,,,,Dylan Wu,G,6.25%,53
,,,,,,,Michael Kim,G,6.25%,55
,,,,,,,Martin Laird,G,6.25%,64.5
,,,,,,,Nick Dunlap,G,6.25%,94.5
,,,,,,,Parker Coody,G,6.25%,19
,,,,,,,Tyson Alexander,G,6.25%,59.5
