Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3177584750,darksidefan,0,386,G Cameron Smith G Will Zalatoris G Tyrrell Hatton G Russell Henley G Matt Fitzpatrick G Marc Leishman,,Cameron Smith,G,52.38%,97.5
2,3180927120,concord,0,377.5,G Viktor Hovland G Cameron Smith G Shane Lowry G Matt Fitzpatrick G Brian Harman G Christiaan Bezuidenhout,,Justin Thomas,G,38.10%,79.5
3,3178506904,AndyRue5,0,375,G Cameron Smith G Shane Lowry G Joaquin Niemann G Tyrrell Hatton G Corey Conners G Justin Rose,,Matt Fitzpatrick,G,38.10%,56
4,3177968315,hupfdaddy,0,372.5,G Viktor Hovland G Cameron Smith G Joaquin Niemann G Russell Henley G Matt Fitzpatrick G Mackenzie Hughes,,Brooks Koepka,G,38.10%,16.5
5,3177972865,jabella72,0,369.5,G Cameron Smith G Will Zalatoris G Joaquin Niemann G Tyrrell Hatton G Billy Horschel G Marc Leishman,,Russell Henley,G,33.33%,63
6,3176713073,chicagoputz,0,360.5,G Justin Thomas G Patrick Cantlay G Sungjae Im G Tony Finau G Max Homa G Harold Varner III,,Corey Conners,G,23.81%,75
7,3176897885,rhup,0,351.5,G Justin Thomas G Cameron Smith G Webb Simpson G Justin Rose G Billy Horschel G Patrick Reed,,Thomas Pieters,G,19.05%,10
8,3176826208,Syvretzky,0,348.5,G Brooks Koepka G Will Zalatoris G Tony Finau G Russell Henley G Matt Fitzpatrick G Corey Conners,,Joaquin Niemann,G,19.05%,52
9,3176696993,gapfaff,0,333,G Dustin Johnson G Brooks Koepka G Russell Henley G Matt Fitzpatrick G Corey Conners G Robert Macintyre,,Tyrrell Hatton,G,19.05%,40.5
10,3177722500,boyewsky,0,326,G Cameron Smith G Brooks Koepka G Shane Lowry G Matt Fitzpatrick G Marc Leishman G Gary Woodland,,Daniel Berger,G,14.29%,48.5
11,3176690493,American-Dream,0,322,G Justin Thomas G Daniel Berger G Russell Henley G Matt Fitzpatrick G Paul Casey G Corey Conners,,Billy Horschel,G,14.29%,50.5
12,3179627139,cubyblue,0,317,G Justin Thomas G Brooks Koepka G Tyrrell Hatton G Russell Henley G Tommy Fleetwood G Kevin Kisner,,Tony Finau,G,14.29%,55
13,3177458792,arob92,0,279.5,G Justin Thomas G Cameron Smith G Patrick Cantlay G Gary Woodland G Brian Harman G Thomas Pieters,,Max Homa,G,14.29%,39
14,3176775674,garciar15,0,270,G Justin Thomas G Xander Schauffele G Tiger Woods G Tony Finau G Si Woo Kim G Stewart Cink,,Si Woo Kim,G,14.29%,52
15,3176717425,belikemike247,0,268,G Collin Morikawa G Brooks Koepka G Daniel Berger G Matt Fitzpatrick G Si Woo Kim G Thomas Pieters,,Xander Schauffele,G,14.29%,12.5
16,3177510990,jakinnamon1221,0,263.5,G Justin Thomas G Brooks Koepka G Joaquin Niemann G Russell Henley G Max Homa G Luke List,,Will Zalatoris,G,14.29%,83
17,3176711118,Jph315,0,259,G Cameron Smith G Daniel Berger G Louis Oosthuizen G Adam Scott G Billy Horschel G Matthew Wolff,,Justin Rose,G,14.29%,21
18,3179117682,jimm743,0,254,G Cameron Smith G Xander Schauffele G Sam Burns G Sergio Garcia G Max Homa G Gary Woodland,,Gary Woodland,G,14.29%,21
19,3180844343,andcohen2525,0,247.5,G Justin Thomas G Cameron Smith G Jordan Spieth G Francesco Molinari G Thomas Pieters G Zach Johnson,,Marc Leishman,G,14.29%,46
20,3177449846,re_wcb,0,240,G Jordan Spieth G Xander Schauffele G Brooks Koepka G Corey Conners G Robert Macintyre G Sepp Straka,,Shane Lowry,G,14.29%,89
21,3176873809,mlewicki,0,176.5,G Dustin Johnson G Brooks Koepka G Louis Oosthuizen G Justin Rose G Si Woo Kim G Thomas Pieters,,Dustin Johnson,G,9.52%,66.5
,,,,,,,Robert Macintyre,G,9.52%,56
,,,,,,,Louis Oosthuizen,G,9.52%,10.5
,,,,,,,Patrick Cantlay,G,9.52%,44.5
,,,,,,,Jordan Spieth,G,9.52%,21.5
,,,,,,,Brian Harman,G,9.52%,27
,,,,,,,Viktor Hovland,G,9.52%,64.5
,,,,,,,Paul Casey,G,4.76%,0
,,,,,,,Adam Scott,G,4.76%,44.5
,,,,,,,Matthew Wolff,G,4.76%,7.5
,,,,,,,Sungjae Im,G,4.76%,79
,,,,,,,Harold Varner III,G,4.76%,63.5
,,,,,,,Collin Morikawa,G,4.76%,85
,,,,,,,Tiger Woods,G,4.76%,42
,,,,,,,Stewart Cink,G,4.76%,29
,,,,,,,Webb Simpson,G,4.76%,54
,,,,,,,Patrick Reed,G,4.76%,49
,,,,,,,Sepp Straka,G,4.76%,58.5
,,,,,,,Luke List,G,4.76%,13.5
,,,,,,,Mackenzie Hughes,G,4.76%,39.5
,,,,,,,Sam Burns,G,4.76%,22.5
,,,,,,,Sergio Garcia,G,4.76%,61.5
,,,,,,,Tommy Fleetwood,G,4.76%,64.5
,,,,,,,Kevin Kisner,G,4.76%,53
,,,,,,,Francesco Molinari,G,4.76%,20
,,,,,,,Zach Johnson,G,4.76%,19
,,,,,,,Christiaan Bezuidenhout,G,4.76%,43.5
