Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3165519258,concord,0,578.75,G Jon Rahm G Shane Lowry G Abraham Ancer G Max Homa G Kevin Kisner G Sepp Straka,,Max Homa,G,36.36%,61.1
2,3165912345,jakinnamon1221,0,560.5,G Dustin Johnson G Brooks Koepka G Adam Scott G Alex Noren G Webb Simpson G Keith Mitchell,,Tom Hoge,G,27.27%,46
3,3165550478,gapfaff,0,560.19995,G Jon Rahm G Billy Horschel G Max Homa G Talor Gooch G Kevin Kisner G Keegan Bradley,,Justin Thomas,G,22.73%,56.15
4,3164923000,andcohen2525,0,487.45004,G Dustin Johnson G Daniel Berger G Matt Fitzpatrick G Webb Simpson G Justin Rose G Thomas Pieters,,Russell Henley,G,22.73%,39.75
5,3164900617,chicagoputz,0,480.65,G Jon Rahm G Louis Oosthuizen G Billy Horschel G Bubba Watson G Keegan Bradley G Seamus Power,,Alex Noren,G,22.73%,68.55
6,3165644892,arob92,0,477,G Scottie Scheffler G Justin Thomas G Bubba Watson G Si Woo Kim G Keith Mitchell G Tom Hoge,,Jon Rahm,G,22.73%,95.1
7,3165581967,garciar15,0,470.69998,G Justin Thomas G Billy Horschel G Tommy Fleetwood G Abraham Ancer G Max Homa G Harold Varner III,,Xander Schauffele,G,18.18%,63.2
8,3164892880,jabella72,0,460.2,G Patrick Cantlay G Louis Oosthuizen G Joaquin Niemann G Max Homa G Kevin Kisner G Justin Rose,,Adam Scott,G,18.18%,94.45
9,3165269554,cubyblue,0,436.05,G Jon Rahm G Will Zalatoris G Russell Henley G Max Homa G Talor Gooch G Tom Hoge,,Keegan Bradley,G,18.18%,51.25
10,3164882319,mlewicki,0,426.8,G Viktor Hovland G Xander Schauffele G Sergio Garcia G Adam Scott G Keegan Bradley G Kevin Na,,Patrick Cantlay,G,18.18%,55.6
11,3164882677,JonBuc1,0,423.75003,G Patrick Cantlay G Will Zalatoris G Adam Scott G Russell Henley G Max Homa G Patrick Reed,,Matt Fitzpatrick,G,18.18%,65.45
12,3165507450,boyewsky,0,402.19998,G Tyrrell Hatton G Matt Fitzpatrick G Shane Lowry G Adam Scott G Russell Henley G Max Homa,,Talor Gooch,G,18.18%,83.2
13,3164923750,hupfdaddy,0,388.15,G Jon Rahm G Viktor Hovland G Tony Finau G Webb Simpson G Tom Hoge G Mackenzie Hughes,,Daniel Berger,G,18.18%,58.85
14,3164888225,re_wcb,0,384.05,G Daniel Berger G Brooks Koepka G Joaquin Niemann G Alex Noren G Brian Harman G Tom Hoge,,Shane Lowry,G,13.64%,51.5
15,3164882714,belikemike247,0,383.44998,G Justin Thomas G Collin Morikawa G Matt Fitzpatrick G Talor Gooch G Sebastian Munoz G Lucas Herbert,,Thomas Pieters,G,13.64%,68.35
16,3165883882,AndyRue5,0,364.60004,G Xander Schauffele G Brooks Koepka G Joaquin Niemann G Alex Noren G Jason Kokrak G Christiaan Bezuidenhout,,Viktor Hovland,G,13.64%,64.85
17,3164982166,Syvretzky,0,350.69998,G Daniel Berger G Russell Henley G Alex Noren G Brian Harman G Ian Poulter G Mackenzie Hughes,,Brooks Koepka,G,13.64%,119.8
18,3164879211,American-Dream,0,346.30002,G Justin Thomas G Xander Schauffele G Shane Lowry G Max Homa G Thomas Pieters G Tom Hoge,,Joaquin Niemann,G,13.64%,37.35
19,3165142553,rhup,0,340.65,G Collin Morikawa G Viktor Hovland G Xander Schauffele G Tom Hoge G Sebastian Munoz G Lee Westwood,,Brian Harman,G,13.64%,53.5
20,3166053193,darksidefan,0,335.3,G Patrick Cantlay G Jordan Spieth G Matt Fitzpatrick G Russell Henley G Brian Harman G Harold Varner III,,Kevin Kisner,G,13.64%,178.4
21,3165137449,jimm743,0,320.85,G Justin Thomas G Paul Casey G Sergio Garcia G Talor Gooch G Keith Mitchell G Thomas Pieters,,Billy Horschel,G,13.64%,91.15
22,3164936163,Jph315,0,270.25,G Patrick Cantlay G Daniel Berger G Paul Casey G Alex Noren G Keegan Bradley G Matthew Wolff,,Webb Simpson,G,13.64%,52.25
,,,,,,,Keith Mitchell,G,13.64%,49.1
,,,,,,,Sergio Garcia,G,9.09%,62.55
,,,,,,,Will Zalatoris,G,9.09%,110.9
,,,,,,,Collin Morikawa,G,9.09%,68.35
,,,,,,,Sebastian Munoz,G,9.09%,50.5
,,,,,,,Louis Oosthuizen,G,9.09%,61.55
,,,,,,,Justin Rose,G,9.09%,66.2
,,,,,,,Bubba Watson,G,9.09%,52
,,,,,,,Dustin Johnson,G,9.09%,176.35
