Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5156011607,snyde167,0,509,G Ludvig Aberg G Si Woo Kim G Tommy Fleetwood G Wyndham Clark G Alex Noren G Kristoffer Reitan,,Matt Fitzpatrick,G,39.13%,43
2,5157394437,JonBuc1,0,447,G Scottie Scheffler G Si Woo Kim G Keegan Bradley G Ryan Gerard G Eric Cole G Matthew McCarty,,Si Woo Kim,G,34.78%,78
3,5155606555,American-Dream,0,441,G Matt Fitzpatrick G Si Woo Kim G Patrick Cantlay G Justin Thomas G Eric Cole G Alex Fitzpatrick,,Scottie Scheffler,G,30.43%,74.5
4,5156240547,holth,0,423,G Matt Fitzpatrick G Si Woo Kim G Patrick Cantlay G Shane Lowry G Gary Woodland G Eric Cole,,Justin Thomas,G,30.43%,70.5
5,5155597755,Jph315,0,409.5,G Scottie Scheffler G Chris Gotterup G Adam Scott G Corey Conners G Kristoffer Reitan G Nicolas Echavarria,,Alex Smalley,G,26.09%,8
6,5157475819,hupfdaddy,0,408,G Scottie Scheffler G Ludvig Aberg G Kristoffer Reitan G Alex Fitzpatrick G Tony Finau G Billy Horschel,,Jason Day,G,26.09%,20
7,5156284401,Gm0ney720,0,406,G Ludvig Aberg G Matt Fitzpatrick G Justin Thomas G Sepp Straka G Gary Woodland G Ryan Gerard,,Nick Taylor,G,26.09%,54.5
8,5156459785,Lumberjac,0,404,G Cameron Young G Matt Fitzpatrick G Si Woo Kim G Kristoffer Reitan G Nick Taylor G Alex Fitzpatrick,,Ludvig Aberg,G,21.74%,64
9,5156292092,chicagoputz,0,368.5,G Scottie Scheffler G Harris English G Aaron Rai G Akshay Bhatia G Nick Taylor G Alex Fitzpatrick,,Hideki Matsuyama,G,21.74%,55
10,5156680794,aceshigh1973,0,366,G Tommy Fleetwood G Hideki Matsuyama G Justin Thomas G Chris Gotterup G Alex Smalley G Gary Woodland,,Jordan Spieth,G,21.74%,17.5
11,5155608132,VOODOG23,0,365,G Scottie Scheffler G Hideki Matsuyama G Maverick McNealy G Nick Taylor G Taylor Pendrith G Tom Hoge,,Alex Fitzpatrick,G,21.74%,87.5
12,5155634071,cairnssj,0,351,G Xander Schauffele G Russell Henley G Justin Thomas G Jordan Spieth G Sepp Straka G Alex Fitzpatrick,,Patrick Cantlay,G,17.39%,77
13,5157819837,darksidefan,0,350.5,G Ludvig Aberg G Justin Thomas G Maverick McNealy G Chris Gotterup G Alex Smalley G Nick Taylor,,Chris Gotterup,G,17.39%,72.5
14,5155903797,brotherjonas,0,326,G Cameron Young G Sam Burns G Hideki Matsuyama G Jason Day G Akshay Bhatia G Wyndham Clark,,Kristoffer Reitan,G,17.39%,96.5
15,5157736141,Knock0ut12,0,313,G Cameron Young G Tommy Fleetwood G Chris Gotterup G Jordan Spieth G Jason Day G Sahith Theegala,,Eric Cole,G,17.39%,85
16,5157330931,NPitz14,0,311.5,G Matt Fitzpatrick G Si Woo Kim G Justin Thomas G Alex Smalley G Kurt Kitayama G Nick Taylor,,Cameron Young,G,13.04%,44.5
17,5155709915,jabella72,0,309,G Matt Fitzpatrick G Si Woo Kim G Adam Scott G Nicolai Hojgaard G Shane Lowry G Jason Day,,Tommy Fleetwood,G,13.04%,93
18,5156271480,gapfaff,0,302.5,G Si Woo Kim G Hideki Matsuyama G Justin Thomas G Alex Smalley G Harris English G Jason Day,,Adam Scott,G,13.04%,76.5
19,5157628668,concord,0,301.5,G Xander Schauffele G Matt Fitzpatrick G Ben Griffin G Jordan Spieth G Ryan Gerard G Bud Cauley,,Sepp Straka,G,13.04%,51.5
20,5157787447,boyewsky,0,296,G Ludvig Aberg G Matt Fitzpatrick G Patrick Cantlay G Alex Smalley G Nick Taylor G Michael Kim,,Akshay Bhatia,G,13.04%,14
21,5156015702,cmilly-97,0,288,G Scottie Scheffler G Hideki Matsuyama G Justin Rose G Akshay Bhatia G Matthew McCarty G Michael Kim,,Gary Woodland,G,13.04%,67
22,5157666789,ryanhupfer,0,285.5,G Matt Fitzpatrick G Patrick Cantlay G Adam Scott G Jordan Spieth G Sepp Straka G Jason Day,,Ryan Gerard,G,13.04%,110
23,5156231520,cubyblue,0,257,G Scottie Scheffler G Alex Smalley G Jordan Spieth G Jason Day G Eric Cole G Nicolas Echavarria,,Xander Schauffele,G,8.70%,56
,,,,,,,Maverick McNealy,G,8.70%,81
,,,,,,,Harris English,G,8.70%,71
,,,,,,,Shane Lowry,G,8.70%,73
,,,,,,,Wyndham Clark,G,8.70%,102
,,,,,,,Matthew McCarty,G,8.70%,22
,,,,,,,Michael Kim,G,8.70%,49.5
,,,,,,,Nicolas Echavarria,G,8.70%,52
,,,,,,,Russell Henley,G,4.35%,68
,,,,,,,Ben Griffin,G,4.35%,14
,,,,,,,Sam Burns,G,4.35%,90.5
,,,,,,,Kurt Kitayama,G,4.35%,57.5
,,,,,,,Justin Rose,G,4.35%,73
,,,,,,,Nicolai Hojgaard,G,4.35%,18.5
,,,,,,,Aaron Rai,G,4.35%,67
,,,,,,,Alex Noren,G,4.35%,75.5
,,,,,,,Corey Conners,G,4.35%,37.5
,,,,,,,Sahith Theegala,G,4.35%,65.5
,,,,,,,Keegan Bradley,G,4.35%,77.5
,,,,,,,Tony Finau,G,4.35%,64
,,,,,,,Bud Cauley,G,4.35%,61
,,,,,,,Taylor Pendrith,G,4.35%,52.5
,,,,,,,Tom Hoge,G,4.35%,47.5
,,,,,,,Billy Horschel,G,4.35%,21.5
