Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3854660077,American-Dream,0,533.5,G Rickie Fowler G Tommy Fleetwood G Max Homa G Brian Harman G Lucas Glover G Eric Cole,,Max Homa,G,43.75%,101.5
2,3856293158,boyewsky,0,530.5,G Rory McIlroy G Matt Fitzpatrick G Brian Harman G Russell Henley G Lucas Glover G Andrew Putnam,,Rickie Fowler,G,25.00%,61
3,3854672931,chicagoputz,0,500,G Patrick Cantlay G Rickie Fowler G Max Homa G Corey Conners G Byeong Hun An G Alex Smalley,,Tommy Fleetwood,G,25.00%,109
3,3856027459,jimm743,0,500,G Rory McIlroy G Viktor Hovland G Sahith Theegala G Emiliano Grillo G Keith Mitchell G Patrick Rodgers,,Collin Morikawa,G,25.00%,80
5,3856333633,concord,0,495,G Tommy Fleetwood G Max Homa G Matt Fitzpatrick G Russell Henley G Keegan Bradley G Sepp Straka,,Tom Kim,G,25.00%,72.5
6,3855172448,mlewicki,0,489,G Rickie Fowler G Collin Morikawa G Max Homa G Sungjae Im G Sahith Theegala G Thomas Detry,,Wyndham Clark,G,25.00%,58.5
6,3856383671,darksidefan,0,489,G Tommy Fleetwood G Collin Morikawa G Wyndham Clark G Sam Burns G Russell Henley G Byeong Hun An,,Scottie Scheffler,G,18.75%,75
8,3855266925,Jph315,0,473,G Jon Rahm G Max Homa G Wyndham Clark G Sungjae Im G Eric Cole G Adam Svensson,,Jon Rahm,G,18.75%,75.5
9,3854826393,ryanhupfer,0,465.5,G Viktor Hovland G Rickie Fowler G Sungjae Im G Tom Kim G J.T. Poston G Keith Mitchell,,J.T. Poston,G,18.75%,76
10,3854714224,AirMOC,0,461,G Jon Rahm G Collin Morikawa G Hideki Matsuyama G Tom Kim G J.T. Poston G Andrew Putnam,,Andrew Putnam,G,18.75%,68
11,3855291838,cmilly-97,0,451,G Jon Rahm G Max Homa G Cameron Young G Sepp Straka G J.T. Poston G Thomas Detry,,Sungjae Im,G,18.75%,95
12,3854849389,garciar15,0,447,G Xander Schauffele G Tyrrell Hatton G Tommy Fleetwood G Denny McCarthy G Thomas Detry G Adam Svensson,,Thomas Detry,G,18.75%,72
13,3854977777,gapfaff,0,444.5,G Patrick Cantlay G Jason Day G Max Homa G Wyndham Clark G Denny McCarthy G Andrew Putnam,,Sahith Theegala,G,18.75%,79.5
14,3855173027,JonBuc1,0,435.5,G Scottie Scheffler G Tom Kim G Keegan Bradley G Sepp Straka G Sahith Theegala G Emiliano Grillo,,Sepp Straka,G,18.75%,60.5
15,3854703124,jabella72,0,419.5,G Scottie Scheffler G Collin Morikawa G Cameron Young G Si Woo Kim G Vincent Norrman G Matt Kuchar,,Russell Henley,G,18.75%,101.5
16,3855480146,magic_21,0,392.5,G Scottie Scheffler G Tony Finau G Wyndham Clark G Tom Kim G Matt Kuchar G Tom Hoge,,Brian Harman,G,12.50%,69.5
,,,,,,,Lucas Glover,G,12.50%,118.5
,,,,,,,Eric Cole,G,12.50%,74
,,,,,,,Patrick Cantlay,G,12.50%,109
,,,,,,,Byeong Hun An,G,12.50%,72.5
,,,,,,,Cameron Young,G,12.50%,65.5
,,,,,,,Matt Kuchar,G,12.50%,56
,,,,,,,Viktor Hovland,G,12.50%,94.5
,,,,,,,Keith Mitchell,G,12.50%,66.5
,,,,,,,Denny McCarthy,G,12.50%,51.5
,,,,,,,Adam Svensson,G,12.50%,68.5
,,,,,,,Keegan Bradley,G,12.50%,67
,,,,,,,Emiliano Grillo,G,12.50%,81
,,,,,,,Rory McIlroy,G,12.50%,117.5
,,,,,,,Matt Fitzpatrick,G,12.50%,55.5
,,,,,,,Corey Conners,G,6.25%,102
,,,,,,,Alex Smalley,G,6.25%,54
,,,,,,,Si Woo Kim,G,6.25%,78
,,,,,,,Vincent Norrman,G,6.25%,65
,,,,,,,Hideki Matsuyama,G,6.25%,89
,,,,,,,Xander Schauffele,G,6.25%,76
,,,,,,,Tyrrell Hatton,G,6.25%,70
,,,,,,,Jason Day,G,6.25%,56
,,,,,,,Tony Finau,G,6.25%,55.5
,,,,,,,Tom Hoge,G,6.25%,75
,,,,,,,Patrick Rodgers,G,6.25%,61
,,,,,,,Sam Burns,G,6.25%,67.5
