Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4357431193,boyewsky,0,596.5,G Sungjae Im G Aaron Rai G Kurt Kitayama G Eric Cole G Max Greyserman G Ben Griffin,,Cameron Young,G,56.25%,92
2,4358718257,cubyblue,0,541,G Cameron Young G Davis Thompson G Cameron Davis G Eric Cole G Adam Svensson G Austin Eckroat,,Akshay Bhatia,G,43.75%,30.5
3,4359869612,jabella72,0,539.5,G Cameron Young G Cameron Davis G Christiaan Bezuidenhout G Maverick McNealy G Ben Griffin G Patrick Fishburn,,Aaron Rai,G,31.25%,133
4,4358638987,cmilly-97,0,527,G Sungjae Im G Billy Horschel G Nick Dunlap G Patrick Rodgers G Ben Griffin G Ben Silverman,,J.T. Poston,G,31.25%,27.5
5,4357376314,concord,0,520,G Si Woo Kim G Cameron Young G Luke Clanton G Sam Stevens G Michael Thorbjornsen G Chan Kim,,Sungjae Im,G,25.00%,75.5
6,4357421834,American-Dream,0,515,G Cameron Young G Davis Thompson G Cameron Davis G Aaron Rai G Mark Hubbard G Stewart Cink,,Cameron Davis,G,25.00%,30
7,4359662315,JonBuc1,0,506.5,G Sungjae Im G Davis Thompson G Cameron Davis G Andrew Novak G Brendon Todd G Andrew Putnam,,Nicolai Hojgaard,G,25.00%,36
8,4358724057,chicagoputz,0,497,G Cameron Young G Akshay Bhatia G Nicolai Hojgaard G J.T. Poston G Eric Cole G Patrick Rodgers,,Erik Van Rooyen,G,25.00%,25
9,4357375854,magic_21,0,494.5,G Cameron Young G Thomas Detry G Nicolai Hojgaard G Jhonattan Vegas G J.T. Poston G Eric Cole,,Eric Cole,G,25.00%,103
10,4359598789,mlewicki,0,494.5,G Cameron Young G Akshay Bhatia G Aaron Rai G Thomas Detry G Will Zalatoris G Henrik Norlander,,Will Zalatoris,G,25.00%,25.5
11,4358027398,Jph315,0,491,G Cameron Young G Jordan Spieth G Akshay Bhatia G Patrick Rodgers G Sam Stevens G Emiliano Grillo,,Davis Thompson,G,18.75%,77
12,4357698405,gapfaff,0,491,G Akshay Bhatia G Aaron Rai G Nicolai Hojgaard G Maverick McNealy G J.T. Poston G Stephan Jaeger,,Patrick Rodgers,G,18.75%,75
13,4357745924,darksidefan,0,480,G Cameron Young G Jordan Spieth G Erik Van Rooyen G Justin Rose G Will Zalatoris G Matt Kuchar,,Jordan Spieth,G,12.50%,34.5
14,4357660982,NPitz14,0,477.5,G Sungjae Im G Akshay Bhatia G J.T. Poston G Erik Van Rooyen G Will Zalatoris G Beau Hossler,,Christiaan Bezuidenhout,G,12.50%,85.5
15,4360023360,ryanhupfer,0,448.5,G Shane Lowry G Akshay Bhatia G Nicolai Hojgaard G Erik Van Rooyen G Nick Dunlap G Austin Eckroat,,Thomas Detry,G,12.50%,27.5
16,4357503476,jimm743,0,412,G Akshay Bhatia G Aaron Rai G Christiaan Bezuidenhout G J.T. Poston G Erik Van Rooyen G Will Zalatoris,,Ben Griffin,G,18.75%,98.5
,,,,,,,Maverick McNealy,G,12.50%,75.5
,,,,,,,Nick Dunlap,G,12.50%,30.5
,,,,,,,Sam Stevens,G,12.50%,38.5
,,,,,,,Austin Eckroat,G,12.50%,96.5
,,,,,,,Shane Lowry,G,6.25%,27.5
,,,,,,,Billy Horschel,G,6.25%,90.5
,,,,,,,Si Woo Kim,G,6.25%,25.5
,,,,,,,Luke Clanton,G,6.25%,114.5
,,,,,,,Jhonattan Vegas,G,6.25%,67
,,,,,,,Kurt Kitayama,G,6.25%,33
,,,,,,,Justin Rose,G,6.25%,35.5
,,,,,,,Max Greyserman,G,6.25%,132.5
,,,,,,,Stephan Jaeger,G,6.25%,25.5
,,,,,,,Adam Svensson,G,6.25%,101.5
,,,,,,,Matt Kuchar,G,6.25%,91
,,,,,,,Michael Thorbjornsen,G,6.25%,26.5
,,,,,,,Patrick Fishburn,G,6.25%,33.5
,,,,,,,Andrew Novak,G,6.25%,62.5
,,,,,,,Mark Hubbard,G,6.25%,32
,,,,,,,Brendon Todd,G,6.25%,86.5
,,,,,,,Emiliano Grillo,G,6.25%,71.5
,,,,,,,Andrew Putnam,G,6.25%,33
,,,,,,,Chan Kim,G,6.25%,96.5
,,,,,,,Beau Hossler,G,6.25%,88.5
,,,,,,,Ben Silverman,G,6.25%,40
,,,,,,,Stewart Cink,G,6.25%,15.5
,,,,,,,Henrik Norlander,G,6.25%,34.5
