Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4781607142,darksidefan,0,496.5,G Rory McIlroy G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Aaron Rai G Harry Hall,,Jon Rahm,G,42.86%,62
2,4782569071,boyewsky,0,494,G Rory McIlroy G Xander Schauffele G Viktor Hovland G Jordan Spieth G Harry Hall G Harris English,,Xander Schauffele,G,38.10%,93
3,4780980077,jabella72,0,478,G Rory McIlroy G Tyrrell Hatton G Russell Henley G Matt Fitzpatrick G Sepp Straka G Harry Hall,,Viktor Hovland,G,33.33%,61
4,4781271745,aceshigh1973,0,467.5,G Scottie Scheffler G Russell Henley G Justin Rose G Jason Day G Keegan Bradley G Harry Hall,,Russell Henley,G,33.33%,83
5,4781726702,JonBuc1,0,447.5,G Jon Rahm G Bryson DeChambeau G Ludvig Aberg G Sepp Straka G Wyndham Clark G Christiaan Bezuidenhout,,Rory McIlroy,G,28.57%,89
6,4780417170,NPitz14,0,439.5,G Jon Rahm G Xander Schauffele G Viktor Hovland G Matt Fitzpatrick G Adam Scott G Harris English,,Tyrrell Hatton,G,28.57%,71.5
7,4781737053,cmilly-97,0,439,G Scottie Scheffler G Tyrrell Hatton G Viktor Hovland G Maverick McNealy G Nick Taylor G Nicolai Hojgaard,,Sepp Straka,G,28.57%,49.5
8,4780322583,snyde167,0,438.5,G Scottie Scheffler G Ludvig Aberg G Sam Burns G Keegan Bradley G Marco Penge G Nicolai Hojgaard,,Harry Hall,G,28.57%,81
9,4780895705,jimm743,0,418.5,G Bryson DeChambeau G Xander Schauffele G Shane Lowry G Russell Henley G Keegan Bradley G Denny McCarthy,,Ryan Fox,G,19.05%,27.5
10,4780357885,VOODOG23,0,414,G Rory McIlroy G Tommy Fleetwood G Shane Lowry G Ryan Fox G Harris English G Andrew Novak,,Keegan Bradley,G,19.05%,68
11,4781084838,Knock0ut12,0,409.5,G Rory McIlroy G Tyrrell Hatton G Russell Henley G Jordan Spieth G Sepp Straka G Andrew Novak,,Ludvig Aberg,G,19.05%,81.5
12,4780718178,Jph315,0,396,G Tommy Fleetwood G Shane Lowry G Ludvig Aberg G Tyrrell Hatton G Cameron Smith G Harry Hall,,Tommy Fleetwood,G,19.05%,80.5
13,4780597821,Lumberjac,0,384.5,G Jon Rahm G Xander Schauffele G Tyrrell Hatton G Sepp Straka G Ryan Fox G Harry Hall,,Shane Lowry,G,19.05%,64.5
14,4782014900,ryanhupfer,0,381,G Rory McIlroy G Shane Lowry G Viktor Hovland G Sepp Straka G Cameron Smith G Wyndham Clark,,Matt Fitzpatrick,G,19.05%,104
15,4780294343,chicagoputz,0,378.5,G Jon Rahm G Xander Schauffele G Ludvig Aberg G Jason Day G Min Woo Lee G Wyndham Clark,,Wyndham Clark,G,14.29%,100
16,4782432470,concord,0,377.5,G Jon Rahm G Xander Schauffele G Tyrrell Hatton G Matt Fitzpatrick G Marco Penge G Nicolas Echavarria,,Scottie Scheffler,G,14.29%,130
17,4780279563,American-Dream,0,376,G Jon Rahm G Robert Macintyre G Justin Thomas G Viktor Hovland G Ryan Fox G Keegan Bradley,,Harris English,G,14.29%,103
18,4781768972,magic_21,0,370,G Jon Rahm G Robert Macintyre G Collin Morikawa G Viktor Hovland G Justin Rose G Romain Langasque,,Collin Morikawa,G,14.29%,17.5
19,4781567015,andcohen2525,0,356,G Xander Schauffele G Tommy Fleetwood G Joaquin Niemann G Russell Henley G Sepp Straka G Ben Griffin,,Jordan Spieth,G,14.29%,67
20,4782270111,cubyblue,0,350,G Jon Rahm G Collin Morikawa G Justin Thomas G Viktor Hovland G Jordan Spieth G Dustin Johnson,,Robert Macintyre,G,9.52%,87
21,4780973415,gapfaff,0,299.5,G Jon Rahm G Xander Schauffele G Collin Morikawa G Russell Henley G Ryan Fox G Tom Hoge,,Justin Thomas,G,9.52%,70.5
,,,,,,,Jason Day,G,9.52%,24
,,,,,,,Marco Penge,G,9.52%,22
,,,,,,,Nicolai Hojgaard,G,9.52%,79.5
,,,,,,,Andrew Novak,G,9.52%,49.5
,,,,,,,Cameron Smith,G,9.52%,17
,,,,,,,Bryson DeChambeau,G,9.52%,87.5
,,,,,,,Justin Rose,G,9.52%,81.5
,,,,,,,Min Woo Lee,G,4.76%,18
,,,,,,,Sam Burns,G,4.76%,57.5
,,,,,,,Adam Scott,G,4.76%,16.5
,,,,,,,Denny McCarthy,G,4.76%,22.5
,,,,,,,Tom Hoge,G,4.76%,16.5
,,,,,,,Joaquin Niemann,G,4.76%,25.5
,,,,,,,Ben Griffin,G,4.76%,24.5
,,,,,,,Aaron Rai,G,4.76%,59
,,,,,,,Christiaan Bezuidenhout,G,4.76%,67
,,,,,,,Maverick McNealy,G,4.76%,72.5
,,,,,,,Nick Taylor,G,4.76%,24.5
,,,,,,,Romain Langasque,G,4.76%,61
,,,,,,,Dustin Johnson,G,4.76%,72
,,,,,,,Nicolas Echavarria,G,4.76%,25
