Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4158254595,Lumberjac,0,651,G Justin Thomas G Tommy Fleetwood G Matt Fitzpatrick G Nicolai Hojgaard G Beau Hossler G Keegan Bradley,,Viktor Hovland,G,50.00%,49.5
2,4156934299,JonBuc1,0,639,G Jordan Spieth G Ludvig Aberg G Matt Fitzpatrick G Tom Kim G Sahith Theegala G Denny McCarthy,,Justin Thomas,G,38.89%,82
3,4158287580,cubyblue,0,625.5,G Xander Schauffele G Justin Thomas G Tony Finau G Justin Rose G Eric Cole G Cameron Davis,,Jordan Spieth,G,38.89%,54.5
4,4156729856,Gm0ney720,0,623.5,G Viktor Hovland G Tommy Fleetwood G Matt Fitzpatrick G Keegan Bradley G Adam Scott G Justin Rose,,Nicolai Hojgaard,G,38.89%,64
5,4158561788,darksidefan,0,599,G Scottie Scheffler G Viktor Hovland G Tommy Fleetwood G Sepp Straka G Thomas Detry G Matt Kuchar,,Tommy Fleetwood,G,33.33%,58
6,4156969864,cairnssj,0,594,G Viktor Hovland G Xander Schauffele G Justin Thomas G Justin Rose G Luke List G Maverick McNealy,,Max Homa,G,27.78%,42.5
7,4156957469,brotherjonas,0,590,G Justin Thomas G Jordan Spieth G Max Homa G Nicolai Hojgaard G Keith Mitchell G Thomas Detry,,Ludvig Aberg,G,22.22%,101
8,4156295642,cmilly-97,0,588.5,G Justin Thomas G Ludvig Aberg G Tommy Fleetwood G Nicolai Hojgaard G Russell Henley G Patrick Rodgers,,Matt Fitzpatrick,G,22.22%,62.5
9,4156392722,boyewsky,0,581,G Max Homa G Ludvig Aberg G Matt Fitzpatrick G Nicolai Hojgaard G J.T. Poston G Brian Harman,,J.T. Poston,G,22.22%,65
10,4157291012,snyde167,0,576.5,G Viktor Hovland G Justin Thomas G Nicolai Hojgaard G Byeong Hun An G J.T. Poston G Matt Kuchar,,Beau Hossler,G,22.22%,71.5
11,4157345349,NPitz14,0,574.5,G Xander Schauffele G Jordan Spieth G Nicolai Hojgaard G J.T. Poston G Beau Hossler G Taylor Montgomery,,Xander Schauffele,G,16.67%,55
12,4156894694,VOODOG23,0,566.5,G Viktor Hovland G Ludvig Aberg G Nicolai Hojgaard G Byeong Hun An G Brian Harman G Harris English,,Byeong Hun An,G,16.67%,57.5
13,4156591241,American-Dream,0,559.5,G Viktor Hovland G Jordan Spieth G Sahith Theegala G Adam Scott G Chris Kirk G Rickie Fowler,,Sahith Theegala,G,16.67%,66.5
14,4156268691,holth,0,556.5,G Viktor Hovland G Jordan Spieth G Byeong Hun An G J.T. Poston G Eric Cole G Nick Taylor,,Justin Rose,G,16.67%,72.5
15,4156335935,Jph315,0,554,G Rory McIlroy G Justin Thomas G Jordan Spieth G Adam Svensson G Grayson Murray G Ben Griffin,,Nick Taylor,G,16.67%,48
16,4158425395,hupfdaddy,0,547,G Viktor Hovland G Jordan Spieth G Max Homa G Beau Hossler G Nick Taylor G Maverick McNealy,,Tony Finau,G,11.11%,56.5
17,4158334290,gapfaff,0,517.5,G Max Homa G Tony Finau G Tommy Fleetwood G Sahith Theegala G Russell Henley G Corey Conners,,Russell Henley,G,11.11%,45
18,4158448256,ryanhupfer,0,505.5,G Viktor Hovland G Max Homa G Tommy Fleetwood G Beau Hossler G Nick Taylor G Brendon Todd,,Keegan Bradley,G,11.11%,76
