Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3232214150,AndyRue5,0,384,G Viktor Hovland G Joaquin Niemann G Tyrrell Hatton G Max Homa G Abraham Ancer G Tommy Fleetwood,,Cameron Smith,G,47.62%,68
2,3230010903,jimm743,0,358,G Cameron Smith G Jordan Spieth G Joaquin Niemann G Max Homa G Talor Gooch G Keith Mitchell,,Joaquin Niemann,G,38.10%,61
3,3231095990,boyewsky,0,352,G Cameron Smith G Hideki Matsuyama G Shane Lowry G Matt Fitzpatrick G Tommy Fleetwood G Robert Macintyre,,Jordan Spieth,G,33.33%,51
4,3228916507,Jph315,0,347.5,G Jon Rahm G Xander Schauffele G Joaquin Niemann G Tommy Fleetwood G Rickie Fowler G Troy Merritt,,Max Homa,G,28.57%,65
5,3229171102,gapfaff,0,346.5,G Cameron Smith G Jordan Spieth G Hideki Matsuyama G Cameron Young G Erik Van Rooyen G Mito Pereira,,Hideki Matsuyama,G,28.57%,42.5
6,3231440661,hupfdaddy,0,345,G Viktor Hovland G Cameron Smith G Shane Lowry G Matt Fitzpatrick G Alex Noren G Mito Pereira,,Shane Lowry,G,19.05%,53.5
7,3229860553,JonBuc1,0,343,G Scottie Scheffler G Tyrrell Hatton G Matt Fitzpatrick G Cameron Young G Jason Day G Gary Woodland,,Corey Conners,G,19.05%,11.5
8,3229500493,jakinnamon1221,0,333,G Rory McIlroy G Cameron Smith G Hideki Matsuyama G Joaquin Niemann G Lanto Griffin G Adam Hadwin,,Jason Day,G,19.05%,40
9,3229464148,garciar15,0,324,G Cameron Smith G Xander Schauffele G Tiger Woods G Tony Finau G Abraham Ancer G Rickie Fowler,,Xander Schauffele,G,19.05%,58.5
10,3232328640,rhup,0,310,G Rory McIlroy G Viktor Hovland G Cameron Smith G Jason Kokrak G Sebastian Munoz G Adam Hadwin,,Tommy Fleetwood,G,19.05%,83
11,3230989056,arob92,0,298.5,G Jordan Spieth G Hideki Matsuyama G Joaquin Niemann G Corey Conners G Tommy Fleetwood G Harold Varner III,,Viktor Hovland,G,19.05%,44
12,3228859753,re_wcb,0,292,G Scottie Scheffler G Cameron Smith G Corey Conners G Jason Kokrak G Kevin Na G Mito Pereira,,Matt Fitzpatrick,G,19.05%,74
13,3228834325,American-Dream,0,285,G Justin Thomas G Shane Lowry G Max Homa G Corey Conners G Jason Day G Alex Noren,,Alex Noren,G,14.29%,20
14,3229390960,darksidefan,0,284,G Cameron Smith G Jordan Spieth G Tiger Woods G Max Homa G Tony Finau G Anirban Lahiri,,Scottie Scheffler,G,14.29%,22.5
15,3229481725,chicagoputz,0,276,G Xander Schauffele G Patrick Cantlay G Shane Lowry G Matt Fitzpatrick G Keegan Bradley G Jason Day,,Mito Pereira,G,14.29%,85.5
16,3229635725,jabella72,0,270.5,G Scottie Scheffler G Jordan Spieth G Joaquin Niemann G Francesco Molinari G Keith Mitchell G Charl Schwartzel,,Patrick Cantlay,G,14.29%,10
17,3229453633,mlewicki,0,248.5,G Jordan Spieth G Hideki Matsuyama G Patrick Cantlay G Jason Day G Billy Horschel G Seamus Power,,Robert Macintyre,G,14.29%,31
18,3231711962,concord,0,239.5,G Jon Rahm G Brooks Koepka G Max Homa G Keegan Bradley G Robert Macintyre G Cameron Champ,,Jason Kokrak,G,9.52%,47.5
19,3229548844,andcohen2525,0,236.5,G Jordan Spieth G Xander Schauffele G Daniel Berger G Joaquin Niemann G Thomas Pieters G Cameron Champ,,Jon Rahm,G,9.52%,45
20,3232329144,Syvretzky,0,221,G Hideki Matsuyama G Patrick Cantlay G Joaquin Niemann G Max Homa G Corey Conners G Robert Macintyre,,Rickie Fowler,G,9.52%,51.5
21,3229083273,belikemike247,0,209,G Collin Morikawa G Viktor Hovland G Cameron Smith G Alex Noren G Anirban Lahiri G J.J. Spaun,,Anirban Lahiri,G,9.52%,17
,,,,,,,Cameron Young,G,9.52%,86.5
,,,,,,,Tiger Woods,G,9.52%,29
,,,,,,,Tony Finau,G,9.52%,54
,,,,,,,Abraham Ancer,G,9.52%,63
,,,,,,,Keegan Bradley,G,9.52%,40
,,,,,,,Rory McIlroy,G,9.52%,79
,,,,,,,Adam Hadwin,G,9.52%,35.5
,,,,,,,Cameron Champ,G,9.52%,13.5
,,,,,,,Keith Mitchell,G,9.52%,55
,,,,,,,Tyrrell Hatton,G,9.52%,68
,,,,,,,Justin Thomas,G,4.76%,95
,,,,,,,Kevin Na,G,4.76%,57
,,,,,,,Troy Merritt,G,4.76%,48.5
,,,,,,,Collin Morikawa,G,4.76%,45.5
,,,,,,,J.J. Spaun,G,4.76%,14.5
,,,,,,,Erik Van Rooyen,G,4.76%,13
,,,,,,,Billy Horschel,G,4.76%,41.5
,,,,,,,Seamus Power,G,4.76%,63.5
,,,,,,,Lanto Griffin,G,4.76%,47
,,,,,,,Daniel Berger,G,4.76%,7.5
,,,,,,,Thomas Pieters,G,4.76%,45
,,,,,,,Francesco Molinari,G,4.76%,40
,,,,,,,Charl Schwartzel,G,4.76%,41
,,,,,,,Gary Woodland,G,4.76%,52
,,,,,,,Talor Gooch,G,4.76%,58
,,,,,,,Harold Varner III,G,4.76%,49.5
,,,,,,,Brooks Koepka,G,4.76%,45
,,,,,,,Sebastian Munoz,G,4.76%,36
