Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3685401903,boyewsky,0,538.5,G Max Homa G Patrick Cantlay G Tyrrell Hatton G Jason Day G Rickie Fowler G Justin Suh,,Jason Day,G,60.00%,77
2,3684480161,JonBuc1,0,513,G Scottie Scheffler G Tony Finau G Chris Kirk G Rickie Fowler G Tom Hoge G Keith Mitchell,,Max Homa,G,40.00%,89
3,3682422508,andcohen2525,0,484.5,G Max Homa G Viktor Hovland G Tyrrell Hatton G Jason Day G Keegan Bradley G Keith Mitchell,,Justin Thomas,G,35.00%,64
4,3682767669,cmilly-97,0,483,G Scottie Scheffler G Viktor Hovland G Tyrrell Hatton G Tom Kim G Sahith Theegala G Davis Riley,,Rickie Fowler,G,35.00%,81
5,3685505505,hupfdaddy,0,459.5,G Xander Schauffele G Sungjae Im G Viktor Hovland G Jason Day G Denny McCarthy G Webb Simpson,,Tyrrell Hatton,G,30.00%,107
6,3682159912,mlewicki,0,452,G Xander Schauffele G Collin Morikawa G Viktor Hovland G Si Woo Kim G Russell Henley G Robby Shelton,,Keegan Bradley,G,30.00%,29
7,3685042564,darksidefan,0,445,G Max Homa G Sungjae Im G Cameron Young G Jason Day G Keegan Bradley G Adam Hadwin,,Sahith Theegala,G,30.00%,53
8,3684538314,garciar15,0,444.5,G Max Homa G Will Zalatoris G Shane Lowry G Jason Day G Rickie Fowler G Keith Mitchell,,Viktor Hovland,G,30.00%,105
9,3682131993,gapfaff,0,444,G Scottie Scheffler G Viktor Hovland G Jason Day G Keegan Bradley G Rickie Fowler G Corey Conners,,Will Zalatoris,G,25.00%,45
10,3684382066,cubyblue,0,431,G Justin Thomas G Viktor Hovland G Jordan Spieth G Sam Burns G Billy Horschel G Rickie Fowler,,Keith Mitchell,G,25.00%,77.5
11,3682929988,chicagoputz,0,426,G Patrick Cantlay G Justin Thomas G Jason Day G Tommy Fleetwood G Keegan Bradley G Keith Mitchell,,Scottie Scheffler,G,20.00%,129.5
12,3681362148,AirMOC,0,418,G Scottie Scheffler G Will Zalatoris G Tyrrell Hatton G Jason Day G Keegan Bradley G Davis Riley,,Xander Schauffele,G,15.00%,88.5
13,3681321013,American-Dream,0,410,G Collin Morikawa G Justin Thomas G Tyrrell Hatton G Jason Day G Adam Scott G Harris English,,Corey Conners,G,15.00%,22.5
14,3682473032,jabella72,0,376,G Rory McIlroy G Justin Thomas G Sahith Theegala G Rickie Fowler G Keith Mitchell G Adam Hadwin,,Rory McIlroy,G,15.00%,21.5
15,3681316690,Jph315,0,356,G Xander Schauffele G Max Homa G Justin Thomas G Seamus Power G Byeong Hun An G Robby Shelton,,Chris Kirk,G,15.00%,22
16,3681422643,belikemike247,0,354.5,G Max Homa G Will Zalatoris G Jordan Spieth G Matt Fitzpatrick G Sahith Theegala G Nate Lashley,,Robby Shelton,G,10.00%,21.5
17,3683277783,jimm743,0,338.5,G Max Homa G Will Zalatoris G Tyrrell Hatton G Chris Kirk G Sahith Theegala G Corey Conners,,Collin Morikawa,G,10.00%,83
18,3682659137,ryanhupfer,0,316.5,G Rory McIlroy G Justin Thomas G Jason Day G Sahith Theegala G Rickie Fowler G Adam Schenk,,Davis Riley,G,10.00%,30.5
19,3685268695,concord,0,308.5,G Max Homa G Justin Thomas G Will Zalatoris G Jason Day G Corey Conners G Doug Ghim,,Jordan Spieth,G,10.00%,86.5
20,3684046330,magic_21,0,294.5,G Rory McIlroy G Jason Day G Tommy Fleetwood G Chris Kirk G Sahith Theegala G Keegan Bradley,,Adam Hadwin,G,10.00%,79
,,,,,,,Patrick Cantlay,G,10.00%,86.5
,,,,,,,Tommy Fleetwood,G,10.00%,92
,,,,,,,Sungjae Im,G,10.00%,96
,,,,,,,Seamus Power,G,5.00%,20
,,,,,,,Byeong Hun An,G,5.00%,73
,,,,,,,Adam Scott,G,5.00%,52.5
,,,,,,,Harris English,G,5.00%,26.5
,,,,,,,Matt Fitzpatrick,G,5.00%,21.5
,,,,,,,Nate Lashley,G,5.00%,59.5
,,,,,,,Si Woo Kim,G,5.00%,74
,,,,,,,Russell Henley,G,5.00%,80
,,,,,,,Adam Schenk,G,5.00%,20
,,,,,,,Tom Kim,G,5.00%,58
,,,,,,,Sam Burns,G,5.00%,69.5
,,,,,,,Billy Horschel,G,5.00%,25
,,,,,,,Tony Finau,G,5.00%,89.5
,,,,,,,Tom Hoge,G,5.00%,113.5
,,,,,,,Shane Lowry,G,5.00%,75
,,,,,,,Cameron Young,G,5.00%,75
,,,,,,,Doug Ghim,G,5.00%,11
,,,,,,,Justin Suh,G,5.00%,98
,,,,,,,Denny McCarthy,G,5.00%,79.5
,,,,,,,Webb Simpson,G,5.00%,13.5
