Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4281682016,jimm743,0,516.5,G Rory McIlroy G Erik Van Rooyen G Akshay Bhatia G Nicolai Hojgaard G Robert Macintyre G Beau Hossler,,Rory McIlroy,G,46.67%,103.5
2,4281263804,Jph315,0,487,G Rory McIlroy G Corey Conners G Taylor Pendrith G Adam Svensson G Thorbjorn Olesen G Ben Silverman,,Taylor Pendrith,G,46.67%,85
3,4281859231,NPitz14,0,454,G Rory McIlroy G Maverick McNealy G Mackenzie Hughes G Taylor Pendrith G Adam Svensson G Hayden Buckley,,Adam Hadwin,G,33.33%,26.5
4,4282811743,gapfaff,0,425.5,G Keith Mitchell G Tom Kim G Adam Hadwin G Akshay Bhatia G Mark Hubbard G Taylor Pendrith,,Sahith Theegala,G,26.67%,23
5,4281267616,American-Dream,0,423,G Corey Conners G Sam Burns G Erik Van Rooyen G Nick Taylor G Taylor Pendrith G Adam Svensson,,Cameron Young,G,26.67%,31
6,4282874160,magic_21,0,402.5,G Sahith Theegala G Cameron Young G Maverick McNealy G Taylor Pendrith G Ben Griffin G Kevin Streelman,,Corey Conners,G,26.67%,101
7,4282635000,concord,0,393.5,G Rory McIlroy G Shane Lowry G Mark Hubbard G Matt Wallace G Gary Woodland G Brice Garnett,,Erik Van Rooyen,G,26.67%,68.5
8,4283047151,andcohen2525,0,392.5,G Rory McIlroy G Cameron Young G Erik Van Rooyen G Kevin Yu G Victor Perez G Brice Garnett,,Nick Taylor,G,26.67%,22.5
9,4282082797,JonBuc1,0,381,G Sahith Theegala G Cameron Young G Adam Hadwin G Taylor Pendrith G Robert Macintyre G Andrew Novak,,Mark Hubbard,G,26.67%,59.5
10,4281733971,ryanhupfer,0,347.5,G Tommy Fleetwood G Corey Conners G Adam Hadwin G Daniel Berger G Adam Svensson G C.T. Pan,,Adam Svensson,G,26.67%,57.5
11,4282978511,darksidefan,0,336.5,G Tommy Fleetwood G Adam Scott G Tom Kim G Nick Taylor G Mark Hubbard G Matti Schmid,,Shane Lowry,G,20.00%,65.5
12,4282917344,chicagoputz,0,324.5,G Shane Lowry G Corey Conners G Adam Hadwin G Nick Taylor G Taylor Pendrith G Charley Hoffman,,Tommy Fleetwood,G,13.33%,76
13,4281268337,jabella72,0,299,G Rory McIlroy G Alex Noren G Cameron Young G Mark Hubbard G Myles Creighton G Etienne Papineau,,Maverick McNealy,G,13.33%,90.5
14,4281590676,mlewicki,0,291.5,G Rory McIlroy G Sahith Theegala G Erik Van Rooyen G Kevin Tway G Charley Hoffman G Dylan Wu,,Tom Kim,G,13.33%,98
15,4282636682,cmilly-97,0,218,G Sahith Theegala G Shane Lowry G Adam Hadwin G Nick Taylor G Nicolai Hojgaard G David Lipsky,,Akshay Bhatia,G,13.33%,61
,,,,,,,Nicolai Hojgaard,G,13.33%,67
,,,,,,,Robert Macintyre,G,13.33%,133
,,,,,,,Charley Hoffman,G,13.33%,24
,,,,,,,Brice Garnett,G,13.33%,17
,,,,,,,Alex Noren,G,6.67%,22.5
,,,,,,,Sam Burns,G,6.67%,88.5
,,,,,,,Adam Scott,G,6.67%,57
,,,,,,,Keith Mitchell,G,6.67%,95.5
,,,,,,,Mackenzie Hughes,G,6.67%,95.5
,,,,,,,Daniel Berger,G,6.67%,16.5
,,,,,,,Matt Wallace,G,6.67%,82
,,,,,,,Ben Griffin,G,6.67%,108.5
,,,,,,,Kevin Yu,G,6.67%,67
,,,,,,,Beau Hossler,G,6.67%,83.5
,,,,,,,Thorbjorn Olesen,G,6.67%,74.5
,,,,,,,Kevin Tway,G,6.67%,46.5
,,,,,,,C.T. Pan,G,6.67%,70
,,,,,,,Ben Silverman,G,6.67%,65.5
,,,,,,,Andrew Novak,G,6.67%,82.5
,,,,,,,Victor Perez,G,6.67%,105.5
,,,,,,,Dylan Wu,G,6.67%,26
,,,,,,,Gary Woodland,G,6.67%,66
,,,,,,,Matti Schmid,G,6.67%,23.5
,,,,,,,Hayden Buckley,G,6.67%,22
,,,,,,,Kevin Streelman,G,6.67%,64.5
,,,,,,,David Lipsky,G,6.67%,13.5
,,,,,,,Myles Creighton,G,6.67%,58.5
,,,,,,,Etienne Papineau,G,6.67%,24
