Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4173062319,mlewicki,0,501,G Scottie Scheffler G Ludvig Aberg G Adam Scott G Jason Day G Luke List G Taylor Moore,,Ludvig Aberg,G,58.82%,75.5
2,4173866512,concord,0,481.5,G Scottie Scheffler G Ludvig Aberg G Justin Thomas G Hideki Matsuyama G Tom Hoge G Seamus Power,,Justin Thomas,G,58.82%,25.5
3,4173744198,gapfaff,0,467,G Scottie Scheffler G Cameron Young G Will Zalatoris G Nicolai Hojgaard G Rickie Fowler G Kurt Kitayama,,Sam Burns,G,35.29%,73.5
4,4172166794,ryanhupfer,0,466.5,G Patrick Cantlay G Ludvig Aberg G Justin Thomas G Will Zalatoris G Nicolai Hojgaard G Tom Hoge,,Will Zalatoris,G,35.29%,119.5
5,4173546355,NPitz14,0,462.5,G Ludvig Aberg G Justin Thomas G Tony Finau G Adam Scott G Will Zalatoris G Tom Hoge,,Scottie Scheffler,G,29.41%,85
6,4173638504,boyewsky,0,447.5,G Patrick Cantlay G Justin Thomas G Sahith Theegala G Adam Scott G Will Zalatoris G Emiliano Grillo,,Patrick Cantlay,G,29.41%,99
7,4173161775,andcohen2525,0,446.5,G Max Homa G Justin Thomas G Sam Burns G Tom Kim G Will Zalatoris G Ben Griffin,,Max Homa,G,23.53%,86.5
8,4173346921,JonBuc1,0,444.5,G Viktor Hovland G Justin Thomas G Jason Day G Sungjae Im G Denny McCarthy G Hideki Matsuyama,,Nicolai Hojgaard,G,23.53%,57
9,4173485412,chicagoputz,0,441.5,G Max Homa G Patrick Cantlay G Ludvig Aberg G Sam Burns G Adam Svensson G Matt Kuchar,,Sahith Theegala,G,17.65%,67
10,4172057966,jimm743,0,433.5,G Ludvig Aberg G Sam Burns G Sahith Theegala G Cameron Young G Russell Henley G Beau Hossler,,Cameron Young,G,17.65%,81.5
11,4172012434,Jph315,0,423,G Rory McIlroy G Max Homa G Keegan Bradley G Byeong Hun An G Brendon Todd G Christiaan Bezuidenhout,,Adam Scott,G,17.65%,74
12,4172012412,jabella72,0,410.5,G Max Homa G Ludvig Aberg G Sam Burns G Nicolai Hojgaard G Chris Kirk G Harris English,,Tom Hoge,G,17.65%,90
13,4173579118,darksidefan,0,395,G Ludvig Aberg G Justin Thomas G Sam Burns G Cameron Young G Nicolai Hojgaard G Adam Svensson,,Jason Day,G,11.76%,94
14,4171981564,American-Dream,0,383.5,G Ludvig Aberg G Justin Thomas G Sahith Theegala G J.T. Poston G Eric Cole G Si Woo Kim,,Si Woo Kim,G,11.76%,58
15,4172688327,magic_21,0,351,G Patrick Cantlay G Ludvig Aberg G Justin Thomas G Sam Burns G Cameron Davis G Kevin Yu,,Chris Kirk,G,11.76%,22
16,4172662636,cubyblue,0,334.5,G Scottie Scheffler G Justin Thomas G Will Zalatoris G Chris Kirk G Rickie Fowler G Tiger Woods,,Hideki Matsuyama,G,11.76%,130
17,4173233420,cmilly-97,0,312.5,G Scottie Scheffler G Patrick Cantlay G Wyndham Clark G Si Woo Kim G Taylor Montgomery G Tiger Woods,,Rickie Fowler,G,11.76%,63.5
,,,,,,,Adam Svensson,G,11.76%,82
,,,,,,,Tiger Woods,G,11.76%,19
,,,,,,,Rory McIlroy,G,5.88%,79.5
,,,,,,,Viktor Hovland,G,5.88%,69.5
,,,,,,,Tony Finau,G,5.88%,78
,,,,,,,Wyndham Clark,G,5.88%,31
,,,,,,,Tom Kim,G,5.88%,78.5
,,,,,,,Sungjae Im,G,5.88%,59
,,,,,,,Keegan Bradley,G,5.88%,29
,,,,,,,J.T. Poston,G,5.88%,79.5
,,,,,,,Russell Henley,G,5.88%,65.5
,,,,,,,Eric Cole,G,5.88%,78
,,,,,,,Byeong Hun An,G,5.88%,86.5
,,,,,,,Denny McCarthy,G,5.88%,66.5
,,,,,,,Cameron Davis,G,5.88%,64
,,,,,,,Beau Hossler,G,5.88%,70.5
,,,,,,,Harris English,G,5.88%,96
,,,,,,,Kurt Kitayama,G,5.88%,60.5
,,,,,,,Emiliano Grillo,G,5.88%,62.5
,,,,,,,Brendon Todd,G,5.88%,64.5
,,,,,,,Taylor Montgomery,G,5.88%,20.5
,,,,,,,Christiaan Bezuidenhout,G,5.88%,77
,,,,,,,Luke List,G,5.88%,109
,,,,,,,Taylor Moore,G,5.88%,63.5
,,,,,,,Ben Griffin,G,5.88%,63
,,,,,,,Matt Kuchar,G,5.88%,25
,,,,,,,Kevin Yu,G,5.88%,13.5
,,,,,,,Seamus Power,G,5.88%,75.5
