Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3222784951,JonBuc1,0,645,G Scottie Scheffler G Cameron Champ G Maverick McNealy G Marc Leishman G Lanto Griffin G Sebastian Munoz,,Maverick McNealy,G,42.11%,101
2,3221448492,American-Dream,0,618,G Justin Thomas G Jason Day G Aaron Wise G Maverick McNealy G Matt Kuchar G Mito Pereira,,Will Zalatoris,G,36.84%,35.5
3,3221465247,Syvretzky,0,595.5,G Scottie Scheffler G Will Zalatoris G Davis Riley G Lanto Griffin G Sebastian Munoz G Beau Hossler,,Scottie Scheffler,G,36.84%,118.5
4,3223245497,Jph315,0,530.5,G Scottie Scheffler G Justin Thomas G Maverick McNealy G Bubba Watson G Sahith Theegala G Martin Trainer,,Talor Gooch,G,31.58%,36
5,3223867748,gapfaff,0,518,G Joaquin Niemann G Talor Gooch G Jason Kokrak G Jason Day G Seamus Power G Lanto Griffin,,Sam Burns,G,26.32%,37
6,3221736574,chicagoputz,0,516,G Justin Thomas G Joaquin Niemann G Marc Leishman G Matt Kuchar G C.T. Pan G Dylan Frittelli,,Jason Day,G,26.32%,85.5
7,3221458667,hupfdaddy,0,513,G Will Zalatoris G Joaquin Niemann G Adam Hadwin G Alex Noren G Marc Leishman G Sebastian Munoz,,Joaquin Niemann,G,26.32%,99
8,3221793260,jabella72,0,509.5,G Scottie Scheffler G Jason Day G Marc Leishman G Si Woo Kim G Lanto Griffin G Sepp Straka,,Jhonattan Vegas,G,21.05%,76.5
9,3224143598,boyewsky,0,508.5,G Scottie Scheffler G Tommy Fleetwood G Adam Hadwin G Keith Mitchell G Ryan Palmer G Patton Kizzire,,Justin Thomas,G,21.05%,127
10,3224022248,AndyRue5,0,497.5,G Joaquin Niemann G Jason Kokrak G Jason Day G Aaron Wise G Adam Hadwin G Cameron Champ,,Adam Hadwin,G,21.05%,23.5
11,3223061400,jakinnamon1221,0,495.5,G Hideki Matsuyama G Sam Burns G Talor Gooch G Maverick McNealy G Keith Mitchell G Austin Smotherman,,Marc Leishman,G,21.05%,106.5
12,3223908982,rhup,0,480,G Sam Burns G Joaquin Niemann G Jhonattan Vegas G Maverick McNealy G Sebastian Munoz G Kurt Kitayama,,Sebastian Munoz,G,21.05%,137
13,3221826404,jimm743,0,470.5,G Justin Thomas G Sam Burns G Tommy Fleetwood G Patrick Rodgers G Danny Willett G Mark Hubbard,,Lanto Griffin,G,21.05%,87.5
14,3223869749,cubyblue,0,450,G Hideki Matsuyama G Will Zalatoris G Jhonattan Vegas G Adam Hadwin G Patton Kizzire G Stephan Jaeger,,Patton Kizzire,G,15.79%,67.5
15,3221995822,belikemike247,0,433.5,G Scottie Scheffler G Will Zalatoris G Si Woo Kim G Dylan Frittelli G J.J. Spaun G Sahith Theegala,,Aaron Wise,G,15.79%,89
16,3223705562,darksidefan,0,415,G Will Zalatoris G Talor Gooch G Jhonattan Vegas G Aaron Wise G Maverick McNealy G Keith Mitchell,,Si Woo Kim,G,15.79%,34.5
17,3221488573,mlewicki,0,398,G Sam Burns G Talor Gooch G Jason Day G Seamus Power G Maverick McNealy G Si Woo Kim,,Keith Mitchell,G,15.79%,77
18,3223025843,arob92,0,354,G Scottie Scheffler G Will Zalatoris G Talor Gooch G Maverick McNealy G Hudson Swafford G Mac Meissner,,Matt Kuchar,G,10.53%,107.5
19,3221425901,re_wcb,0,289.5,G Sam Burns G Will Zalatoris G Talor Gooch G Jhonattan Vegas G Patton Kizzire G Chez Reavie,,Seamus Power,G,10.53%,104
,,,,,,,Dylan Frittelli,G,10.53%,76
,,,,,,,Tommy Fleetwood,G,10.53%,86.5
,,,,,,,Sahith Theegala,G,10.53%,71.5
,,,,,,,Cameron Champ,G,10.53%,94.5
,,,,,,,Hideki Matsuyama,G,10.53%,139.5
,,,,,,,Jason Kokrak,G,10.53%,106
,,,,,,,Chez Reavie,G,5.26%,37
,,,,,,,Mito Pereira,G,5.26%,108
,,,,,,,Alex Noren,G,5.26%,111.5
,,,,,,,Davis Riley,G,5.26%,115.5
,,,,,,,Beau Hossler,G,5.26%,101.5
,,,,,,,C.T. Pan,G,5.26%,0
,,,,,,,Sepp Straka,G,5.26%,77
,,,,,,,Patrick Rodgers,G,5.26%,103
,,,,,,,Danny Willett,G,5.26%,27
,,,,,,,Mark Hubbard,G,5.26%,90
,,,,,,,J.J. Spaun,G,5.26%,97.5
,,,,,,,Hudson Swafford,G,5.26%,40.5
,,,,,,,Mac Meissner,G,5.26%,22.5
,,,,,,,Austin Smotherman,G,5.26%,105
,,,,,,,Bubba Watson,G,5.26%,33
,,,,,,,Martin Trainer,G,5.26%,79.5
,,,,,,,Stephan Jaeger,G,5.26%,107.5
,,,,,,,Kurt Kitayama,G,5.26%,29.5
,,,,,,,Ryan Palmer,G,5.26%,135.5
