Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3824607614,hupfdaddy,0,446,G Viktor Hovland G Tommy Fleetwood G Shane Lowry G Robert Macintyre G Adrian Meronk G Victor Perez,,Adam Scott,G,38.89%,31
2,3824519823,American-Dream,0,424,G Rory McIlroy G Viktor Hovland G Doug Ghim G Eric Cole G Andrew Putnam G Jordan L. Smith,,Viktor Hovland,G,27.78%,76
3,3824529508,Jph315,0,406,G Rory McIlroy G Tyrrell Hatton G Adam Scott G Rasmus Hojgaard G Padraig Harrington G Grant Forrest,,Rickie Fowler,G,27.78%,59.5
4,3824590856,cmilly-97,0,381,G Scottie Scheffler G Jordan Spieth G Corey Conners G Keith Mitchell G J.T. Poston G Romain Langasque,,Justin Rose,G,27.78%,25.5
5,3824520429,garciar15,0,379.5,G Xander Schauffele G Sam Burns G Ludvig Aberg G Adam Scott G Thomas Detry G Nicolai Hojgaard,,Alex Smalley,G,27.78%,27.5
6,3824573590,gapfaff,0,356.5,G Tyrrell Hatton G Tommy Fleetwood G Justin Rose G Aaron Rai G Alexander Bjork G Daniel Hillier,,Sahith Theegala,G,27.78%,28.5
7,3826243810,magic_21,0,354,G Tyrrell Hatton G Tommy Fleetwood G Min Woo Lee G Justin Thomas G Cameron Davis G Callum Tarren,,Tyrrell Hatton,G,22.22%,92
8,3825817843,concord,0,326,G Rickie Fowler G Min Woo Lee G Max Homa G Alex Smalley G Alexander Bjork G Adrian Meronk,,Tommy Fleetwood,G,22.22%,88
9,3824557790,ryanhupfer,0,320.5,G Viktor Hovland G Tommy Fleetwood G Justin Rose G Adam Scott G Keith Mitchell G Davis Riley,,Jordan Spieth,G,22.22%,24.5
10,3825531518,cubyblue,0,307,G Rickie Fowler G Jordan Spieth G Max Homa G Sahith Theegala G Austin Eckroat G Billy Horschel,,Aaron Rai,G,22.22%,26.5
11,3826528286,boyewsky,0,300.5,G Tyrrell Hatton G Rickie Fowler G Justin Rose G Adam Scott G Alexander Bjork G Matthieu Pavon,,Justin Thomas,G,16.67%,56.5
12,3826403299,JonBuc1,0,291.5,G Viktor Hovland G Wyndham Clark G Justin Thomas G Ludvig Aberg G Sahith Theegala G Keith Mitchell,,Ludvig Aberg,G,16.67%,33.5
13,3824970932,mlewicki,0,266.5,G Patrick Cantlay G Tom Kim G Corey Conners G Alex Smalley G Aaron Rai G Seamus Power,,Alexander Bjork,G,16.67%,65
14,3824722184,chicagoputz,0,254.5,G Xander Schauffele G Jordan Spieth G Adam Scott G Aaron Rai G Brian Harman G Matthieu Pavon,,Keith Mitchell,G,16.67%,26.5
15,3824824931,jimm743,0,251,G Viktor Hovland G Rickie Fowler G Ludvig Aberg G Alex Smalley G Sahith Theegala G Patrick Rodgers,,Matthieu Pavon,G,16.67%,27.5
15,3826538544,darksidefan,0,251,G Matt Fitzpatrick G Wyndham Clark G Adam Scott G Alex Smalley G Sahith Theegala G Thomas Detry,,Rory McIlroy,G,11.11%,124.5
17,3824760069,jabella72,0,227.5,G Rickie Fowler G Justin Rose G Justin Thomas G Adam Scott G Aaron Rai G Sahith Theegala,,Xander Schauffele,G,11.11%,70.5
18,3824701611,AirMOC,0,210,G Matt Fitzpatrick G Jordan Spieth G Justin Rose G Alex Smalley G Ryan Fox G Matthieu Pavon,,Matt Fitzpatrick,G,11.11%,24.5
18,3824701611,belikemike247,0,217.5,G Matt Fitzpatrick G Jordan Spieth G Justin Rose G Alex Smalley G Ryan Fox G Matthieu Pavon,,Matt Fitzpatrick,G,11.11%,24.5
,,,,,,,Wyndham Clark,G,11.11%,70.5
,,,,,,,Min Woo Lee,G,11.11%,68
,,,,,,,Max Homa,G,11.11%,74.5
,,,,,,,Corey Conners,G,11.11%,82.5
,,,,,,,Thomas Detry,G,11.11%,69
,,,,,,,Adrian Meronk,G,11.11%,31.5
,,,,,,,Scottie Scheffler,G,5.56%,96
,,,,,,,Patrick Cantlay,G,5.56%,32.5
,,,,,,,Shane Lowry,G,5.56%,78.5
,,,,,,,Tom Kim,G,5.56%,93.5
,,,,,,,Sam Burns,G,5.56%,72.5
,,,,,,,Rasmus Hojgaard,G,5.56%,17.5
,,,,,,,Brian Harman,G,5.56%,74.5
,,,,,,,Ryan Fox,G,5.56%,80.5
,,,,,,,Seamus Power,G,5.56%,4
,,,,,,,Doug Ghim,G,5.56%,18.5
,,,,,,,Eric Cole,G,5.56%,63
,,,,,,,Robert Macintyre,G,5.56%,109
,,,,,,,Austin Eckroat,G,5.56%,69
,,,,,,,Nicolai Hojgaard,G,5.56%,103
,,,,,,,Cameron Davis,G,5.56%,31
,,,,,,,Andrew Putnam,G,5.56%,65.5
,,,,,,,Jordan L. Smith,G,5.56%,76.5
,,,,,,,Victor Perez,G,5.56%,63
,,,,,,,Padraig Harrington,G,5.56%,62.5
,,,,,,,Patrick Rodgers,G,5.56%,26
,,,,,,,J.T. Poston,G,5.56%,85.5
,,,,,,,Davis Riley,G,5.56%,73.5
,,,,,,,Daniel Hillier,G,5.56%,59.5
,,,,,,,Billy Horschel,G,5.56%,51
,,,,,,,Romain Langasque,G,5.56%,66
,,,,,,,Grant Forrest,G,5.56%,78.5
,,,,,,,Callum Tarren,G,5.56%,18.5
