Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3612464033,magic_21,0,493,G Russell Henley G Brian Harman G Si Woo Kim G J.T. Poston G Ben Griffin G Robby Shelton,,Tom Kim,G,45.00%,26.5
2,3609393188,belikemike247,0,480.5,G Tom Kim G Tom Hoge G Si Woo Kim G Nick Hardy G Davis Thompson G Ben Taylor,,Jordan Spieth,G,30.00%,31
3,3612029454,concord,0,446.5,G Jordan Spieth G Brian Harman G Andrew Putnam G Denny McCarthy G J.T. Poston G Zac Blair,,Mackenzie Hughes,G,30.00%,20.5
4,3610712195,ryanhupfer,0,414.5,G Tom Kim G Maverick McNealy G Cameron Davis G Harris English G Russell Knox G Stewart Cink,,Harris English,G,25.00%,63
5,3612767121,darksidefan,0,411,G Tom Kim G Kyoung-Hoon Lee G Christiaan Bezuidenhout G Andrew Putnam G Chris Kirk G Russell Knox,,Si Woo Kim,G,25.00%,134
6,3609435790,andcohen2525,0,399.5,G Tom Kim G Taylor Montgomery G Kyoung-Hoon Lee G Alex Smalley G Justin Suh G Ben Taylor,,Christiaan Bezuidenhout,G,25.00%,20
7,3609976109,chicagoputz,0,395,G Tom Hoge G Russell Henley G Harris English G Mackenzie Hughes G Adam Svensson G Greyson Sigg,,Kyoung-Hoon Lee,G,25.00%,86
8,3612306362,garciar15,0,394,G Tom Kim G Cameron Davis G Si Woo Kim G Christiaan Bezuidenhout G Webb Simpson G Seonghyeon Kim,,Adam Svensson,G,25.00%,82
9,3610266060,jimm743,0,393,G Tom Kim G Maverick McNealy G Keith Mitchell G Will Gordon G Ben Griffin G Justin Suh,,Cameron Davis,G,20.00%,86.5
9,3612500469,boyewsky,0,393,G Brian Harman G Corey Conners G Kyoung-Hoon Lee G Keith Mitchell G Lucas Glover G Michael Thompson,,Brian Harman,G,20.00%,78.5
11,3611826690,JonBuc1,0,380.5,G Sungjae Im G J.J. Spaun G Andrew Putnam G Emiliano Grillo G Kurt Kitayama G Nick Hardy,,Webb Simpson,G,15.00%,30
12,3609518794,AirMOC,0,377,G Billy Horschel G Taylor Montgomery G Cameron Davis G Christiaan Bezuidenhout G Adam Svensson G Greyson Sigg,,Russell Knox,G,15.00%,60
13,3610049591,gapfaff,0,373.5,G Jordan Spieth G Kyoung-Hoon Lee G Si Woo Kim G Christiaan Bezuidenhout G Mackenzie Hughes G Adam Svensson,,Maverick McNealy,G,15.00%,92.5
14,3612797094,hupfdaddy,0,367,G Tom Kim G Kyoung-Hoon Lee G Cameron Davis G Harris English G Adam Svensson G Robby Shelton,,Keith Mitchell,G,15.00%,31.5
15,3609986336,mlewicki,0,363,G Jordan Spieth G Brian Harman G Maverick McNealy G Adam Svensson G Kevin Streelman G Brian Stuard,,Andrew Putnam,G,15.00%,103.5
16,3612267774,cubyblue,0,320.5,G Jordan Spieth G Adam Scott G Keith Mitchell G Mackenzie Hughes G Webb Simpson G Chris Kirk,,Corey Conners,G,10.00%,90.5
17,3609392839,American-Dream,0,317.5,G Jordan Spieth G Corey Conners G Harris English G Will Gordon G Mackenzie Hughes G Webb Simpson,,Will Gordon,G,10.00%,82.5
18,3610433513,cmilly-97,0,301,G Tom Kim G Si Woo Kim G Emiliano Grillo G Alex Smalley G Harris English G Mackenzie Hughes,,Tom Hoge,G,10.00%,75
19,3609417051,Jph315,0,282,G Jordan Spieth G Billy Horschel G Keegan Bradley G Brendon Todd G Russell Knox G Zach Johnson,,Nick Hardy,G,10.00%,84
20,3609395239,jabella72,0,193,G Tom Kim G Keegan Bradley G Christiaan Bezuidenhout G Mackenzie Hughes G Brendon Todd G Kevin Streelman,,Ben Taylor,G,10.00%,98
,,,,,,,Keegan Bradley,G,10.00%,22.5
,,,,,,,Brendon Todd,G,10.00%,87
,,,,,,,Kevin Streelman,G,10.00%,16.5
,,,,,,,Billy Horschel,G,10.00%,29
,,,,,,,Taylor Montgomery,G,10.00%,85.5
,,,,,,,Alex Smalley,G,10.00%,31
,,,,,,,Justin Suh,G,10.00%,72.5
,,,,,,,Greyson Sigg,G,10.00%,74
,,,,,,,Russell Henley,G,10.00%,80.5
,,,,,,,Ben Griffin,G,10.00%,87.5
,,,,,,,Emiliano Grillo,G,10.00%,26
,,,,,,,J.T. Poston,G,10.00%,89.5
,,,,,,,Chris Kirk,G,10.00%,115
,,,,,,,Robby Shelton,G,10.00%,23
,,,,,,,Davis Thompson,G,5.00%,63
,,,,,,,Zach Johnson,G,5.00%,52.5
,,,,,,,Brian Stuard,G,5.00%,62.5
,,,,,,,Stewart Cink,G,5.00%,86
,,,,,,,Sungjae Im,G,5.00%,24
,,,,,,,J.J. Spaun,G,5.00%,83.5
,,,,,,,Kurt Kitayama,G,5.00%,59.5
,,,,,,,Denny McCarthy,G,5.00%,71
,,,,,,,Zac Blair,G,5.00%,73
,,,,,,,Adam Scott,G,5.00%,92.5
,,,,,,,Seonghyeon Kim,G,5.00%,97
,,,,,,,Lucas Glover,G,5.00%,26.5
,,,,,,,Michael Thompson,G,5.00%,80
