Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3195863269,Jph315,0,732,G Xander Schauffele G Shane Lowry G Justin Rose G Cameron Tringale G Matthew NeSmith G Chase Seiffert,,Maverick McNealy,G,23.81%,33
2,3195936908,jabella72,0,569.5,G Patrick Cantlay G Brendan Steele G Brendon Todd G Christiaan Bezuidenhout G Lucas Glover G Rafa Cabrera Bello,,Scottie Scheffler,G,23.81%,103
3,3196517433,hupfdaddy,0,563,G Viktor Hovland G Billy Horschel G Talor Gooch G Sam Ryder G Richy Werenski G Kelly Kraft,,Viktor Hovland,G,19.05%,92
4,3196278570,JonBuc1,0,561.5,G Patrick Cantlay G Scottie Scheffler G Jason Day G Kevin Kisner G Sahith Theegala G Scott Stallings,,Rafa Cabrera Bello,G,19.05%,40.5
5,3196278571,boyewsky,0,526.5,G Patrick Cantlay G Scottie Scheffler G Jason Day G Kevin Kisner G Sahith Theegala G Scott Stallings,,,,,
6,3197938426,darksidefan,0,522.5,G Scottie Scheffler G Max Homa G Brendan Steele G Matthias Schwab G Alex Noren G Sahith Theegala,,Sahith Theegala,G,19.05%,43
7,3198463895,rhup,0,494.5,G Sam Burns G Joaquin Niemann G Max Homa G Maverick McNealy G Sam Ryder G Richy Werenski,,Will Zalatoris,G,14.29%,120
8,3196192260,garciar15,0,488.5,G Billy Horschel G Joaquin Niemann G Will Zalatoris G Adam Hadwin G Rafa Cabrera Bello G Mark Hubbard,,Talor Gooch,G,14.29%,107.5
9,3196428444,belikemike247,0,486.5,G Viktor Hovland G Patrick Cantlay G Rafa Cabrera Bello G Denny McCarthy G Tyler Duncan G Tom Hoge,,Patrick Cantlay,G,14.29%,164
10,3195857616,Syvretzky,0,482,G Mito Pereira G Talor Gooch G Keegan Bradley G Christiaan Bezuidenhout G Maverick McNealy G Kevin Kisner,,Max Homa,G,14.29%,107.5
11,3196290191,re_wcb,0,478,G Sam Burns G Joaquin Niemann G Martin Laird G Keith Mitchell G Cameron Tringale G Tyler Duncan,,Joseph Bramlett,G,14.29%,33
12,3198548742,gapfaff,0,474,G Sergio Garcia G Talor Gooch G Harold Varner III G Sungjae Im G Scott Stallings G John Huh,,Sam Burns,G,14.29%,144.5
13,3195855701,American-Dream,0,456.5,G Viktor Hovland G Tommy Fleetwood G Will Zalatoris G Alex Noren G Branden Grace G Kelly Kraft,,Joaquin Niemann,G,14.29%,26
14,3196172016,mlewicki,0,449,G Sam Burns G Scottie Scheffler G Maverick McNealy G Scott Brown G Henrik Norlander G Sahith Theegala,,Adam Hadwin,G,14.29%,46.5
15,3197540205,andcohen2525,0,437,G Marc Leishman G Scottie Scheffler G Byeong Hun An G Adam Hadwin G Rafa Cabrera Bello G D.A. Points,,Sam Ryder,G,14.29%,138
16,3197655031,AndyRue5,0,436,G Sergio Garcia G Tyrrell Hatton G Greyson Sigg G Adam Hadwin G Wyndham Clark G Doug Ghim,,Greyson Sigg,G,14.29%,38.5
17,3196269927,jimm743,0,409.5,G Cameron Smith G Sungjae Im G Keith Mitchell G Troy Merritt G Doug Ghim G Sahith Theegala,,Tommy Fleetwood,G,9.52%,39.5
18,3196635684,jakinnamon1221,0,391.5,G Tommy Fleetwood G Danny Willett G Graeme McDowell G Greyson Sigg G Joseph Bramlett G Sam Ryder,,Alex Noren,G,9.52%,36.5
19,3197011165,cubyblue,0,366,G Ian Poulter G Tyrrell Hatton G Seamus Power G Sepp Straka G Joseph Bramlett G Peter Uihlein,,Kelly Kraft,G,9.52%,35.5
20,3198100196,concord,0,364,G Will Zalatoris G Graeme McDowell G Greyson Sigg G Chris Kirk G Troy Merritt G Maverick McNealy,,Christiaan Bezuidenhout,G,9.52%,84.5
21,3195937888,chicagoputz,0,358.5,G Viktor Hovland G Max Homa G Adam Svensson G Joseph Bramlett G Beau Hossler G Charley Hoffman,,Kevin Kisner,G,9.52%,89
22,3196340024,arob92,0,345.5,G Cameron Smith G Scottie Scheffler G Robert Macintyre G Maverick McNealy G Lucas Glover G Hayden Buckley,,Cameron Tringale,G,9.52%,116.5
,,,,,,,Brendan Steele,G,9.52%,142
,,,,,,,Lucas Glover,G,9.52%,38
,,,,,,,Billy Horschel,G,9.52%,144.5
,,,,,,,Cameron Smith,G,9.52%,99.5
,,,,,,,Sungjae Im,G,9.52%,107.5
,,,,,,,Keith Mitchell,G,9.52%,35
,,,,,,,Troy Merritt,G,9.52%,34
,,,,,,,Doug Ghim,G,9.52%,90.5
,,,,,,,Scott Stallings,G,9.52%,41.5
,,,,,,,Tyler Duncan,G,9.52%,113.5
,,,,,,,Richy Werenski,G,9.52%,45.5
,,,,,,,Graeme McDowell,G,9.52%,38
,,,,,,,Tyrrell Hatton,G,9.52%,104.5
,,,,,,,Sergio Garcia,G,9.52%,39.5
,,,,,,,Branden Grace,G,4.76%,133
