Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5231246094,cmilly-97,0,556.5,G Scottie Scheffler G Chris Gotterup G Si Woo Kim G Viktor Hovland G Gary Woodland G Adam Scott,,Gary Woodland,G,40.91%,64
2,5231352235,JonBuc1,0,548,G Scottie Scheffler G Cameron Young G Hideki Matsuyama G Jacob Bridgeman G Gary Woodland G Alex Fitzpatrick,,Scottie Scheffler,G,36.36%,127.5
3,5231660407,Lumberjac,0,544,G Rory McIlroy G Sam Burns G Matt Fitzpatrick G Si Woo Kim G Viktor Hovland G Jacob Bridgeman,,Sam Burns,G,36.36%,75.5
4,5231199921,jabella72,0,541,G Rory McIlroy G Cameron Young G Chris Gotterup G Si Woo Kim G Russell Henley G Gary Woodland,,Rory McIlroy,G,31.82%,111.5
5,5231306137,cairnssj,0,535.5,G Rory McIlroy G Sam Burns G Cameron Young G Hideki Matsuyama G Russell Henley G Alex Fitzpatrick,,Collin Morikawa,G,31.82%,83
6,5231190013,VOODOG23,0,533,G Scottie Scheffler G Wyndham Clark G Russell Henley G Jacob Bridgeman G Akshay Bhatia G Ryan Fox,,Xander Schauffele,G,27.27%,81.5
7,5231240778,brotherjonas,0,529,G Scottie Scheffler G Tommy Fleetwood G Ryan Gerard G Justin Rose G Gary Woodland G Akshay Bhatia,,Tommy Fleetwood,G,27.27%,83
8,5231760315,concord,0,523.5,G Rory McIlroy G Cameron Young G Collin Morikawa G Si Woo Kim G Robert MacIntyre G Tom Kim,,Patrick Cantlay,G,27.27%,66
9,5231213619,aceshigh1973,0,512.5,G Xander Schauffele G Patrick Cantlay G Collin Morikawa G Chris Gotterup G Si Woo Kim G Ryan Gerard,,Cameron Young,G,27.27%,89.5
10,5231298640,Jph315,0,512,G Scottie Scheffler G Tommy Fleetwood G Hideki Matsuyama G Min Woo Lee G Gary Woodland G Akshay Bhatia,,Si Woo Kim,G,27.27%,90.5
11,5231661876,gapfaff,0,510.5,G Rory McIlroy G Ludvig ?berg G Patrick Cantlay G Matt Fitzpatrick G Kristoffer Reitan G Alex Fitzpatrick,,Russell Henley,G,27.27%,90.5
12,5231185455,chicagoputz,0,509.5,G Scottie Scheffler G Rory McIlroy G Gary Woodland G Alex Smalley G Akshay Bhatia G Ryan Fox,,Akshay Bhatia,G,27.27%,74
13,5231705183,darksidefan,0,509,G Scottie Scheffler G Sam Burns G Chris Gotterup G Adam Scott G Alex Smalley G Akshay Bhatia,,Hideki Matsuyama,G,22.73%,67.5
14,5232019880,Knock0ut12,0,502,G Rory McIlroy G Sam Burns G Tommy Fleetwood G Si Woo Kim G Gary Woodland G Adam Scott,,Adam Scott,G,22.73%,77.5
15,5231552585,NPitz14,0,500,G Sam Burns G Tommy Fleetwood G Patrick Cantlay G Collin Morikawa G Russell Henley G Viktor Hovland,,Chris Gotterup,G,18.18%,95
16,5231211385,magic_21,0,488,G Xander Schauffele G Ludvig ?berg G Cameron Young G Matt Fitzpatrick G Russell Henley G Alex Smalley,,Matt Fitzpatrick,G,18.18%,66
17,5231529530,ryanhupfer,0,487.5,G Scottie Scheffler G Patrick Cantlay G Collin Morikawa G Adam Scott G Alex Smalley G Akshay Bhatia,,Viktor Hovland,G,18.18%,102
18,5231252823,snyde167,0,483,G Xander Schauffele G Ludvig ?berg G Patrick Cantlay G Hideki Matsuyama G Viktor Hovland G Kristoffer Reitan,,Jacob Bridgeman,G,18.18%,98.5
19,5231571670,holth,0,467,G Xander Schauffele G Tommy Fleetwood G Cameron Young G Collin Morikawa G Matt Fitzpatrick G Gary Woodland,,Alex Smalley,G,18.18%,59.5
20,5231801983,boyewsky,0,464.5,G Wyndham Clark G Sam Burns G Patrick Cantlay G Collin Morikawa G Russell Henley G Tom Kim,,Ludvig ?berg,G,13.64%,101
21,5231188875,American-Dream,0,451,G Xander Schauffele G Wyndham Clark G Sam Burns G Collin Morikawa G Gary Woodland G Adam Scott,,Wyndham Clark,G,13.64%,69.5
22,5231291101,Gm0ney720,0,405,G Xander Schauffele G Sam Burns G Tommy Fleetwood G Hideki Matsuyama G J.J. Spaun G Jacob Bridgeman,,Alex Fitzpatrick,G,13.64%,101
,,,,,,,Ryan Gerard,G,9.09%,96.5
,,,,,,,Tom Kim,G,9.09%,80
,,,,,,,Kristoffer Reitan,G,9.09%,65
,,,,,,,Ryan Fox,G,9.09%,73
,,,,,,,J.J. Spaun,G,4.55%,-1
,,,,,,,Robert MacIntyre,G,4.55%,69
,,,,,,,Justin Rose,G,4.55%,84
,,,,,,,Min Woo Lee,G,4.55%,96
