Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5174851888,hupfdaddy,0,622.5,G Wyndham Clark G Sam Burns G Russell Henley G Viktor Hovland G Jake Knapp G Sungjae Im,,Justin Thomas,G,43.48%,95.5
2,5173549836,brotherjonas,0,610.5,G Scottie Scheffler G Sam Burns G Sahith Theegala G Corey Conners G Daniel Berger G Matthew McCarty,,Sahith Theegala,G,39.13%,81
3,5174002247,magic_21,0,605.5,G Matt Fitzpatrick G Justin Thomas G Ben Griffin G Sahith Theegala G Akshay Bhatia G Keith Mitchell,,Sam Burns,G,34.78%,106.5
4,5174194886,snyde167,0,593,G Ludvig Aberg G Collin Morikawa G Viktor Hovland G Keegan Bradley G Kristoffer Reitan G Alex Noren,,Scottie Scheffler,G,26.09%,128.5
5,5174858714,NPitz14,0,592.5,G Scottie Scheffler G Justin Thomas G Brian Harman G Bud Cauley G Denny McCarthy G Brandt Snedeker,,Collin Morikawa,G,21.74%,124
6,5174767855,aceshigh1973,0,591.5,G Sam Burns G Collin Morikawa G Ben Griffin G Aaron Rai G Sahith Theegala G Keith Mitchell,,Tommy Fleetwood,G,17.39%,90.5
7,5174884703,concord,0,591,G Wyndham Clark G Justin Thomas G Aaron Rai G J.J. Spaun G Brian Harman G Sahith Theegala,,Matt Fitzpatrick,G,17.39%,121
8,5174997220,cubyblue,0,584,G Tommy Fleetwood G Sam Burns G Viktor Hovland G Jordan Spieth G Hideki Matsuyama G Eric Cole,,Ludvig Aberg,G,17.39%,68
9,5173590028,Lumberjac,0,581.5,G Collin Morikawa G Justin Thomas G Russell Henley G Justin Rose G Alex Fitzpatrick G Ryan Gerard,,Aaron Rai,G,17.39%,87
10,5173333688,Jph315,0,580.5,G Scottie Scheffler G Justin Thomas G Akshay Bhatia G Eric Cole G Sungjae Im G Taylor Pendrith,,Akshay Bhatia,G,17.39%,115
11,5175075800,ryanhupfer,0,576,G Ludvig Aberg G Collin Morikawa G Ben Griffin G Justin Rose G Alex Fitzpatrick G Kristoffer Reitan,,Ryo Hisatsune,G,17.39%,76.5
12,5174766101,cmilly-97,0,575.5,G Scottie Scheffler G Chris Gotterup G Akshay Bhatia G Sam Stevens G Ryo Hisatsune G Matthew McCarty,,Keith Mitchell,G,17.39%,93
13,5173333627,American-Dream,0,567.5,G Sam Burns G Justin Thomas G Maverick McNealy G Keegan Bradley G Alex Fitzpatrick G Eric Cole,,Russell Henley,G,13.04%,92
14,5173344376,cairnssj,0,559,G Sam Burns G Collin Morikawa G Justin Thomas G Sahith Theegala G J.T. Poston G Jacob Bridgeman,,Chris Gotterup,G,13.04%,89.5
14,5173520809,Gm0ney720,0,559,G Scottie Scheffler G Sahith Theegala G Akshay Bhatia G Jake Knapp G Ryo Hisatsune G Alex Smalley,,Viktor Hovland,G,13.04%,144
16,5173613988,jabella72,0,554,G Matt Fitzpatrick G Si Woo Kim G Kurt Kitayama G J.J. Spaun G Min Woo Lee G Ryan Gerard,,Keegan Bradley,G,13.04%,97.5
17,5174325513,holth,0,534.5,G Cameron Young G Sam Burns G Justin Thomas G Sahith Theegala G Rickie Fowler G Keith Mitchell,,Ben Griffin,G,13.04%,100
18,5174926909,Knock0ut12,0,520.5,G Tommy Fleetwood G Justin Thomas G Keegan Bradley G Aaron Rai G Sahith Theegala G Benjamin James,,Brian Harman,G,13.04%,102.5
19,5173661660,chicagoputz,0,516,G Matt Fitzpatrick G Ludvig Aberg G Chris Gotterup G Sahith Theegala G Kristoffer Reitan G Ryan Fox,,Alex Fitzpatrick,G,13.04%,106
20,5174958656,boyewsky,0,512,G Tommy Fleetwood G Justin Thomas G Patrick Cantlay G Brian Harman G Gary Woodland G Jackson Suber,,Kristoffer Reitan,G,13.04%,91.5
21,5174578373,JonBuc1,0,511.5,G Scottie Scheffler G Chris Gotterup G Ryo Hisatsune G Sepp Straka G Tom Hoge G Keith Mitchell,,Eric Cole,G,13.04%,82
22,5173361386,VOODOG23,0,510,G Tommy Fleetwood G Matt Fitzpatrick G Harris English G J.T. Poston G Sam Stevens G Ryo Hisatsune,,Wyndham Clark,G,8.70%,112
23,5174874632,darksidefan,0,496.5,G Ludvig Aberg G Sam Burns G Russell Henley G Aaron Rai G Jacob Bridgeman G Ryan Fox,,J.J. Spaun,G,8.70%,113
,,,,,,,Justin Rose,G,8.70%,86.5
,,,,,,,J.T. Poston,G,8.70%,74
,,,,,,,Jake Knapp,G,8.70%,79.5
,,,,,,,Jacob Bridgeman,G,8.70%,78
,,,,,,,Sam Stevens,G,8.70%,70
,,,,,,,Ryan Gerard,G,8.70%,77.5
,,,,,,,Ryan Fox,G,8.70%,65
,,,,,,,Sungjae Im,G,8.70%,88.5
,,,,,,,Matthew McCarty,G,8.70%,96
,,,,,,,Cameron Young,G,4.35%,79
,,,,,,,Patrick Cantlay,G,4.35%,89
,,,,,,,Si Woo Kim,G,4.35%,80
,,,,,,,Maverick McNealy,G,4.35%,80
,,,,,,,Kurt Kitayama,G,4.35%,100.5
,,,,,,,Harris English,G,4.35%,78
,,,,,,,Min Woo Lee,G,4.35%,62
,,,,,,,Jordan Spieth,G,4.35%,57
,,,,,,,Gary Woodland,G,4.35%,44
,,,,,,,Hideki Matsuyama,G,4.35%,104
,,,,,,,Bud Cauley,G,4.35%,93
,,,,,,,Alex Noren,G,4.35%,68
,,,,,,,Alex Smalley,G,4.35%,78.5
,,,,,,,Sepp Straka,G,4.35%,38
,,,,,,,Corey Conners,G,4.35%,114.5
,,,,,,,Rickie Fowler,G,4.35%,79.5
,,,,,,,Taylor Pendrith,G,4.35%,71
,,,,,,,Benjamin James,G,4.35%,69
,,,,,,,Daniel Berger,G,4.35%,84
,,,,,,,Jackson Suber,G,4.35%,90.5
,,,,,,,Denny McCarthy,G,4.35%,95
,,,,,,,Tom Hoge,G,4.35%,86
,,,,,,,Brandt Snedeker,G,4.35%,78
