Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5134204913,hupfdaddy,0,526,G Cameron Young G Rickie Fowler G Viktor Hovland G Jordan Spieth G Justin Thomas G Kristoffer Reitan,,Rory McIlroy,G,41.67%,71.5
2,5132312529,cairnssj,0,514.5,G Ludvig Aberg G Adam Scott G Chris Gotterup G Viktor Hovland G Alex Smalley G Kristoffer Reitan,,Matt Fitzpatrick,G,33.33%,57.5
3,5134268183,Knock0ut12,0,506.5,G Rory McIlroy G Sam Burns G Gary Woodland G Alex Smalley G Matthew McCarty G Kristoffer Reitan,,Alex Smalley,G,33.33%,74.5
4,5134259436,gapfaff,0,498,G Tommy Fleetwood G Rickie Fowler G Viktor Hovland G Jordan Spieth G Gary Woodland G Matthew McCarty,,Cameron Young,G,29.17%,82
5,5132564108,brotherjonas,0,483,G Matt Fitzpatrick G Rickie Fowler G Min Woo Lee G Sepp Straka G Akshay Bhatia G Kristoffer Reitan,,Xander Schauffele,G,25.00%,54
6,5131848065,VOODOG23,0,438.5,G Rory McIlroy G Cameron Young G Jacob Bridgeman G Alex Smalley G Taylor Pendrith G Andrew Novak,,Jordan Spieth,G,25.00%,63.5
7,5134166792,JonBuc1,0,438,G Matt Fitzpatrick G Tommy Fleetwood G Maverick McNealy G Keegan Bradley G Sahith Theegala G Nick Taylor,,Matthew McCarty,G,25.00%,87
8,5131839271,snyde167,0,434,G Cameron Young G Ludvig Aberg G Si Woo Kim G Alex Noren G Nick Taylor G Michael Kim,,Gary Woodland,G,20.83%,76
9,5131762556,Jph315,0,432,G Xander Schauffele G Matt Fitzpatrick G Tommy Fleetwood G Corey Conners G Ryo Hisatsune G Sungjae Im,,Nick Taylor,G,20.83%,79
10,5133563438,ryanhupfer,0,430.5,G Matt Fitzpatrick G Tommy Fleetwood G Si Woo Kim G Gary Woodland G Aldrich Potgieter G Taylor Pendrith,,Tommy Fleetwood,G,16.67%,95
11,5134175802,magic_21,0,424.5,G Rory McIlroy G Chris Gotterup G Maverick McNealy G Sam Stevens G Harry Hall G Bud Cauley,,Si Woo Kim,G,16.67%,60
12,5133189159,cmilly-97,0,422,G Cameron Young G Matt Fitzpatrick G Jordan Spieth G Justin Thomas G Sam Stevens G Matthew McCarty,,Viktor Hovland,G,16.67%,71.5
13,5131749933,American-Dream,0,419,G Cameron Young G Adam Scott G Maverick McNealy G Jordan Spieth G Akshay Bhatia G Sudarshan Yellamaraju,,Akshay Bhatia,G,16.67%,61.5
14,5134272333,darksidefan,0,416.5,G Xander Schauffele G Matt Fitzpatrick G Adam Scott G Alex Smalley G Matthew McCarty G Taylor Pendrith,,Justin Thomas,G,16.67%,80
15,5132490437,Gm0ney720,0,412,G Rory McIlroy G Min Woo Lee G Jordan Spieth G Jacob Bridgeman G Sahith Theegala G Nick Taylor,,Kristoffer Reitan,G,16.67%,124
16,5133592807,aceshigh1973,0,410.5,G Rory McIlroy G Si Woo Kim G Jacob Bridgeman G Ryan Gerard G Nick Taylor G Matthew McCarty,,Taylor Pendrith,G,16.67%,69
17,5132118255,chicagoputz,0,408,G Rory McIlroy G Xander Schauffele G Alex Smalley G Sam Stevens G Nick Taylor G Andrew Novak,,Ludvig Aberg,G,12.50%,85
17,5132723662,jabella72,0,408,G Rory McIlroy G Cameron Young G Justin Rose G Corey Conners G Ryo Hisatsune G Tony Finau,,Rickie Fowler,G,12.50%,105
17,5134161587,concord,0,408,G Rory McIlroy G Matt Fitzpatrick G Justin Thomas G Alex Smalley G Max Homa G Tony Finau,,Adam Scott,G,12.50%,74.5
20,5134021029,cubyblue,0,404.5,G Si Woo Kim G Viktor Hovland G Jordan Spieth G Justin Thomas G Gary Woodland G Max Homa,,Maverick McNealy,G,12.50%,68
21,5132539311,Lumberjac,0,399.5,G Xander Schauffele G Ludvig Aberg G Sepp Straka G Kurt Kitayama G Akshay Bhatia G Sudarshan Yellamaraju,,Sepp Straka,G,12.50%,56
