Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3791180361,cmilly-97,0,432,G Scottie Scheffler G Cameron Smith G Dustin Johnson G Bryson DeChambeau G Denny McCarthy G Sam Bennett,,Xander Schauffele,G,40.00%,79
2,3794149624,darksidefan,0,429,G Scottie Scheffler G Xander Schauffele G Justin Rose G Bryson DeChambeau G Rickie Fowler G Gordon Sargent,,Brooks Koepka,G,35.00%,62
3,3789363193,Jph315,0,401.5,G Scottie Scheffler G Rory McIlroy G Sahith Theegala G Wyndham Clark G Taylor Montgomery G Michael Thorbjornsen,,Dustin Johnson,G,30.00%,74
4,3789473954,gapfaff,0,374,G Xander Schauffele G Hideki Matsuyama G Shane Lowry G Tommy Fleetwood G Justin Rose G Sahith Theegala,,Justin Rose,G,30.00%,28
5,3790064862,ryanhupfer,0,370,G Rory McIlroy G Max Homa G Cameron Smith G Rickie Fowler G Adam Scott G Sebastian Munoz,,Sahith Theegala,G,30.00%,61.5
6,3789318287,AirMOC,0,368.5,G Xander Schauffele G Collin Morikawa G Jordan Spieth G Wyndham Clark G Mito Pereira G Denny McCarthy,,Rickie Fowler,G,30.00%,95.5
7,3790406322,magic_21,0,365.5,G Brooks Koepka G Viktor Hovland G Bryson DeChambeau G Rickie Fowler G Si Woo Kim G Adam Schenk,,Adam Scott,G,30.00%,20.5
8,3791540584,mlewicki,0,365,G Rory McIlroy G Tony Finau G Dustin Johnson G Bryson DeChambeau G Keegan Bradley G Sahith Theegala,,Bryson DeChambeau,G,25.00%,66
9,3789375219,garciar15,0,350.5,G Patrick Cantlay G Xander Schauffele G Tyrrell Hatton G Adam Scott G Min Woo Lee G Romain Langasque,,Scottie Scheffler,G,20.00%,90.5
10,3791992616,jabella72,0,341.5,G Brooks Koepka G Dustin Johnson G Cameron Young G Sahith Theegala G Adam Scott G Keith Mitchell,,Rory McIlroy,G,20.00%,90.5
11,3789331716,American-Dream,0,340,G Brooks Koepka G Max Homa G Justin Rose G Bryson DeChambeau G Rickie Fowler G Eric Cole,,Max Homa,G,20.00%,26
12,3789820943,chicagoputz,0,337.5,G Xander Schauffele G Max Homa G Collin Morikawa G Dustin Johnson G Phil Mickelson G Dylan Wu,,Viktor Hovland,G,15.00%,66.5
13,3794251889,boyewsky,0,336.5,G Brooks Koepka G Viktor Hovland G Justin Rose G Rickie Fowler G Justin Suh G J.T. Poston,,Cameron Smith,G,15.00%,86.5
14,3789698805,belikemike247,0,335.5,G Rory McIlroy G Xander Schauffele G Dustin Johnson G Keegan Bradley G Si Woo Kim G Mito Pereira,,Collin Morikawa,G,10.00%,76
15,3789822297,andcohen2525,0,306,G Brooks Koepka G Xander Schauffele G Hideki Matsuyama G Sahith Theegala G Kurt Kitayama G Pablo Larrazabal,,Justin Thomas,G,10.00%,11.5
16,3789872000,hupfdaddy,0,293,G Viktor Hovland G Xander Schauffele G Sungjae Im G Rickie Fowler G Sepp Straka G Carson Young,,Hideki Matsuyama,G,10.00%,60.5
17,3793821886,JonBuc1,0,282.5,G Scottie Scheffler G Sungjae Im G Justin Rose G Sahith Theegala G Adam Scott G Keith Mitchell,,Sungjae Im,G,10.00%,16.5
18,3794326063,jimm743,0,252,G Brooks Koepka G Cameron Smith G Justin Thomas G Seamus Power G Cameron Davis G Patrick Rodgers,,Keegan Bradley,G,10.00%,20
19,3792203143,cubyblue,0,241,G Jon Rahm G Justin Thomas G Dustin Johnson G Adam Scott G Patrick Reed G Matt Kuchar,,Wyndham Clark,G,10.00%,110
20,3793241328,concord,0,181,G Brooks Koepka G Max Homa G Justin Rose G Adam Scott G Taylor Moore G Chris Kirk,,Keith Mitchell,G,10.00%,65.5
,,,,,,,Si Woo Kim,G,10.00%,51
,,,,,,,Mito Pereira,G,10.00%,21
,,,,,,,Denny McCarthy,G,10.00%,59.5
,,,,,,,Jon Rahm,G,5.00%,69.5
,,,,,,,Patrick Cantlay,G,5.00%,69.5
,,,,,,,Jordan Spieth,G,5.00%,23
,,,,,,,Tyrrell Hatton,G,5.00%,56
,,,,,,,Tony Finau,G,5.00%,53
,,,,,,,Shane Lowry,G,5.00%,56.5
,,,,,,,Cameron Young,G,5.00%,58
,,,,,,,Tommy Fleetwood,G,5.00%,88.5
,,,,,,,Patrick Reed,G,5.00%,48.5
,,,,,,,Taylor Montgomery,G,5.00%,28
,,,,,,,Taylor Moore,G,5.00%,22.5
,,,,,,,Seamus Power,G,5.00%,20
,,,,,,,Cameron Davis,G,5.00%,12.5
,,,,,,,Chris Kirk,G,5.00%,22
,,,,,,,Justin Suh,G,5.00%,63.5
,,,,,,,Sepp Straka,G,5.00%,21
,,,,,,,Eric Cole,G,5.00%,62.5
,,,,,,,Phil Mickelson,G,5.00%,26
,,,,,,,Min Woo Lee,G,5.00%,81
,,,,,,,Matt Kuchar,G,5.00%,17
,,,,,,,Carson Young,G,5.00%,14.5
,,,,,,,Patrick Rodgers,G,5.00%,59.5
,,,,,,,Kurt Kitayama,G,5.00%,23
,,,,,,,J.T. Poston,G,5.00%,21
,,,,,,,Sebastian Munoz,G,5.00%,51
,,,,,,,Romain Langasque,G,5.00%,44.5
,,,,,,,Sam Bennett,G,5.00%,55.5
,,,,,,,Dylan Wu,G,5.00%,56.5
,,,,,,,Michael Thorbjornsen,G,5.00%,21
,,,,,,,Gordon Sargent,G,5.00%,70
,,,,,,,Pablo Larrazabal,G,5.00%,20
,,,,,,,Adam Schenk,G,5.00%,24.5
