Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3104700607,arob92,0,473.5,G Dustin Johnson G Will Zalatoris G Justin Rose G Lanto Griffin G Francesco Molinari G Cameron Davis,,Justin Rose,G,40.91%,97
2,3104017498,garciar15,0,464.0,G Bryson DeChambeau G Will Zalatoris G Justin Rose G Billy Horschel G Joaquin Niemann G Jhonattan Vegas,,Luke List,G,31.82%,120
3,3103656810,chicagoputz,0,456.5,G Daniel Berger G Sungjae Im G Maverick McNealy G Luke List G Tom Hoge G Mito Pereira,,Jon Rahm,G,27.27%,111.5
4,3104639095,jabella72,0,454.5,G Daniel Berger G Scottie Scheffler G Sungjae Im G Billy Horschel G Taylor Moore G Sahith Theegala,,Will Zalatoris,G,27.27%,111.5
5,3103353004,jakinnamon1221,0,443.5,G Xander Schauffele G Bryson DeChambeau G Justin Rose G Luke List G Gary Woodland G J.J. Spaun,,Tony Finau,G,27.27%,30
6,3103355071,hupfdaddy,0,438.0,G Daniel Berger G Talor Gooch G Billy Horschel G Si Woo Kim G Mackenzie Hughes G Lanto Griffin,,Francesco Molinari,G,27.27%,67.5
7,3103853899,jimm743,0,400.5,G Justin Thomas G Will Zalatoris G Joaquin Niemann G Francesco Molinari G Keith Mitchell G Patrick Rodgers,,Billy Horschel,G,22.73%,96.5
8,3104857163,belikemike247,0,394.5,G Jon Rahm G Patrick Reed G Justin Rose G Lanto Griffin G Francesco Molinari G Patton Kizzire,,Tom Hoge,G,22.73%,27
9,3103601709,mlewicki,0,388.5,G Jon Rahm G Will Zalatoris G Ryan Palmer G Lanto Griffin G Lee Hodges G Nick Hardy,,Sam Burns,G,18.18%,31
10,3103553837,JonBuc1,0,387.5,G Jon Rahm G Xander Schauffele G Luke List G Aaron Wise G Patrick Rodgers G Jason Dufner,,Max Homa,G,18.18%,32
11,3103714314,boyewsky,0,386.0,G Jon Rahm G Talor Gooch G Max Homa G Mito Pereira G Patrick Rodgers G Joseph Bramlett,,Hideki Matsuyama,G,13.64%,76.5
12,3104882038,American-Dream,0,377.5,G Jon Rahm G Tony Finau G Justin Rose G Si Woo Kim G Francesco Molinari G J.T. Poston,,Xander Schauffele,G,13.64%,76.5
13,3103388493,re_wcb,0,338.5,G Jordan Spieth G Tony Finau G Patrick Reed G Justin Rose G Billy Horschel G Michael Thompson,,Daniel Berger,G,13.64%,85
14,3103622900,concord,0,330.0,G Hideki Matsuyama G Sungjae Im G Joaquin Niemann G Lanto Griffin G Brandt Snedeker G Adam Hadwin,,Bryson DeChambeau,G,13.64%,32
15,3103360952,Syvretzky,0,321.0,G Sam Burns G Will Zalatoris G Tony Finau G Luke List G Aaron Wise G J.J. Spaun,,Sungjae Im,G,13.64%,94
16,3104726417,AndyRue5,0,316.5,G Bryson DeChambeau G Sam Burns G Max Homa G Justin Rose G Luke List G Sahith Theegala,,Joaquin Niemann,G,13.64%,97
17,3103635280,Jph315,0,305.5,G Jon Rahm G Tony Finau G Justin Rose G Francesco Molinari G Tom Hoge G Joseph Bramlett,,Patrick Rodgers,G,13.64%,67.5
17,3103293264,cubyblue,0,305.5,G Justin Thomas G Xander Schauffele G Lanto Griffin G Tom Hoge G Hudson Swafford G Cameron Young,,Sahith Theegala,G,13.64%,85.5
19,3103520145,gapfaff,0,300.5,G Dustin Johnson G Tony Finau G Christiaan Bezuidenhout G Luke List G Tom Hoge G Rickie Fowler,,Justin Thomas,G,9.09%,91.5
20,3103321204,rhup,0,217,G Hideki Matsuyama G Tony Finau G Max Homa G Francesco Molinari G Tom Hoge G Sahith Theegala,,Dustin Johnson,G,9.09%,78
21,3104583021,darksidefan,0,179.5,G Hideki Matsuyama G Sam Burns G Max Homa G Billy Horschel G Vincent Whaley G Henrik Norlander,,Talor Gooch,G,9.09%,85
,,,,,,,Patrick Reed,G,9.09%,67.5
,,,,,,,Si Woo Kim,G,9.09%,89.5
,,,,,,,Aaron Wise,G,9.09%,32
,,,,,,,Mito Pereira,G,9.09%,77.5
,,,,,,,J.J. Spaun,G,9.09%,76.5
,,,,,,,Joseph Bramlett,G,9.09%,63.5
,,,,,,,Scottie Scheffler,G,4.55%,85.5
,,,,,,,Jordan Spieth,G,4.55%,22
,,,,,,,Christiaan Bezuidenhout,G,4.55%,70
,,,,,,,Maverick McNealy,G,4.55%,93
,,,,,,,Ryan Palmer,G,4.55%,84.5
,,,,,,,Keegan Bradley,G,4.55%,64
,,,,,,,Mackenzie Hughes,G,4.55%,36
,,,,,,,Keith Mitchell,G,4.55%,30
,,,,,,,Brandt Snedeker,G,4.55%,35
,,,,,,,Jhonattan Vegas,G,4.55%,71
,,,,,,,Gary Woodland,G,4.55%,72.5
,,,,,,,Cameron Davis,G,4.55%,73.5
,,,,,,,Adam Hadwin,G,4.55%,20.5
,,,,,,,Hudson Swafford,G,4.55%,26
,,,,,,,Rickie Fowler,G,4.55%,37.5
,,,,,,,Michael Thompson,G,4.55%,93
,,,,,,,Lee Hodges,G,4.55%,28
,,,,,,,Taylor Moore,G,4.55%,34.5
,,,,,,,Patton Kizzire,G,4.55%,33.5
,,,,,,,Vincent Whaley,G,4.55%,35
,,,,,,,Henrik Norlander,G,4.55%,33.5
,,,,,,,Nick Hardy,G,4.55%,30.5
,,,,,,,Cameron Young,G,4.55%,88
,,,,,,,J.T. Poston,G,4.55%,26.5
,,,,,,,Jason Dufner,G,4.55%,31
