Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3692620451,cubyblue,0,407,G Jordan Spieth G Sam Burns G Erik Van Rooyen G Webb Simpson G Joseph Bramlett G Trey Mullinax,,Adam Hadwin,G,55.00%,26
2,3692209263,magic_21,0,402,G Tommy Fleetwood G Denny McCarthy G Maverick McNealy G Nick Taylor G Sam Ryder G David Lingmerth,,Sam Burns,G,30.00%,82
3,3690746669,AirMOC,0,376.5,G Jordan Spieth G Adam Hadwin G Wyndham Clark G Byeong Hun An G Dylan Wu G Lucas Glover,,Eric Cole,G,25.00%,24
4,3691611962,gapfaff,0,375,G Tommy Fleetwood G Denny McCarthy G Adam Hadwin G Webb Simpson G Eric Cole G Adam Schenk,,Justin Thomas,G,25.00%,71
5,3692912447,JonBuc1,0,358.5,G Sam Burns G Adam Hadwin G Kyoung-Hoon Lee G Byeong Hun An G Sam Ryder G David Lingmerth,,Dylan Wu,G,25.00%,52
6,3692802126,darksidefan,0,351,G Adam Hadwin G Justin Suh G Ben Griffin G Taylor Moore G Joel Dahmen G Will Gordon,,Jordan Spieth,G,25.00%,96
7,3691301708,ryanhupfer,0,340.5,G Justin Thomas G Sam Burns G Byeong Hun An G Adam Schenk G Mark Hubbard G Carson Young,,Justin Suh,G,20.00%,55
8,3690967289,concord,0,337.5,G Justin Thomas G Denny McCarthy G Stephan Jaeger G Nate Lashley G Sam Ryder G Seonghyeon Kim,,Byeong Hun An,G,20.00%,48.5
9,3691066731,belikemike247,0,324.5,G Justin Thomas G Jordan Spieth G Ludvig Aberg G Akshay Bhatia G Carson Young G Andrew Novak,,Denny McCarthy,G,20.00%,62
10,3690876233,jabella72,0,311,G Tommy Fleetwood G Denny McCarthy G Byeong Hun An G Jhonattan Vegas G Nate Lashley G Sam Ryder,,Sam Ryder,G,20.00%,66.5
11,3692894803,Jph315,0,309.5,G Justin Thomas G Adam Hadwin G Kyoung-Hoon Lee G Nick Taylor G Joel Dahmen G Zach Johnson,,Akshay Bhatia,G,20.00%,28
12,3691153341,hupfdaddy,0,306,G Sam Burns G Gary Woodland G Taylor Moore G Akshay Bhatia G Tyler Duncan G Carson Young,,Wyndham Clark,G,15.00%,90.5
13,3690534591,chicagoputz,0,298.5,G Justin Thomas G Adam Hadwin G J.T. Poston G Garrick Higgo G Eric Cole G Dylan Wu,,Tommy Fleetwood,G,15.00%,90
14,3691644773,cmilly-97,0,279,G Jordan Spieth G Davis Riley G Brandon Wu G Victor Perez G Kevin Kisner G Stewart Cink,,Nate Lashley,G,15.00%,22.5
15,3690376256,American-Dream,0,278.5,G Adam Hadwin G Justin Suh G Wyndham Clark G Ben Griffin G Pierceson Coody G Eric Cole,,Carson Young,G,15.00%,17
15,3692720924,garciar15,0,278.5,G Jordan Spieth G Adam Hadwin G Victor Perez G Joel Dahmen G Akshay Bhatia G Eric Cole,,Victor Perez,G,15.00%,54.5
17,3690872845,jimm743,0,262,G Sam Burns G Adam Hadwin G Brandon Wu G Stephan Jaeger G Ben Taylor G Patrick Rodgers,,Joel Dahmen,G,15.00%,50
18,3692693755,boyewsky,0,259.5,G Sam Burns G Adam Hadwin G Justin Suh G Robby Shelton G Eric Cole G Dylan Wu,,Ben Griffin,G,10.00%,51.5
19,3691603785,andcohen2525,0,245.5,G Keegan Bradley G Adam Hadwin G Wyndham Clark G Victor Perez G Nate Lashley G Dylan Wu,,Brandon Wu,G,10.00%,16
20,3692922562,mlewicki,0,242.5,G Matt Fitzpatrick G Justin Rose G Justin Suh G Akshay Bhatia G Ben Taylor G Dylan Wu,,Stephan Jaeger,G,10.00%,57.5
,,,,,,,Ben Taylor,G,10.00%,20.5
,,,,,,,Taylor Moore,G,10.00%,103.5
,,,,,,,Adam Schenk,G,10.00%,93.5
,,,,,,,Webb Simpson,G,10.00%,79.5
,,,,,,,Nick Taylor,G,10.00%,69.5
,,,,,,,David Lingmerth,G,10.00%,56
,,,,,,,Kyoung-Hoon Lee,G,10.00%,79.5
,,,,,,,Pierceson Coody,G,5.00%,31.5
,,,,,,,J.T. Poston,G,5.00%,71.5
,,,,,,,Garrick Higgo,G,5.00%,54
,,,,,,,Lucas Glover,G,5.00%,63.5
,,,,,,,Patrick Rodgers,G,5.00%,60
,,,,,,,Jhonattan Vegas,G,5.00%,21.5
,,,,,,,Seonghyeon Kim,G,5.00%,58
,,,,,,,Ludvig Aberg,G,5.00%,52
,,,,,,,Andrew Novak,G,5.00%,60.5
,,,,,,,Gary Woodland,G,5.00%,53.5
,,,,,,,Tyler Duncan,G,5.00%,22
,,,,,,,Mark Hubbard,G,5.00%,28.5
,,,,,,,Keegan Bradley,G,5.00%,0
,,,,,,,Davis Riley,G,5.00%,67
,,,,,,,Kevin Kisner,G,5.00%,22
,,,,,,,Stewart Cink,G,5.00%,23.5
,,,,,,,Maverick McNealy,G,5.00%,58
,,,,,,,Erik Van Rooyen,G,5.00%,64.5
,,,,,,,Joseph Bramlett,G,5.00%,62.5
,,,,,,,Trey Mullinax,G,5.00%,22.5
,,,,,,,Robby Shelton,G,5.00%,20.5
,,,,,,,Will Gordon,G,5.00%,65
,,,,,,,Zach Johnson,G,5.00%,13.5
,,,,,,,Matt Fitzpatrick,G,5.00%,29
,,,,,,,Justin Rose,G,5.00%,58
