Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5058935233,brotherjonas,0,501.5,G Cameron Young G Ben Griffin G Rickie Fowler G Nicolai Hojgaard G Patrick Rodgers G Ryo Hisatsune,,Cameron Young,G,29.17%,68.5
2,5059306461,Gm0ney720,0,496.5,G Cameron Young G Jake Knapp G Chris Gotterup G Sepp Straka G Rasmus Hojgaard G Hao-Tong Li,,Si Woo Kim,G,25.00%,113
3,5058750437,snyde167,0,493,G Hideki Matsuyama G Jake Knapp G Brooks Koepka G Chris Gotterup G Matthew McCarty G Ryo Hisatsune,,Hideki Matsuyama,G,25.00%,113
4,5059061034,gapfaff,0,480,G Si Woo Kim G Harris English G Chris Gotterup G Nick Taylor G Matthew McCarty G Keith Mitchell,,Maverick McNealy,G,25.00%,89
5,5058725504,American-Dream,0,472,G Si Woo Kim G Maverick McNealy G Brooks Koepka G Chris Gotterup G Tony Finau G Ryo Hisatsune,,Nick Taylor,G,25.00%,72.5
6,5060593185,Knock0ut12,0,470.5,G Si Woo Kim G Hideki Matsuyama G Maverick McNealy G Nick Taylor G Keith Mitchell G Danny Walker,,Joel Dahmen,G,25.00%,31.5
7,5058874184,hupfdaddy,0,469,G Xander Schauffele G Hideki Matsuyama G Viktor Hovland G Max Homa G Kristoffer Reitan G Zachary Bauchou,,Scottie Scheffler,G,20.83%,113
8,5058739921,aceshigh1973,0,455,G Si Woo Kim G Maverick McNealy G Pierceson Coody G Nicolai Hojgaard G Hao-Tong Li G Tom Hoge,,Sam Burns,G,20.83%,23
9,5060444787,darksidefan,0,435,G Si Woo Kim G Rickie Fowler G Jake Knapp G Jordan Spieth G Hao-Tong Li G Ryan Fox,,Brooks Koepka,G,20.83%,23.5
10,5060642649,boyewsky,0,434.5,G Si Woo Kim G Hideki Matsuyama G Sahith Theegala G Jordan Spieth G Daniel Berger G Adam Schenk,,Chris Gotterup,G,20.83%,130.5
11,5059920536,JonBuc1,0,434,G Scottie Scheffler G Daniel Berger G Max McGreevy G Stephan Jaeger G Joel Dahmen G Seonghyeon Kim,,Jake Knapp,G,16.67%,105.5
12,5059739590,cmilly-97,0,416.5,G Scottie Scheffler G Nick Taylor G Michael Kim G Ryo Hisatsune G Joel Dahmen G Tom Hoge,,Sahith Theegala,G,16.67%,87.5
13,5060679190,NPitz14,0,411.5,G Cameron Young G Sam Burns G Maverick McNealy G Pierceson Coody G Jacob Bridgeman G Tom Kim,,Daniel Berger,G,16.67%,76.5
14,5059042412,magic_21,0,395.5,G Xander Schauffele G Cameron Young G Harry Hall G Keith Mitchell G Sam Stevens G Mac Meissner,,Hao-Tong Li,G,16.67%,28.5
15,5059123578,jabella72,0,393.5,G Scottie Scheffler G Daniel Berger G Andrew Novak G John Keefer G Stephan Jaeger G Tom Hoge,,Keith Mitchell,G,16.67%,65
16,5060045540,ryanhupfer,0,385.5,G Hideki Matsuyama G Sam Burns G Sahith Theegala G Nick Taylor G Keith Mitchell G Christiaan Bezuidenhout,,Ryo Hisatsune,G,16.67%,93.5
17,5059185666,chicagoputz,0,368.5,G Cameron Young G Maverick McNealy G Sahith Theegala G Nick Taylor G Hao-Tong Li G Andrew Novak,,Tom Hoge,G,16.67%,26
18,5059082900,holth,0,361.5,G Cameron Young G Hideki Matsuyama G Jake Knapp G Brooks Koepka G Joel Dahmen G Adam Schenk,,Xander Schauffele,G,12.50%,76.5
19,5058727025,VOODOG23,0,358,G Scottie Scheffler G Chris Gotterup G Andrew Novak G Joel Dahmen G Tom Hoge G Matthieu Pavon,,Rickie Fowler,G,12.50%,83
20,5059151437,Lumberjac,0,342,G Cameron Young G Sam Burns G Brooks Koepka G Nick Taylor G Sam Stevens G John Keefer,,Jordan Spieth,G,12.50%,25
21,5060552100,concord,0,326.5,G Sam Burns G Maverick McNealy G Sahith Theegala G Corey Conners G Matthew McCarty G Daniel Berger,,Matthew McCarty,G,12.50%,27
22,5058853148,Jph315,0,306,G Xander Schauffele G Rickie Fowler G Brooks Koepka G Jordan Spieth G Joel Dahmen G Seonghyeon Kim,,Andrew Novak,G,12.50%,22.5
23,5058831498,cairnssj,0,281,G Scottie Scheffler G Collin Morikawa G Christiaan Bezuidenhout G Joel Dahmen G Austin Smotherman G Adam Schenk,,Adam Schenk,G,12.50%,19.5
24,5060599540,cubyblue,0,234,G Sam Burns G Viktor Hovland G Max Homa G Tony Finau G Chris Kirk G Eric Cole,,Viktor Hovland,G,8.33%,90.5
,,,,,,,Pierceson Coody,G,8.33%,86.5
,,,,,,,Nicolai Hojgaard,G,8.33%,112
,,,,,,,Max Homa,G,8.33%,55
,,,,,,,Christiaan Bezuidenhout,G,8.33%,24.5
,,,,,,,Sam Stevens,G,8.33%,76.5
,,,,,,,Tony Finau,G,8.33%,22.5
,,,,,,,John Keefer,G,8.33%,78
,,,,,,,Stephan Jaeger,G,8.33%,77.5
,,,,,,,Seonghyeon Kim,G,8.33%,66.5
,,,,,,,Ben Griffin,G,4.17%,71.5
,,,,,,,Harris English,G,4.17%,72
,,,,,,,Collin Morikawa,G,4.17%,60.5
,,,,,,,Harry Hall,G,4.17%,24
,,,,,,,Corey Conners,G,4.17%,23.5
,,,,,,,Sepp Straka,G,4.17%,81
,,,,,,,Rasmus Hojgaard,G,4.17%,82.5
,,,,,,,Patrick Rodgers,G,4.17%,73
,,,,,,,Michael Kim,G,4.17%,80
,,,,,,,Jacob Bridgeman,G,4.17%,75.5
,,,,,,,Max McGreevy,G,4.17%,69
,,,,,,,Kristoffer Reitan,G,4.17%,67.5
,,,,,,,Chris Kirk,G,4.17%,25
,,,,,,,Eric Cole,G,4.17%,18
,,,,,,,Mac Meissner,G,4.17%,85
,,,,,,,Ryan Fox,G,4.17%,80
,,,,,,,Tom Kim,G,4.17%,69
,,,,,,,Austin Smotherman,G,4.17%,32
,,,,,,,Matthieu Pavon,G,4.17%,34.5
,,,,,,,Zachary Bauchou,G,4.17%,66.5
,,,,,,,Danny Walker,G,4.17%,18
