Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3215607453,cubyblue,0,412.5,G Tyrrell Hatton G Max Homa G Cameron Young G Matt Kuchar G Joel Dahmen G Peter Malnati,,Corey Conners,G,42.86%,55
2,3214805314,jakinnamon1221,0,395.5,G Corey Conners G Max Homa G Si Woo Kim G Cameron Young G Keith Mitchell G Austin Smotherman,,Cameron Young,G,42.86%,92
3,3213215232,JonBuc1,0,379,G Matt Fitzpatrick G Max Homa G Cameron Young G Matt Kuchar G Keith Mitchell G Sepp Straka,,Keith Mitchell,G,38.10%,23
4,3212854412,jabella72,0,372,G Matt Fitzpatrick G Gary Woodland G Jason Day G Joel Dahmen G Lanto Griffin G C.T. Pan,,Sepp Straka,G,38.10%,23
5,3212312283,Jph315,0,369.5,G Rory McIlroy G Tyrrell Hatton G Joel Dahmen G Russell Knox G Denny McCarthy G Luke Donald,,Sergio Garcia,G,33.33%,66
6,3212490531,Syvretzky,0,349.5,G Russell Henley G Max Homa G Si Woo Kim G Cameron Young G Keith Mitchell G Matt Jones,,Russell Henley,G,28.57%,50.5
7,3213138579,garciar15,0,336,G Matt Fitzpatrick G Sergio Garcia G Seamus Power G Doug Ghim G Brian Harman G Anirban Lahiri,,Max Homa,G,28.57%,110
8,3212287463,re_wcb,0,326.5,G Corey Conners G Sergio Garcia G Cameron Young G Jhonattan Vegas G Keith Mitchell G Sepp Straka,,Si Woo Kim,G,19.05%,51
9,3215686709,boyewsky,0,325.5,G Corey Conners G Keegan Bradley G Seamus Power G Cameron Young G Martin Laird G Sung Kang,,Seamus Power,G,19.05%,25
10,3215435027,rhup,0,306.5,G Russell Henley G Paul Casey G Sergio Garcia G Max Homa G Keith Mitchell G Ryan Armour,,Matt Kuchar,G,19.05%,49.5
11,3212672567,mlewicki,0,291.5,G Marc Leishman G Si Woo Kim G Jason Day G Webb Simpson G Cameron Young G Sepp Straka,,Matt Fitzpatrick,G,14.29%,81.5
12,3215692206,concord,0,285,G Rory McIlroy G Corey Conners G Seamus Power G Martin Laird G Peter Malnati G Wesley Bryan,,Tyrrell Hatton,G,14.29%,56.5
13,3212822430,belikemike247,0,273.5,G Corey Conners G Sergio Garcia G Si Woo Kim G Keith Mitchell G Sepp Straka G Denny McCarthy,,Gary Woodland,G,14.29%,18.5
14,3212903791,chicagoputz,0,268.5,G Gary Woodland G Patrick Reed G Sergio Garcia G Cameron Young G Doug Ghim G Dylan Frittelli,,Doug Ghim,G,14.29%,25
15,3212350395,AndyRue5,0,265,G Abraham Ancer G Paul Casey G Max Homa G Webb Simpson G Brian Harman G Charley Hoffman,,Joel Dahmen,G,14.29%,53.5
16,3213409422,hupfdaddy,0,258,G Corey Conners G Russell Henley G Cameron Young G Keith Mitchell G Sepp Straka G Lucas Glover,,Troy Merritt,G,14.29%,54
17,3213261997,jimm743,0,255.5,G Russell Henley G Gary Woodland G Sergio Garcia G Matt Kuchar G Troy Merritt G Beau Hossler,,Rory McIlroy,G,9.52%,83
18,3215097741,darksidefan,0,248.5,G Corey Conners G Russell Henley G Sergio Garcia G Sepp Straka G Troy Merritt G Sam Ryder,,Marc Leishman,G,9.52%,32.5
19,3215086286,andcohen2525,0,238.5,G Corey Conners G Marc Leishman G Russell Henley G Troy Merritt G Beau Hossler G Cameron Percy,,Patrick Reed,G,9.52%,16
20,3213192309,gapfaff,0,225.5,G Tyrrell Hatton G Patrick Reed G Aaron Rai G Keith Mitchell G Sepp Straka G Lanto Griffin,,Paul Casey,G,9.52%,0
21,3212297229,American-Dream,0,205,G Corey Conners G Seamus Power G Matt Kuchar G Aaron Rai G Doug Ghim G Sepp Straka,,Jason Day,G,9.52%,72
,,,,,,,Webb Simpson,G,9.52%,21
,,,,,,,Aaron Rai,G,9.52%,27.5
,,,,,,,Brian Harman,G,9.52%,64.5
,,,,,,,Lanto Griffin,G,9.52%,79.5
,,,,,,,Denny McCarthy,G,9.52%,55.5
,,,,,,,Beau Hossler,G,9.52%,17
,,,,,,,Martin Laird,G,9.52%,40.5
,,,,,,,Peter Malnati,G,9.52%,51
,,,,,,,Abraham Ancer,G,4.76%,38.5
,,,,,,,Keegan Bradley,G,4.76%,95
,,,,,,,Jhonattan Vegas,G,4.76%,67.5
,,,,,,,Matt Jones,G,4.76%,23
,,,,,,,C.T. Pan,G,4.76%,67
,,,,,,,Anirban Lahiri,G,4.76%,74
,,,,,,,Dylan Frittelli,G,4.76%,51
,,,,,,,Russell Knox,G,4.76%,55
,,,,,,,Lucas Glover,G,4.76%,14.5
,,,,,,,Sung Kang,G,4.76%,18
,,,,,,,Ryan Armour,G,4.76%,57
,,,,,,,Sam Ryder,G,4.76%,0
,,,,,,,Austin Smotherman,G,4.76%,64.5
,,,,,,,Charley Hoffman,G,4.76%,31
,,,,,,,Luke Donald,G,4.76%,66
,,,,,,,Wesley Bryan,G,4.76%,30.5
,,,,,,,Cameron Percy,G,4.76%,29.5
