Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3119978838,mlewicki,0,512.5,G Hideki Matsuyama G Xander Schauffele G Billy Horschel G Max Homa G Gary Woodland G Francesco Molinari,,Viktor Hovland,G,36.36%,28
2,3122247227,re_wcb,0,500,G Hideki Matsuyama G Matt Fitzpatrick G Adam Scott G Luke List G Keith Mitchell G Keegan Bradley,,Russell Henley,G,31.82%,77
3,3120309384,chicagoputz,0,490.5,G Jordan Spieth G Scottie Scheffler G Russell Henley G Talor Gooch G Luke List G Russell Knox,,Jordan Spieth,G,27.27%,63
4,3121123128,rhup,0,481,G Xander Schauffele G Sam Burns G Matt Fitzpatrick G Abraham Ancer G Max Homa G Sebastian Munoz,,Xander Schauffele,G,27.27%,111.5
5,3120264931,jimm743,0,477,G Xander Schauffele G Brooks Koepka G Russell Henley G Abraham Ancer G Keith Mitchell G Pat Perez,,Justin Thomas,G,22.73%,88
6,3121130648,arob92,0,475.5,G Viktor Hovland G Scottie Scheffler G Matt Fitzpatrick G Talor Gooch G Si Woo Kim G Doug Ghim,,Hideki Matsuyama,G,22.73%,103
7,3120702975,jakinnamon1221,0,420.5,G Justin Thomas G Scottie Scheffler G Russell Henley G Luke List G Pat Perez G Wyndham Clark,,Abraham Ancer,G,22.73%,62
8,3120337318,cubyblue,0,413.5,G Jon Rahm G Xander Schauffele G Max Homa G Rickie Fowler G Mito Pereira G Joseph Bramlett,,Scottie Scheffler,G,18.18%,130.5
9,3119992043,gapfaff,0,391.5,G Jordan Spieth G Sam Burns G Russell Henley G Abraham Ancer G Si Woo Kim G Carlos Ortiz,,Talor Gooch,G,18.18%,80.5
10,3120459180,hupfdaddy,0,374.5,G Viktor Hovland G Xander Schauffele G Bubba Watson G Abraham Ancer G Mito Pereira G Austin Eckroat,,Rickie Fowler,G,18.18%,37
11,3119944227,belikemike247,0,370,G Jon Rahm G Justin Thomas G Keegan Bradley G Aaron Wise G Troy Merritt G Preston Summerhays,,Aaron Wise,G,18.18%,23
12,3122385351,concord,0,348,G Hideki Matsuyama G Daniel Berger G Russell Henley G Talor Gooch G Charles Howell III G Pat Perez,,Mito Pereira,G,18.18%,27
13,3121033768,garciar15,0,342.5,G Justin Thomas G Hideki Matsuyama G Abraham Ancer G Rickie Fowler G Chez Reavie G Scott Piercy,,Jon Rahm,G,13.64%,90.5
14,3120291677,andcohen2525,0,340.5,G Jordan Spieth G Xander Schauffele G Daniel Berger G Andrew Putnam G Adam Hadwin G Matthew NeSmith,,Sam Burns,G,13.64%,33
15,3120106464,Syvretzky,0,338,G Viktor Hovland G Jordan Spieth G Scottie Scheffler G Aaron Wise G Branden Grace G Wyndham Clark,,Daniel Berger,G,13.64%,29
16,3122357607,AndyRue5,0,335,G Viktor Hovland G Sam Burns G Louis Oosthuizen G Russell Henley G Adam Hadwin G Matthew NeSmith,,Matt Fitzpatrick,G,13.64%,96
17,3120623612,JonBuc1,0,311,G Viktor Hovland G Bubba Watson G Webb Simpson G Rickie Fowler G Kevin Kisner G Keegan Bradley,,Luke List,G,13.64%,62
17,3121505062,darksidefan,0,311,G Viktor Hovland G Jordan Spieth G Talor Gooch G Andrew Putnam G Keith Mitchell G Aaron Wise,,Max Homa,G,13.64%,87.5
19,3122429299,boyewsky,0,289,G Hideki Matsuyama G Daniel Berger G Seamus Power G Russell Henley G Aaron Wise G Wyndham Clark,,Andrew Putnam,G,13.64%,29.5
20,3120293858,jabella72,0,288.5,G Justin Thomas G Viktor Hovland G Matt Kuchar G Joel Dahmen G Mito Pereira G Troy Merritt,,Keith Mitchell,G,13.64%,87
