Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5208958201,JonBuc1,0,544,G Jackson Koivun G Justin Thomas G Michael Brennan G Christiaan Bezuidenhout G Chris Kirk G Zachary Bauchou,,Blades Brown,G,45.45%,23.5
2,5207808575,snyde167,0,542.5,G Hideki Matsuyama G Justin Thomas G Brooks Koepka G Jordan Spieth G Alex Noren G Tom Hoge,,Cameron Young,G,40.91%,69
3,5208077350,holth,0,505.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Blades Brown G Sungjae Im G Matthew McCarty,,Hideki Matsuyama,G,40.91%,111
4,5208583298,Gm0ney720,0,498.5,G Hideki Matsuyama G Tom Kim G Ben Griffin G Sungjae Im G Sahith Theegala G Tony Finau,,Ryan Gerard,G,31.82%,32
5,5209772662,concord,0,465.5,G Tom Kim G Aaron Rai G Alex Fitzpatrick G Keith Mitchell G Alex Smalley G J.T. Poston,,Justin Thomas,G,27.27%,91
6,5207896452,cairnssj,0,462.5,G Hideki Matsuyama G Tom Kim G Aaron Rai G Sungjae Im G J.T. Poston G Emiliano Grillo,,Tom Kim,G,22.73%,105
7,5209604680,Lumberjac,0,440,G Tom Kim G Maverick McNealy G Aaron Rai G Blades Brown G Ben Kohles G Chris Kirk,,Davis Thompson,G,22.73%,93.5
8,5209853491,Knock0ut12,0,423,G Cameron Young G Hideki Matsuyama G Keith Mitchell G J.T. Poston G Max Greyserman G Michael Kim,,Sungjae Im,G,22.73%,99
9,5207839026,Jph315,0,408.5,G Hideki Matsuyama G Justin Thomas G Alex Fitzpatrick G Blades Brown G Eric Cole G Zac Blair,,J.T. Poston,G,22.73%,26.5
10,5209778629,gapfaff,0,406,G Justin Thomas G Ryan Gerard G Davis Thompson G Mac Meissner G Keith Mitchell G Thorbj?rn Olesen,,Aaron Rai,G,18.18%,84
11,5207813183,jabella72,0,403.5,G Cameron Young G Hideki Matsuyama G Brian Harman G Emiliano Grillo G Nick Taylor G Denny McCarthy,,Keith Mitchell,G,18.18%,83.5
12,5209819057,NPitz14,0,396.5,G Cameron Young G Jackson Koivun G Blades Brown G Jordan L. Smith G Chris Kirk G Kris Ventura,,Ben Kohles,G,18.18%,72.5
13,5207790676,American-Dream,0,394.5,G Cameron Young G Hideki Matsuyama G Blades Brown G Jordan L. Smith G J.T. Poston G Bud Cauley,,Emiliano Grillo,G,18.18%,37
14,5209658873,aceshigh1973,0,393,G Cameron Young G Alex Fitzpatrick G Keith Mitchell G Blades Brown G Ben Kohles G Christiaan Bezuidenhout,,Ben Griffin,G,13.64%,29
15,5207836106,brotherjonas,0,390.5,G Cameron Young G Justin Thomas G Davis Thompson G J.T. Poston G Jackson Suber G Zac Blair,,Alex Fitzpatrick,G,13.64%,71
16,5208958953,ryanhupfer,0,390,G Cameron Young G Ryan Gerard G Davis Thompson G Alex Smalley G Emiliano Grillo G Lee Hodges,,Brooks Koepka,G,13.64%,63.5
17,5207821360,chicagoputz,0,379.5,G Hideki Matsuyama G Ryan Gerard G Brian Harman G Blades Brown G Alex Smalley G Rasmus H?jgaard,,Brian Harman,G,13.64%,40
18,5209740985,boyewsky,0,379,G Cameron Young G Ben Griffin G Davis Thompson G Blades Brown G Emiliano Grillo G Beau Hossler,,Jordan Spieth,G,13.64%,91
19,5209559488,cmilly-97,0,372.5,G Justin Thomas G Ryan Gerard G Brooks Koepka G Jordan Spieth G Bud Cauley G Ryo Hisatsune,,Alex Smalley,G,13.64%,95.5
20,5208660013,magic_21,0,359,G Ryan Gerard G Brooks Koepka G Harris English G Brian Harman G Jordan Spieth G Sungjae Im,,Chris Kirk,G,13.64%,67
21,5209906380,darksidefan,0,349.5,G Ryan Gerard G Ben Griffin G Davis Thompson G Blades Brown G Sungjae Im G Ben Kohles,,Bud Cauley,G,13.64%,66.5
22,5207830079,VOODOG23,0,292,G Cameron Young G Ryan Gerard G Blades Brown G Ben Kohles G Bud Cauley G Ryo Hisatsune,,Jackson Koivun,G,9.09%,71.5
,,,,,,,Jordan L. Smith,G,9.09%,98
,,,,,,,Christiaan Bezuidenhout,G,9.09%,73.5
,,,,,,,Ryo Hisatsune,G,9.09%,28.5
,,,,,,,Zac Blair,G,9.09%,30.5
,,,,,,,Maverick McNealy,G,4.55%,88
,,,,,,,Michael Brennan,G,4.55%,142.5
,,,,,,,Harris English,G,4.55%,33.5
,,,,,,,Mac Meissner,G,4.55%,32.5
,,,,,,,Alex Noren,G,4.55%,98.5
,,,,,,,Rasmus H?jgaard,G,4.55%,77.5
,,,,,,,Eric Cole,G,4.55%,81.5
,,,,,,,Max Greyserman,G,4.55%,63
,,,,,,,Michael Kim,G,4.55%,70
,,,,,,,Sahith Theegala,G,4.55%,86
,,,,,,,Nick Taylor,G,4.55%,72
,,,,,,,Denny McCarthy,G,4.55%,74.5
,,,,,,,Jackson Suber,G,4.55%,80
,,,,,,,Tony Finau,G,4.55%,68.5
,,,,,,,Zachary Bauchou,G,4.55%,98.5
,,,,,,,Lee Hodges,G,4.55%,63
,,,,,,,Beau Hossler,G,4.55%,127
,,,,,,,Matthew McCarty,G,4.55%,83
,,,,,,,Thorbj?rn Olesen,G,4.55%,73.5
,,,,,,,Kris Ventura,G,4.55%,67.5
,,,,,,,Tom Hoge,G,4.55%,87.5
