Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5119509946,brotherjonas,0,721.5,G Brooks Koepka G Ben Griffin G Kris Ventura G Erik Van Rooyen G William Mouw G Billy Horschel,,Brooks Koepka,G,50.00%,51.5
2,5121229504,concord,0,669,G Sahith Theegala G Max Greyserman G Seamus Power G Billy Horschel G Justin Lower G Adam Svensson,,Billy Horschel,G,36.36%,146.5
3,5119458110,NPitz14,0,668,G Matt Fitzpatrick G Sahith Theegala G Max McGreevy G Rico Hoey G Andrew Putnam G Casey Jarvis,,Sahith Theegala,G,31.82%,120
4,5119435999,chicagoputz,0,660,G Ben Griffin G Marco Penge G Michael Brennan G Keith Mitchell G Max McGreevy G Billy Horschel,,Keith Mitchell,G,27.27%,106.5
5,5120640088,cairnssj,0,650.5,G Brooks Koepka G Aaron Rai G Alex Smalley G Matti Schmid G Austin Smotherman G Tom Hoge,,Tony Finau,G,27.27%,48.5
6,5119469003,VOODOG23,0,642,G Brooks Koepka G Andrew Novak G Kristoffer Reitan G Andrew Putnam G Billy Horschel G Blades Brown,,Austin Smotherman,G,18.18%,45
7,5121348541,darksidefan,0,639,G Brooks Koepka G Sahith Theegala G Alex Smalley G Michael Brennan G Billy Horschel G Blades Brown,,Ben Griffin,G,18.18%,133
8,5119936830,cmilly-97,0,617.5,G Brooks Koepka G Ben Griffin G Zachary Bauchou G Tony Finau G Billy Horschel G Blades Brown,,Michael Brennan,G,18.18%,58
9,5119466189,Jph315,0,605,G Matt Fitzpatrick G Shane Lowry G Keith Mitchell G Tony Finau G Justin Lower G Davis Riley,,Matt Fitzpatrick,G,18.18%,168.5
10,5120290430,magic_21,0,593,G Matt Fitzpatrick G Ryan Gerard G Michael Brennan G Kevin Roy G Casey Jarvis G Zac Blair,,Aaron Rai,G,13.64%,120
11,5119689114,cubyblue,0,590.5,G Brooks Koepka G Sahith Theegala G Wyndham Clark G Erik Van Rooyen G Eric Cole G Chris Kirk,,Max McGreevy,G,13.64%,110
